Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;rest my head til my line goes beep;r_eh_s_t m_ay hh_eh_d t_ih_l m_ay l_ay_n g_ow_z b_iy_p
a;1;ima cook that kief til my eyes turn green;ih_m_ah k_uh_k dh_ah_t k_iy_f t_ih_l m_ay ay_z t_er_n g_r_iy_n
a;3;smoking with a bitch in the back seat thinking ima snap gees;s_m_ow_k_ih_ng w_ah_dh ey b_ih_ch ih_n_ch dh_iy b_ae_k s_iy_t th_ih_ng_k_ah_ng ih_m_ah s_n_ae_p jh_iy_s
a;4;like maybe I could rap for the rap cheese;l_ay_k m_ey_b_iy ay k_uh_d r_ae_p f_r_er dh_iy r_ae_p ch_iy_z
a;6;m u r k m o b;eh_m ih_k aa_r k_ey eh_m ow b_iy
f;7;please don-t ask to rap with me;p_l_iy_z d_ow_n ae_s_k t_ah r_ae_p w_ah_dh m_iy
a;8;if I catch you in my spot im gonna leave you fucking weak;ih_f ay k_ae_ch y_uw ih_n_ch m_ay s_p_aa_t ay_m g_aa_n_ah l_iy_v y_uw f_ah_k_ih_ng w_iy_k
b;10;i don-t wanna go through;ay d_ow_n_t w_aa_n_ah g_ow th_r_uw
g;11;anybody don-t you;eh_n_iy_b_ah_d_iy d_ow_n_t y_uw
c;12;smoke away the pain like;s_m_ow_k ah_w_ey dh_ah p_ey_n l_ay_k
b;13;everybody-s throat loose;eh_v_r_iy_b_aa_d_iy_z th_r_ow_t l_uw_s
d;15;now you niggas feel it but leave me out of the scope;n_aw y_uw n_ih_g_ae_s f_iy_l ih_t b_ah_t l_iy_v m_iy aw_t ah_v dh_iy s_k_ow_p
d;16;i suppose you believe in a leader out of your postal;ay s_ah_p_ow_z y_uw b_ah_l_iy_v ih_n_ch ey l_iy_d_er aw_t ah_v y_ao_r p_ow_s_t_ah_l
e;18;how the hell you fucked up;hh_aw dh_ah hh_eh_l y_uw f_ah_k_t ah_p
e;19;lucky I done fucked up;l_ah_k_iy ay d_ah_n f_ah_k_t ah_p
e;20;thatll get you cuffed but;dh_ae_t_l g_ih_t y_uw k_ah_f_t b_ah_t
e;21;i figured it was tough love;ay f_ih_g_y_er_d ah_t w_ah_z t_ah_f l_ah_v
a;23;i ain-t with the scheming like what the fuck do you mean;ay ey_n_t w_ih_dh dh_ah s_k_iy_m_ih_ng l_ay_k w_ah_t dh_ah f_ah_k d_uw y_uw m_iy_n
a;24;im just looking for them dollas Im ducking out for the green;ay_m jh_ah_s_t l_uh_k_ih_ng f_ao_r dh_eh_m d_aa_l_ae_s ay_m d_ah_k_ih_ng aw_t f_ao_r dh_ah g_r_iy_n
a;26;so its money make season;s_ow ih_t_s m_ah_n_iy m_ey_k s_iy_z_ah_n
a;27;i wanna take pieces;ay w_aa_n_ah t_ey_k p_iy_s_ah_z
h;28;of everybody-s pocket;ah_v eh_v_r_iy_b_aa_d_iy_z p_aa_k_ah_t
a;29;like Im on a fake Visa;l_ay_k ay_m aa_n ah f_ey_k v_iy_z_ah
a;30;now Im hypocrite and I don-t like to make scenes;n_aw ay_m hh_ih_p_ih_k_r_ih_t ah_n_d ay d_ow_n_t l_ay_k t_uw m_ey_k s_iy_n_z
e;31;so if you help me take the shit and make it flip well break even uh;s_ow ah_f y_uw hh_eh_l_p m_iy t_ey_k dh_ah sh_iy_t ah_n_d m_ey_k ih_t f_l_ih_p w_iy_l b_r_ey_k iy_v_ah_n ah
a;33;its so devious so play decent;ih_t_s s_ow d_iy_v_iy_ah_s s_ow p_l_ey d_iy_s_ah_n_t
e;34;anemic motherfuckers like you niggas hate eating uh;ah_n_iy_m_ih_k m_ao_th_eh_r_f_uw_k_k_ax_r_s l_ay_k y_uw n_ih_g_ae_s hh_ey_t iy_t_ih_ng ah
f;35;need for speed Im like TV Clutch your throat girl cold world but its;n_iy_d f_ao_r s_p_iy_d ay_m l_ay_k t_iy_v_iy k_l_ah_ch y_ao_r th_r_ow_t g_er_l k_ow_l_d w_er_l_d b_ah_t ih_t_s
c;36;heating up im like;hh_iy_t_ih_ng ah_p ay_m l_ay_k
