Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;im afraid to think of ending it;ay_m ah_f_r_ey_d t_uw th_ih_ng_k ah_v eh_n_d_ih_ng ih_t
f;1;youll forget to sleep;y_uw_l f_ax_g_eh_t t_uw s_l_iy_p
a;2;youll forget its name;y_uw_l f_ax_g_eh_t ih_t_s n_ey_m
g;3;it gradually became obvious;ih_t g_r_ae_jh_uw_ah_l_iy b_ih_k_ey_m aa_b_v_iy_ah_s
h;5;there (is) no us but there (is) no I;dh_eh_r ih_z n_ow ah_s b_ah_t dh_eh_r ih_z n_ow ay
b;6;we believe we deny;w_iy b_ah_l_iy_v w_iy d_ah_n_ay
b;7;we will change we won-t die;w_iy w_ah_l ch_ey_n_jh w_iy w_ow_n_t d_ay
a;8;we won-t stay just try to be OK;w_iy w_ow_n_t s_t_ey jh_ah_s_t t_r_ay t_uw b_iy ow_k_ey
c;9;a foot in the snow with no boot on its skin;ah f_uh_t ih_n dh_ah s_n_ow w_ih_dh n_ow b_uw_t aa_n ih_t_s s_k_ih_n
c;10;we have reason to stay but we never commit;w_iy hh_ae_v r_iy_z_ah_n t_uw s_t_ey b_ah_t w_iy n_eh_v_er k_ah_m_ih_t
i;11;haven-t you held someone-s breath all along;hh_ae_v_n_t y_uw hh_eh_l_d s_ah_m_w_ah_n_z b_r_eh_th ao_l ah_l_ao_ng
g;12;hearing movement around us;hh_ih_r_ih_ng m_uw_v_m_ah_n_t er_aw_n_d ah_s
b;14;change your life;ch_ey_n_jh y_ao_r l_ay_f
b;15;please change your life;p_l_iy_z ch_ey_n_jh y_ao_r l_ay_f
b;16;change my life;ch_ey_n_jh m_ay l_ay_f
b;17;please change my life;p_l_iy_z ch_ey_n_jh m_ay l_ay_f
d;19;we spent the last (twenty-three) minutes hallucinating over the phone;w_iy s_p_eh_n_t dh_ah l_ae_s_t t_w_eh_n_t_ih_th_r_iy m_ih_n_ah_t_s hh_ah_l_uw_s_ah_n_ey_t_ih_ng ow_v_er dh_ah f_ow_n
d;20;i kept both my hands still while we saw the same building explode;ay k_eh_p_t b_ow_th m_ay hh_ae_n_d_z s_t_ih_l w_ay_l w_iy s_ao dh_ah s_ey_m b_ih_l_d_ih_ng ih_k_s_p_l_ow_d
c;21;wreck this thing;r_eh_k dh_ih_s th_ih_ng
e;22;please take it off the ground;p_l_iy_z t_ey_k ih_t ao_f dh_ah g_r_aw_n_d
