Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;0;from the Album IHooray It-s a Deathtrip;f_er_m dh_iy ae_l_b_ah_m  ih_t_s ah D_eh_ae_th_t_r_ax_p
a;1;hammerhead;hh_ae_m_er_ha_hh_eh_d
b;2;in another time and space;ih_n ah_n_ah_dh_er t_ay_m ah_n_d s_p_ey_s
b;3;im awaiting the awakening of day;ay_m ah_w_ey_t_ih_ng dh_ah ah_w_ey_k_ah_n_ih_ng ah_v d_ey
c;4;going far beyond the sun;g_ow_ih_ng f_aa_r b_ih_aa_n_d dh_ah s_ah_n
h;5;cause nothing (is) really what it seems;k_aa_z n_ah_th_ih_ng ih_z r_ih_l_iy w_ah_t ih_t s_iy_m_z
d;6;in a room within a room;ih_n ah r_uw_m w_ah_dh_ih_n ah r_uw_m
c;7;where I go to see the setting sun;w_eh_r ay g_ow t_uw s_iy dh_ah s_eh_t_ih_ng s_ah_n
d;8;in a room within a room;ih_n ah r_uw_m w_ah_dh_ih_n ah r_uw_m
a;9;hammerhead;hh_ae_m_er_ha_hh_eh_d
e;10;do you understand;d_uw y_uw ah_n_d_er_s_t_ae_n_d
e;11;yeah the deeds of man;y_ae dh_ah d_iy_d_z ah_v m_ae_n
a;12;worship you my hammerhead;w_er_sh_ah_p y_uw m_ay hh_ae_m_er_ha_hh_eh_d
d;13;let me stay inside your womb;l_eh_t m_iy s_t_ey ih_n_s_ay_d y_ao_r w_uw_m
d;14;time (is) no more evolution (is) for fools;t_ay_m ih_z n_ow m_ao_r eh_v_ah_l_uw_sh_ah_n ih_z f_ao_r f_uw_l_z
i;15;should have told me long ago;sh_uh_d hh_ae_v t_ow_l_d m_iy l_ao_ng ah_g_ow
l;16;whats right (is) wrong but yesterday (is) gone;w_ah_t_s r_ay_t ah_z r_ao_ng b_ah_t y_eh_s_t_er_d_ey ih_z g_ao_n
d;17;room within a room;r_uw_m w_ah_dh_ih_n ah r_uw_m
c;18;where I go to see the setting sun;w_eh_r ay g_ow t_uw s_iy dh_ah s_eh_t_ih_ng s_ah_n
d;19;in a room within a room;ih_n ah r_uw_m w_ah_dh_ih_n ah r_uw_m
a;20;hammerhead;hh_ae_m_er_ha_hh_eh_d
e;21;do you understand;d_uw y_uw ah_n_d_er_s_t_ae_n_d
e;22;yeah the deeds of man;y_ae dh_ah d_iy_d_z ah_v m_ae_n
a;23;worship you my hammerhead;w_er_sh_ah_p y_uw m_ay hh_ae_m_er_ha_hh_eh_d
f;24;i am standing on the outside looking in;ay ae_m s_t_ae_n_d_ih_ng aa_n dh_ah aw_t_s_ay_d l_uh_k_ih_ng ih_n
f;25;searching for the end to find where to begin;s_er_ch_ih_ng f_ao_r dh_ah eh_n_d t_uw f_ay_n_d w_eh_r t_uw b_ih_g_ih_n
b;26;doesn-t matter what you do when evolution fails;d_ah_z_n_t m_ae_t_er w_ah_t y_uw d_uw w_eh_n eh_v_ah_l_uw_sh_ah_n f_ey_l_z
e;27;to make you understand I sure don-t understand;t_uw m_ey_k y_uw ah_n_d_er_s_t_ae_n_d ay sh_uh_r d_ow_n_t ah_n_d_er_s_t_ae_n_d
