Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;0;for too long youve been lied to;f_r_er t_uw l_ao_ng y_uw_v b_ih_n l_ay_d t_uw
a;1;been told that sin (is) O K;b_ih_n t_ow_l_d dh_ae_t s_ih_n ih_z ow k_ey
b;2;but its talkin you down its talkin you down;b_ah_t ih_t_s t_aa_k_ah_n y_uw d_aw_n ih_t_s t_aa_k_ah_n y_uw d_aw_n
a;3;theres really a better way;dh_eh_r_s r_ih_l_iy ah b_eh_t_er w_ey
g;4;listen got something to tell you;l_ih_s_ah_n g_aa_t s_ah_m_th_ih_ng t_uw t_eh_l y_uw
c;5;ya don-t have to pay the price;y_aa d_ow_n_t hh_ae_v t_uw p_ey dh_ah p_r_ay_s
g;6;jesus paid it for you;jh_iy_z_ah_s p_ey_d ih_t f_ao_r y_uw
c;7;you don-t have to gamble your life;y_uw d_ow_n_t hh_ae_v t_uw g_ae_m_b_ah_l y_ao_r l_ay_f
g;8;cause Jesus Loves He Loves You;k_aa_z jh_iy_z_ah_s l_ah_v_z hh_iy l_ah_v_z y_uw
g;9;jesus Loves He Loves You;jh_iy_z_ah_s l_ah_v_z hh_iy l_ah_v_z y_uw
h;10;jesus Loves;jh_iy_z_ah_s l_ah_v_z
c;11;im sick of hearing these lies;ay_m s_ih_k ah_v hh_ih_r_ih_ng dh_iy_z l_ay_z
a;12;sayin Hell (is) O K;s_ey_iy_n hh_eh_l ih_z ow k_ey
d;13;its not the truth;ih_t_s n_ax_t dh_ah t_r_uw_th
a;14;it will burn you night and day;ih_t w_ah_l b_er_n y_uw n_ay_t ah_n_d d_ey
g;15;but Jesus can save you;b_ah_t jh_iy_z_ah_s k_ah_n s_ey_v y_uw
d;16;hes the only One who can bring you through;hh_iy_s dh_ah ow_n_l_iy w_ah_n hh_uw k_ah_n b_r_ih_ng y_uw th_r_uw
e;17;so don-t ride the Highway to Hell;s_ow d_ow_n_t r_ay_d dh_ah hh_ay_w_ey t_uw hh_eh_l
g;18;you really weren-t made to;y_uw r_ih_l_iy w_er_n_t m_ey_d t_uw
b;19;c-mon don-t mess around;k_ah_m_aa_n d_ow_n_t m_eh_s er_aw_n_d
f;20;youre playing with your soul;y_uw_r p_l_ey_ih_ng w_ih_dh y_ao_r s_ow_l
e;21;don-t you know you go on forever;d_ow_n_t y_uw n_ow y_uw g_ow aa_n f_er_eh_v_er
f;22;but you decide now where to go;b_ah_t y_uw d_ah_s_ay_d n_aw w_eh_r t_uw g_ow
i;23;give it up to Him;g_ih_v ih_t ah_p t_uw hh_ih_m
g;24;your gift (is) Eternal Life Give it up to Jesus;y_ao_r g_ih_f_t ih_z ih_t_er_n_ah_l l_ay_f g_ih_v ih_t ah_p t_uw jh_iy_z_ah_s
c;25;he paid the ultimate price;hh_iy p_ey_d dh_ah ah_l_t_ah_m_ah_t p_r_ay_s
a;26;no sin (is) too heavy for Jesus to take away;n_ow s_ih_n ih_z t_uw hh_eh_v_iy f_ao_r jh_iy_z_ah_s t_uw t_ey_k ah_w_ey
c;27;give it up to Him right now He will change your life;g_ih_v ih_t ah_p t_uw hh_ih_m r_ay_t n_aw hh_iy w_ah_l ch_ey_n_jh y_ao_r l_ay_f
a;28;today;t_ah_d_ey
