Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;0;yeah;y_ae
e;1;zomboy;z_ao_m_b_oh_ax
f;2;alongside your girl;ah_l_ao_ng_s_ay_d y_uh_r g_er_l
g;3;lady Chann;l_ey_d_iy C_hh_ae_n
a;5;chuh;ch_uw_ae
h;6;come on- ;k_ah_m oh_ _n
i;7;i said voila;ay s_eh_d v_w_aa_l_aa
a;8;chuh;ch_uw_ae
b;9;yo yo yo yo yo yo;y_ow y_ow y_ow y_ow y_ow y_ow
b;10;yo yo yo yo yo yo yo;y_ow y_ow y_ow y_ow y_ow y_ow y_ow
l;11;yeh;y_eh
c;12;meen My soldiers are here to stay;m_iy_n m_ay s_ow_l_jh_er_z er hh_ih_r t_ah s_t_ey
c;13;were here to stay;w_iy_r hh_ih_r t_uw s_t_ey
c;14;you can-t move my army No no noway way way;y_uw k_ae_n_t m_uw_v m_ay aa_r_m_iy n_ow n_ow n_aw_ah_iy w_ey w_ey
m;15;noway noway;n_aw_ah_iy n_aw_ah_iy
c;16;ready for the laws on the test line hey;r_eh_d_iy f_ao_r dh_ah l_ao_z aa_n dh_ah t_eh_s_t l_ay_n hh_ey
c;17;raised in the bayou Oh oh now pay;r_ey_z_d ih_n dh_ah b_ay_uw ow ow n_aw p_ey
c;18;i am muscle and I am here to stay-ay ay;ay ae_m m_ah_s_ah_l ah_n_d ay ae_m hh_ih_r t_uw s_ax_t ey
d;19;come on;k_ah_m aa_n
