Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;put all our cards away;p_uh_t ao_l aw_r k_aa_r_d_z ah_w_ey
a;1;read the look on your face;r_iy_d dh_iy l_uh_k aa_n y_uh_r f_ey_s
a;2;all other games we play;ao_l ah_dh_er g_ey_m_z w_iy p_l_ey
a;3;break the chain;b_r_ey_k dh_iy ch_ey_n
b;5;cos its a holiday home;k_ao_s ih_t_s ah hh_aa_l_ah_d_ey hh_ow_m
a;6;two minutes too far away;t_uw m_ih_n_ah_t_s t_uw f_aa_r ah_w_ey
b;7;what can you tell the other one;w_ah_t k_ah_n y_uw t_eh_l dh_ah ah_dh_er w_ah_n
a;8;dirty fiction can you call my name;d_er_t_iy f_ih_k_sh_ah_n k_ah_n y_uw k_ao_l m_ay n_ey_m
d;10;dancing girls on my mind;d_ae_n_s_ih_ng g_er_l_z aa_n m_ay m_ay_n_d
c;11;patterns Ive made before;p_ae_t_er_n_z ay_v m_ey_d b_ah_f_ao_r
c;12;don-t want you here no more;d_ow_n_t w_aa_n_t y_uw hh_ih_r n_ow m_ao_r
a;13;call my name;k_ao_l m_ay n_ey_m
b;15;cos its a holiday home;k_ao_s ih_t_s ah hh_aa_l_ah_d_ey hh_ow_m
a;16;two minutes too far away;t_uw m_ih_n_ah_t_s t_uw f_aa_r ah_w_ey
b;17;what can you tell the other one;w_ah_t k_ah_n y_uw t_eh_l dh_ah ah_dh_er w_ah_n
a;18;dirty fiction can you call my name;d_er_t_iy f_ih_k_sh_ah_n k_ah_n y_uw k_ao_l m_ay n_ey_m
b;20;cos its a holiday home;k_ao_s ih_t_s ah hh_aa_l_ah_d_ey hh_ow_m
a;21;two minutes too far away;t_uw m_ih_n_ah_t_s t_uw f_aa_r ah_w_ey
b;22;what can you tell the other one;w_ah_t k_ah_n y_uw t_eh_l dh_ah ah_dh_er w_ah_n
a;23;dirty fiction can-t give you away;d_er_t_iy f_ih_k_sh_ah_n k_ae_n_t g_ih_v y_uw ah_w_ey
a;25;put all our cards away;p_uh_t ao_l aw_r k_aa_r_d_z ah_w_ey
a;26;read the look on your face;r_iy_d dh_ah l_uh_k aa_n y_ao_r f_ey_s
a;27;all other games we play;ao_l ah_dh_er g_ey_m_z w_iy p_l_ey
a;28;break the chain;b_r_ey_k dh_ah ch_ey_n
b;30;cos its a holiday home;k_ao_s ih_t_s ah hh_aa_l_ah_d_ey hh_ow_m
a;31;two minutes too far away;t_uw m_ih_n_ah_t_s t_uw f_aa_r ah_w_ey
b;32;what can you tell the other one;w_ah_t k_ah_n y_uw t_eh_l dh_ah ah_dh_er w_ah_n
a;33;dirty fiction can-t give you away;d_er_t_iy f_ih_k_sh_ah_n k_ae_n_t g_ih_v y_uw ah_w_ey
b;35;cos its a holiday home;k_ao_s ih_t_s ah hh_aa_l_ah_d_ey hh_ow_m
a;36;two minutes too far away;t_uw m_ih_n_ah_t_s t_uw f_aa_r ah_w_ey
b;37;what can you tell the other one;w_ah_t k_ah_n y_uw t_eh_l dh_ah ah_dh_er w_ah_n
a;38;dirty fiction can you call my name;d_er_t_iy f_ih_k_sh_ah_n k_ah_n y_uw k_ao_l m_ay n_ey_m
