Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;in the cold light;ih_n_ch dh_iy k_ow_l_d l_ay_t
a;1;the sun will start to rise;dh_iy s_ah_n w_ih_l s_t_aa_r_t t_ah r_ay_z
a;2;above our lives;ah_b_ah_v aa_r l_ay_v_z
b;3;and when it comes;ah_n_d hh_w_ih_n ah_t k_ah_m_z
b;4;the dark will run;dh_iy d_aa_r_k w_ih_l r_ah_n
a;5;in the cold night;ih_n_ch dh_iy k_ow_l_d n_ay_t
a;6;the face of death will rise;dh_iy f_ey_s ah_v d_eh_th w_ih_l r_ay_z
c;7;to claim our lives;t_ah k_l_ey_m aa_r l_ih_v_z
b;8;but when it comes;b_ah_t hh_w_ih_n ah_t k_ah_m_z
b;9;i will not run;ay w_ih_l n_ax_t r_ah_n
a;11;horizons horizons;hh_er_ay_z_ah_n_z hh_er_ay_z_ah_n_z
