Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;0;owen youre home;ow_ah_n y_uw_r hh_ow_m
a;1;the sun set it on to the sky;dh_ah s_ah_n s_eh_t ih_t aa_n t_uw dh_ah s_k_ay
b;2;with a long catapult;w_ih_dh ah l_ao_ng k_ae_t_ah_p_ah_l_t
a;3;and the salt that he put to the side;ah_n_d dh_ah s_ao_l_t dh_ae_t hh_iy p_uh_t t_uw dh_ah s_ay_d
a;4;and the tones he would push and the songs he would push to the side;ah_n_d dh_ah t_ow_n_z hh_iy w_uh_d p_uh_sh ah_n_d dh_ah s_ao_ng_z hh_iy w_uh_d p_uh_sh t_uw dh_ah s_ay_d
a;5;when it all went a fuck in the snow that gets pushed to the side;w_eh_n ih_t ao_l w_eh_n_t ah f_ah_k ih_n dh_ah s_n_ow dh_ae_t g_eh_t_s p_uh_sh_t t_uw dh_ah s_ay_d
a;6;well your heart (is) a bush and its talking too with some size;w_eh_l y_ao_r hh_aa_r_t ih_z ah b_uh_sh ah_n_d ih_t_s t_ao_k_ih_ng t_uw w_ih_dh s_ah_m s_ay_z
a;7;when you already put all of the soot inside;w_eh_n y_uw ao_l_r_eh_d_iy p_uh_t ao_l ah_v dh_ah s_uh_t ih_n_s_ay_d
a;8;they were already smushed with a calm steady push to the side;dh_ey w_er ao_l_r_eh_d_iy s_m_uw_sh_ax_d w_ih_dh ah k_aa_m s_t_eh_d_iy p_uh_sh t_uw dh_ah s_ay_d
a;9;all that your heart finds;ao_l dh_ae_t y_ao_r hh_aa_r_t f_ay_n_d_z
a;10;on with your own wife;aa_n w_ih_dh y_ao_r ow_n w_ay_f
a;11;sign;s_ay_n
g;12;up;ah_p
h;13;all your relatives;ao_l y_ao_r r_eh_l_ah_t_ih_v_z
a;14;only a harbor mind;ow_n_l_iy ah hh_aa_r_b_er m_ay_n_d
i;15;in turpentine;ih_n t_er_p_ah_n_t_ay_n
b;16;im the reaper bahn;ay_m dh_ah r_iy_p_er b_ae_n
l;17;calm the arrival;k_aa_m dh_ah er_ay_v_ah_l
a;18;tear it to the night;t_eh_r ih_t t_uw dh_ah n_ay_t
m;19;heart (is) said you boy;hh_aa_r_t ih_z s_eh_d y_uw b_oy
c;20;come and serve it with an omelette;k_ah_m ah_n_d s_er_v ih_t w_ih_dh ae_n aa_m_l_ah_t
n;21;and youre on it;ah_n_d y_uw_r aa_n ih_t
c;22;with the carpet;w_ih_dh dh_ah k_aa_r_p_ah_t
n;23;you solved it;y_uw s_aa_l_v_d ih_t
o;24;said youre corporate;s_eh_d y_uw_r k_ao_p_ax_r_ax_t
d;25;set your orbit;s_eh_t y_ao_r ao_r_b_ah_t
d;26;set your coffin;s_eh_t y_ao_r k_ao_f_ih_n
d;27;said its often;s_eh_d ih_t_s ao_f_ah_n
e;28;that your old fits;dh_ae_t y_ao_r ow_l_d f_ih_t_s
e;29;are your old tits;aa_r y_uh_r ow_l_d t_ih_t_s
i;30;on;aa_n
f;31;your;y_ao_r
a;32;hard drive;hh_aa_r_d d_r_ay_v
