Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;0;im on beastmode no nights off I just ball;ay_m aa_n b_iy_s_t_ha_m_ow_d n_ow n_ay_t_s ao_f ay jh_ah_s_t b_ao_l
d;1;freethrows (is) me taking shots at y-all;f_r_iy_th_r_ow_z ih_z m_iy t_ey_k_ih_ng sh_aa_t_s ae_t y_ao_l
a;2;scope my gear My view (is) very clear;s_k_ow_p m_ay g_ih_r m_ay v_y_uw ih_z v_eh_r_iy k_l_ih_r
a;3;cfs you couldn-t see my swagg from every Lear;k_f_s y_uw k_uh_d_n_t s_iy m_ay s_w_ae_g f_r_ah_m eh_v_er_iy l_ih_r
e;4;flyer then a mug swagg on 300;f_l_ay_er dh_eh_n ah m_ah_g s_w_ae_g aa_n 
f;5;y-all niggas pop a tag I cop a mag and keep huntin;y_ao_l n_ih_g_ae_s p_aa_p ah t_ae_g ay k_aa_p ah m_ae_g ah_n_d k_iy_p hh_ah_n_t_iy_n
b;6;(is) He stuntin didn-t even need the chain;ih_z hh_iy s_t_ah_n_t_iy_n d_ih_d_n_t iy_v_ah_n n_iy_d dh_ah ch_ey_n
b;7;i walk out with the Perria and say my name;ay w_ao_k aw_t w_ih_dh dh_ah P_eh_r_iy_ax ah_n_d s_ey m_ay n_ey_m
c;8;and watch your girl start walkin;ah_n_d w_aa_ch y_ao_r g_er_l s_t_aa_r_t w_aa_k_iy_n
c;9;throw a tre in the air and the birds start talkin;th_r_ow ah t_r_ey ih_n dh_ah eh_r ah_n_d dh_ah b_er_d_z s_t_aa_r_t t_aa_k_ah_n
d;10;they be YM;dh_ey b_iy 
