Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;0;icecold streams of blood in my veins (*);ay_s_k_ow_l_d s_t_r_iy_m_z ah_v b_l_ah_d ih_n_ch m_ay v_ey_n_z ah_ae
a;1;trying to save my heart (is) broken;t_r_ay_ih_ng t_uw s_ey_v m_ay hh_aa_r_t ih_z b_r_ow_k_ah_n
b;2;in a thousand pieces;ih_n ah th_aw_z_ah_n_d p_iy_s_ah_z
c;3;all spread;ao_l s_p_r_eh_d
l;4;on the floor around me;aa_n dh_ah f_l_ao_r er_aw_n_d m_iy
d;5;coldness from deep inside;k_ow_l_d_n_ah_s f_r_ah_m d_iy_p ih_n_s_ay_d
d;6;a cruel fist holding tight my mind;ah k_r_uw_ah_l f_ih_s_t hh_ow_l_d_ih_ng t_ay_t m_ay m_ay_n_d
m;7;you hear this;y_uw hh_ih_r dh_ah_s
b;8;it (is) so cold that I can hardly breathe;ih_t ih_z s_ow k_ow_l_d dh_ae_t ay k_ah_n hh_aa_r_d_l_iy b_r_iy_dh
e;9;but Im breathing your name;b_ah_t ay_m b_r_iy_dh_ih_ng y_uh_r n_ey_m
e;10;please help me up again;p_l_iy_z hh_eh_l_p m_iy ah_p ah_g_ey_n
f;11;please turn around;p_l_iy_z t_er_n er_aw_n
a;12;im lying there in the cold;ay_m l_ay_ih_ng dh_eh_r ih_n dh_ah k_ow_l_d
g;13;im freezing horribly;ay_m f_r_iy_z_ih_ng hh_ao_r_ah_b_l_iy
d;14;take a step see my eyes;t_ey_k ah s_t_eh_p s_iy m_ay ay_z
m;15;staring deeper into nothingness;s_t_eh_r_ih_ng d_iy_p_er ih_n_t_uw n_ah_th_ih_ng_n_ah_s
c;16;nothing-s THERE;n_ah_th_ih_ng_z dh_eh_r
d;17;crying single tear leaves my eye;k_r_ay_ih_ng s_ih_ng_g_ah_l t_eh_r l_iy_v_z m_ay ay
d;18;suddenly all the ground gets iced;s_ah_d_ah_n_l_iy ao_l dh_ah g_r_aw_n_d g_eh_t_s ay_s_t
d;19;you are walking right beside;y_uw aa_r w_ao_k_ih_ng r_ay_t b_ah_s_ay_d
n;20;but I slip when I try to follow you;b_ah_t ay s_l_ih_p w_eh_n ay t_r_ay t_uw f_aa_l_ow y_uw
c;21;please help me up again;p_l_iy_z hh_eh_l_p m_iy ah_p ah_g_eh_n
f;22;please turn around;p_l_iy_z t_er_n er_aw_n_d
a;23;im lying there in the cold;ay_m l_ay_ih_ng dh_eh_r ih_n dh_ah k_ow_l_d
g;24;im freezing horribly;ay_m f_r_iy_z_ih_ng hh_ao_r_ah_b_l_iy
o;25;take a step hold my hand;t_ey_k ah s_t_eh_p hh_ow_l_d m_ay hh_ae_n_d
e;26;so I can feel you far away;s_ow ay k_ah_n f_iy_l y_uw f_aa_r ah_w_ey
e;27;so FAR AWAY;s_ow f_aa_r ah_w_ey
h;28;warmth in your vicinity;w_ao_r_m_th ih_n y_ao_r v_ah_s_ih_n_ah_t_iy
h;29;all I fear (is) to fall back in misery;ao_l ay f_ih_r ih_z t_uw f_aa_l b_ae_k ih_n m_ih_z_er_iy
c;30;don-t you dare;d_ow_n_t y_uw d_eh_r
f;31;no FORGIVENESS FOR COWARDS;n_ow f_er_g_ih_v_n_ah_s f_ao_r k_aw_er_d_z
c;32;just Despair;jh_ah_s_t d_ih_s_p_eh_r
d;33;why CAN T YOU SEE ME WINCE UNDER KNIFE;w_ay k_ah_n t_iy y_uw s_iy m_iy w_ih_n_s ah_n_d_er n_ay_f
b;34;i pray you know I feel;ay p_r_ey y_uw n_ow ay f_iy_l
h;35;warmth in your vicinity;w_ao_r_m_th ih_n y_ao_r v_ah_s_ih_n_ah_t_iy
h;36;all I fear to fall back in misery;ao_l ay f_ih_r t_uw f_aa_l b_ae_k ih_n m_ih_z_er_iy
i;37;sun shines into my heart;s_ah_n sh_ay_n_z ih_n_t_uw m_ay hh_aa_r_t
