Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;let ME GET IT RIGHT;l_eh_t m_iy g_eh_t ih_t r_ay_t
b;2;ohh;ow_ae
b;4;yes a motherfucker like me stay throwed;y_eh_s ah m_ao_th_eh_r_f_uw_k_k_ax_r l_ay_k m_iy s_t_ey th_r_ow_er_d
c;5;like a baseball or a bad back;l_ay_k ey b_ey_s_b_ao_l ao_r ah b_ae_d b_ae_k
m;6;where the cash at;w_eh_r dh_ah k_ae_sh ae_t
d;7;nigga got ta come up with the funds;n_ih_g_ae g_aa_t t_aa k_ah_m ah_p w_ih_dh dh_ah f_ah_n_d_z
c;8;for a fat sack;f_ao_r ah f_ae_t s_ae_k
d;9;dutch pack and a fifth of rum;d_ah_ch p_ae_k ah_n_d ah f_ih_f_th ah_v r_ah_m
c;10;in the back pack;ih_n dh_ah b_ae_k p_ae_k
e;11;walking wavy;w_ao_k_ih_ng w_ey_v_iy
e;12;talking wavy;t_ao_k_ih_ng w_ey_v_iy
f;13;gal say she don-t do this often;g_ae_l s_ey sh_iy d_ow_n_t d_uw dh_ih_s ao_f_ah_n
e;14;maybe;m_ey_b_iy
f;15;see who hold it down without tossing;s_iy hh_uw hh_ow_l_d ih_t d_aw_n w_ih_th_aw_t t_ao_s_ih_ng
e;16;baby;b_ey_b_iy
g;17;see who Hold it down without coughing;s_iy hh_uw hh_ow_l_d ih_t d_aw_n w_ih_th_aw_t k_aa_f_ih_ng
e;18;baby;b_ey_b_iy
a;19;got a roach clip from last night;g_aa_t ah r_ow_ch k_l_ih_p f_r_ah_m l_ae_s_t n_ay_t
a;20;plus we about to blow like a bag Pipe;p_l_ah_s w_iy ah_b_aw_t t_uw b_l_ow l_ay_k ah b_ae_g p_ay_p
h;21;i could use;ay k_uh_d y_uw_s
h;22;a pint of brew;ah p_ay_n_t ah_v b_r_uw
n;23;and some (red-haired) piff;ah_n_d s_ah_m r_eh_d_hh_eh_r_d f_f
a;24;shawn White on the half pipe;sh_ao_n w_ay_t aa_n dh_ah hh_ae_f p_ay_p
f;25;this bud get the perfect score;dh_ih_s b_ah_d g_eh_t dh_ah p_er_f_ih_k_t s_k_ao_r
g;26;percolators in my bong;p_er_k_ah_l_ey_t_er_z ih_n m_ay b_aa_ng
d;27;potent vapors in my lungs;p_ow_t_ah_n_t v_ey_p_er_z ih_n m_ay l_ah_ng_z
f;28;cheeba greener than my lawn;ch_ey_iy_b_ah g_r_iy_n_er dh_ae_n m_ay l_ao_n
f;29;so gone;s_ow g_ao_n
i;30;nigga;n_ih_g_ae
l;31;i Don-T need no lean;ay d_ow_n_t n_iy_d n_ow l_iy_n
o;32;don-t need codeine;d_ow_n_t n_iy_d 
l;33;cause Im high off life and this weed;k_aa_z ay_m hh_ay ao_f l_ay_f ah_n_d dh_ih_s w_iy_d
l;34;got a good girl lighting This weed;g_aa_t ah g_uh_d g_er_l l_ay_t_ih_ng dh_ih_s w_iy_d
d;35;i must be bugging;ay m_ah_s_t b_iy b_ah_g_ih_ng
i;36;im over here Tripping;ay_m ow_v_er hh_ih_r t_r_ih_p_ih_ng
h;37;im watching a movie;ay_m w_aa_ch_ih_ng ah m_uw_v_iy
b;38;my eyelids are closing;m_ay ay_l_ih_d_z aa_r k_l_ow_z_ih_ng
i;39;minutes;m_ih_n_ah_t_s
m;40;i got five;ay g_aa_t f_ay_v
g;41;ryan Goslin;r_ay_ah_n g_aa_s_l_ih_n
