Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;0;heiled in battle again;hh_ay_l_er_d ih_n_ch b_ae_t_ah_l ah_g_ey_n
e;1;into the night eternally searching and;ih_n_t_ah dh_iy n_ay_t iy_t_er_n_ah_l_iy s_er_ch_ih_ng ah_n_d
f;2;fighting to be eternally free;f_ay_t_ih_ng t_ah b_iy iy_t_er_n_ah_l_iy f_r_iy
g;3;and to live in darkness;ah_n_d t_ah l_ay_v ih_n_ch d_aa_r_k_n_ah_s
h;4;decaying upon their crosses;d_ah_k_ey_ih_ng ah_p_aa_n dh_eh_r k_r_ao_s_ah_z
a;5;light without will;l_ay_t w_ih_dh_aw_t w_ih_l
b;6;seeing only with blood in our eyes;s_iy_ih_ng ow_n_l_iy w_ah_dh b_l_ah_d ih_n_ch aa_r ay_z
b;7;to deny them their empires;t_ah d_ah_n_ay dh_ah_m dh_eh_r eh_m_p_ay_er_z
a;8;take the light from their lives;t_ey_k dh_iy l_ay_t f_er_m dh_eh_r l_ih_v_z
i;9;blinded by their own crying winds;b_l_ay_n_d_ah_d b_ay dh_eh_r ow_n k_r_ay_ih_ng w_ih_n_d_z
c;11;hatred bled onto the soul;hh_ey_t_r_ah_d b_l_eh_d aa_n_t_uw dh_iy s_ow_l
a;12;with a fury to kill;w_ah_dh ey f_y_uh_r_iy t_ah k_ih_l
l;13;killed brethren;k_ih_l_d b_r_eh_dh_r_ah_n
c;14;without respect for lives unholy;w_ih_dh_aw_t r_ah_s_p_eh_k_t f_r_er l_ay_v_z ah_n_hh_ow_l_iy
c;15;a hatred possessing my soul;ey hh_ey_t_r_ah_d p_ah_z_eh_s_ih_ng m_ay s_ow_l
a;16;with a fury to kill;w_ah_dh ey f_y_uh_r_iy t_ah k_ih_l
a;18;so the battle dies in this bleak winter;s_ow dh_iy b_ae_t_ah_l d_ay_z ih_n_ch dh_ah_s b_l_iy_k w_ih_n_t_er
m;19;each death piled in a dark circle;iy_ch d_eh_th p_ay_l_d ih_n_ch ey d_aa_r_k s_er_k_ah_l
d;20;and again well return;ah_n_d ah_g_ey_n w_iy_l r_ih_t_er_n
