Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;in the summertime;ih_n_ch dh_iy s_ah_m_er_t_ay_m
b;1;i don-t know if the stars were aligned;ay d_ow_n n_ow ih_f dh_iy s_t_aa_r_z w_er ah_l_ay_n_d
b;2;we stumbled onto something we would like;w_iy s_t_ah_m_b_ah_l_d aa_n_t_uw s_ah_m_th_ih_ng w_iy w_uh_d l_ay_k
b;3;and Im afraid I lost the words tonight;ah_n_d ay_m ah_f_r_ey_d ay l_ao_s_t dh_ah w_er_d_z t_ah_n_ay_t
f;5;and in your summer dress I was holding you;ah_n_d ih_n y_ao_r s_ah_m_er d_r_eh_s ay w_ah_z hh_ow_l_d_ih_ng y_uw
c;6;but you were holding less;b_ah_t y_uw w_er hh_ow_l_d_ih_ng l_eh_s
c;7;its not the words its the ones you stress;ih_t_s n_ax_t dh_ah w_er_d_z ih_t_s dh_ah w_ah_n_z y_uw s_t_r_eh_s
c;8;ill love you (is) I love you just don-t love me less;ay_l l_ah_v y_uw ih_z ay l_ah_v y_uw jh_ah_s_t d_ow_n_t l_ah_v m_iy l_eh_s
g;10;and once in a while;ah_n_d w_ah_n_s ih_n ah w_ay_l
b;11;i know our hearts beat out of time;ay n_ow aa_r hh_aa_r_t_s b_iy_t aw_t ah_v t_ay_m
g;12;and once in a while;ah_n_d w_ah_n_s ih_n ah w_ay_l
b;13;i know theyll fall back in line;ay n_ow dh_ey_l f_aa_l b_ae_k ih_n l_ay_n
a;15;and in the summertime;ah_n_d ih_n dh_ah s_ah_m_er_t_ay_m
b;16;i don-t know if the stars were aligned;ay d_ow_n_t n_ow ah_f dh_ah s_t_aa_r_z w_er ah_l_ay_n_d
b;17;we stumbled onto something we would like;w_iy s_t_ah_m_b_ah_l_d aa_n_t_uw s_ah_m_th_ih_ng w_iy w_uh_d l_ay_k
b;18;im afraid I lost the words tonight;ay_m ah_f_r_ey_d ay l_ao_s_t dh_ah w_er_d_z t_ah_n_ay_t
h;20;and when were (middle-aged);ah_n_d w_eh_n w_iy_r m_ih_d_l_ey_jh_d
c;21;youll tell me I loved you like a renegade;y_uw_l t_eh_l m_iy ay l_ah_v_d y_uw l_ay_k ey r_eh_n_ah_g_ey_d
d;22;and how I say the things that make you sway;ah_n_d hh_aw ay s_ey dh_iy th_ih_ng_z dh_ah_t m_ey_k y_uw s_w_ey
d;23;and mostly told you you did the same;ah_n_d m_ow_s_l_iy t_ow_l_d y_uw y_uw d_ah_d dh_iy s_ey_m
g;25;once in a while;w_ah_n_s ih_n ah w_ay_l
b;26;i know our hearts beat out of time;ay n_ow aw_r hh_aa_r_t_s b_iy_t aw_t ah_v t_ay_m
g;27;and once in a while;ah_n_d w_ah_n_s ih_n ah w_ay_l
b;28;i know theyll fall back in line;ay n_ow dh_ey_l f_aa_l b_ae_k ih_n l_ay_n
e;30;our love (is) strong;aw_r l_ah_v ih_z s_t_r_ao_ng
e;31;our love (is) strong;aw_r l_ah_v ih_z s_t_r_ao_ng
e;32;our love (is) strong;aw_r l_ah_v ih_z s_t_r_ao_ng
a;33;while my heart-s still pumping blood;w_ay_l m_ay hh_aa_r_t_s s_t_ih_l p_ah_m_p_ih_ng b_l_ah_d
