Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;we are so far;w_iy er s_ow f_aa_r
e;1;away from you;ah_w_ey f_r_ah_m y_uw
a;2;we are so far;w_iy aa_r s_ow f_aa_r
e;3;away from you;ah_w_ey f_r_ah_m y_uw
b;5;i hear my mama voice;ay hh_ih_r m_ay m_aa_m_ah v_oy_s
b;6;when Im about to make a choice;w_eh_n ay_m ah_b_aw_t t_uw m_ey_k ah ch_oy_s
c;7;like son keep it together;l_ay_k s_ah_n k_iy_p ih_t t_ah_g_eh_dh_er
c;8;i know one day we will be together;ay n_ow w_ah_n d_ey w_iy w_ah_l b_iy t_ah_g_eh_dh_er
f;9;its almost been a decade;ih_t_s ao_l_m_ow_s_t b_ih_n ah d_eh_k_ey_d
f;10;everyday (is) an arcade;eh_v_r_iy_d_ey ih_z ae_n aa_r_k_ey_d
g;11;depression (is) like my newest cousin;d_ah_p_r_eh_sh_ah_n ih_z l_ay_k m_ay n_uw_ah_s_t k_ah_z_ah_n
a;12;suicidal thoughts but I still take caution;s_uw_ah_s_ay_d_ah_l th_ao_t_s b_ah_t ay s_t_ih_l t_ey_k k_aa_sh_ah_n
a;13;when it comes to trust man I gotta take caution;w_eh_n ih_t k_ah_m_z t_uw t_r_ah_s_t m_ae_n ay g_aa_t_ah t_ey_k k_aa_sh_ah_n
a;14;people I love the most been treating me like an option;p_iy_p_ah_l ay l_ah_v dh_ah m_ow_s_t b_ih_n t_r_iy_t_ih_ng m_iy l_ay_k ae_n aa_p_sh_ah_n
g;15;crazy how your friends turn against you over women;k_r_ey_z_iy hh_aw y_ao_r f_r_eh_n_d_z t_er_n ah_g_eh_n_s_t y_uw ow_v_er w_ih_m_ah_n
a;16;the team wasn-t that strong if pussy managed to break it apart;dh_ah t_iy_m w_oh_z_n_t dh_ah_t s_t_r_ao_ng ih_f p_uh_s_iy m_ae_n_ah_jh_d t_ah b_r_ey_k ah_t ah_p_aa_r_t
a;17;life (is) like a movie nigga just play your part;l_ay_f ah_z l_ay_k ey m_uw_v_iy n_ih_g_ae jh_ah_s_t p_l_ey y_uh_r p_aa_r_t
e;18;i told my ex that I will come back for you;ay t_ow_l_d m_ay eh_k_s dh_ah_t ay w_ih_l k_ah_m b_ae_k f_r_er y_uw
e;19;once I figure out how to love you;w_ah_n_s ay f_ih_g_y_er aw_t hh_aw t_ah l_ah_v y_uw
e;20;i wish I didn-t left you;ay w_ih_sh ay d_ih_d_n_t l_eh_f_t y_uw
e;21;them niggas will hurt you;dh_eh_m n_ih_g_ae_s w_ah_l hh_er_t y_uw
d;22;movies like forest gump used to make me cry;m_uw_v_iy_z l_ay_k f_ao_r_ah_s_t g_ah_m_p y_uw_z_d t_uw m_ey_k m_iy k_r_ay
d;23;i watched my grandmother die;ay w_aa_ch_t m_ay g_r_ae_n_d_m_ah_dh_er d_ay
d;24;it ain-t nothing you can try;ih_t ey_n_t n_ah_th_ih_ng y_uw k_ae_n t_r_ay
e;25;to make me feel like I don-t miss her;t_ah m_ey_k m_iy f_iy_l l_ay_k ay d_ow_n m_ih_s hh_er
c;26;i seen her in my dream and she said;ay s_iy_n hh_er ih_n_ch m_ay d_r_iy_m ah_n_d sh_iy s_eh_d
