Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;in paradise tropical greys;ih_n_ch p_eh_r_ah_d_ay_s t_r_aa_p_ih_k_ah_l g_r_ey_z
a;1;i missed the wave again today;ay m_ih_s_t dh_iy w_ey_v ah_g_ey_n t_uw_d_ey
b;3;island life;ay_l_ah_n_d l_ay_f
b;4;(is) a moth in the night;ah_z ey m_ao_th ih_n_ch dh_iy n_ay_t
b;5;all this time;ao_l dh_ih_s t_ay_m
b;6;we look out for a light;w_iy l_uh_k aw_t f_ao_r ah l_ay_t
a;8;i walk the streets that hot ballet;ay w_ao_k dh_ah s_t_r_iy_t_s dh_ae_t hh_aa_t b_ae_l_ey
a;9;won-t someone look at me that way;w_ow_n_t s_ah_m_w_ah_n l_uh_k ae_t m_iy dh_ae_t w_ey
b;11;island life;ay_l_ah_n_d l_ay_f
b;12;(is) a moth in the night;ah_z ey m_ao_th ih_n_ch dh_iy n_ay_t
b;13;all this time;ao_l dh_ih_s t_ay_m
b;14;we just follow the light;w_iy jh_ah_s_t f_aa_l_ow dh_ah l_ay_t
d;16;so I wait for you here;s_ow ay w_ey_t f_ao_r y_uw hh_ih_r
a;17;on a permanent vacation;aa_n ah p_er_m_ah_n_ah_n_t v_ey_k_ey_sh_ah_n
b;18;youre the speck on the horizon;y_uw_r dh_iy s_p_eh_k aa_n dh_iy hh_er_ay_z_ah_n
c;19;youre a wild imagination;y_uw_r ah w_ay_l_d ih_m_ae_jh_ah_n_ey_sh_ah_n
e;20;and they say its human to want;ah_n_d dh_ey s_ey ih_t_s hh_y_uw_m_ax_n t_uw w_aa_n_t
c;21;but I want inoculation;b_ah_t ay w_aa_n_t ih_n_aa_k_y_ah_l_ey_sh_ah_n
f;22;wanna fall through the sand;w_aa_n_ah f_aa_l th_r_uw dh_ah s_ae_n_d
d;23;to an alternate dimension;t_uw ae_n ao_l_t_er_n_ey_t d_ih_m_eh_n_sh_ah_n
