Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;aaah ah-aaah;t_r_ih_p_ah_l_ey_ae ae_hh_hh
b;2;(is) it time for me to leave;ah_z ah_t t_ay_m f_r_er m_iy t_ah l_iy_v
c;3;has it come to an end;hh_ah_z ah_t k_ah_m t_ah ah_n eh_n_d
b;4;were you ever meant to be;w_er y_uw eh_v_er m_eh_n_t t_uw b_iy
h;5;meant to be for me;m_eh_n_t t_uw b_iy f_ao_r m_iy
a;7;aaah ah-aaah;t_r_ih_p_ah_l_ey_ae ae_hh_hh
i;8;could I ever make it work;k_uh_d ay eh_v_er m_ey_k ih_t w_er_k
l;9;work for us again;w_er_k f_r_er y_uw_eh_s ah_g_ey_n
d;10;so I say hey whats on your mind;s_ow ay s_ey hh_ey w_ah_t_s aa_n y_ao_r m_ay_n_d
e;11;so you say hey whats on yours;s_ow y_uw s_ey hh_ey w_ah_t_s aa_n y_uh_r_z
f;12;i just want you to know;ay jh_ah_s_t w_aa_n_t y_uw t_uw n_ow
m;13;you can;y_uw k_ah_n
g;15;keep your little love;k_iy_p y_ao_r l_ih_t_ah_l l_ah_v
d;16;keep your little lie;k_iy_p y_ao_r l_ih_t_ah_l l_ay
m;17;cause im too tired to go on;k_aa_z ay_m t_uw t_ay_r_d t_uw g_ow aa_n
g;19;keep your little love;k_iy_p y_ao_r l_ih_t_ah_l l_ah_v
d;20;keep your little lie;k_iy_p y_ao_r l_ih_t_ah_l l_ay
c;21;keep it to yourself;k_iy_p ih_t t_uw y_er_s_eh_l_f
m;22;‘  cause im too tired to go on; ah_ae k_aa_z ay_m t_uw t_ay_r_d t_uw g_ow aa_n
b;24;its time for me to leave;ih_t_s t_ay_m f_ao_r m_iy t_uw l_iy_v
c;25;it has come to an end;ih_t hh_ah_z k_ah_m t_uw ae_n eh_n_d
b;26;you were never meant to be;y_uw w_er n_eh_v_er m_eh_n_t t_uw b_iy
h;27;meant to be for me;m_eh_n_t t_uw b_iy f_ao_r m_iy
d;28;so you say hey whats on your mind;s_ow y_uw s_ey hh_ey w_ah_t_s aa_n y_ao_r m_ay_n_d
e;29;but I say hey whats on yours;b_ah_t ay s_ey hh_ey w_ah_t_s aa_n y_uh_r_z
f;30;i just want you to know;ay jh_ah_s_t w_aa_n_t y_uw t_uw n_ow
m;31;you can;y_uw k_ah_n
g;33;keep your little love;k_iy_p y_ao_r l_ih_t_ah_l l_ah_v
d;34;keep your little lie;k_iy_p y_uh_r l_ih_t_ah_l l_ay
c;35;keep it to yourself;k_iy_p ih_t t_uw y_er_s_eh_l_f
h;36;‘  cause im too tired to go on; ah_ae k_aa_z ay_m t_uw t_ay_r_d t_uw g_ow aa_n
g;38;keep your little love;k_iy_p y_ao_r l_ih_t_ah_l l_ah_v
d;39;keep your little lie;k_iy_p y_uh_r l_ih_t_ah_l l_ay
c;40;keep it to yourself;k_iy_p ih_t t_uw y_er_s_eh_l_f
d;41;cause im so tired;k_aa_z ay_m s_ow t_ay_r_d
g;43;keep your little love;k_iy_p y_ao_r l_ih_t_ah_l l_ah_v
d;44;keep your little lie;k_iy_p y_ao_r l_ih_t_ah_l l_ay
c;45;keep it to yourself;k_iy_p ih_t t_uw y_er_s_eh_l_f
f;46;cause im too tired to go;k_aa_z ay_m t_uw t_ay_r_d t_uw g_ow
g;48;keep your little love;k_iy_p y_ao_r l_ih_t_ah_l l_ah_v
d;49;keep your little lie;k_iy_p y_ao_r l_ih_t_ah_l l_ay
c;50;keep it to yourself;k_iy_p ih_t t_uw y_er_s_eh_l_f
f;51;cause im too tired to go;k_aa_z ay_m t_uw t_ay_r_d t_ah g_ow
