Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;i wanna be everything that Im not;ay w_aa_n_ah b_iy eh_v_r_iy_th_ih_ng dh_ah_t ay_m n_ax_t
f;1;i wanna be rich I wanna show off;ay w_aa_n_ah b_iy r_ih_ch ay w_aa_n_ah sh_ow ao_f
a;2;just a desperado with a sour twist;jh_ah_s_t ah d_eh_s_p_er_aa_d_ow w_ih_dh ah s_ao_r t_w_ih_s_t
a;3;and itll all come sweet on your lips;ah_n_d ih_t_l ao_l k_ah_m s_w_iy_t aa_n y_ao_r l_ih_p_s
b;5;cause Im in love so old;k_aa_z ay_m ih_n l_ah_v s_ow ow_l_d
b;6;put your flowers down its too cold;p_uh_t y_ao_r f_l_aw_er_z d_aw_n ih_t_s t_uw k_ow_l_d
c;7;fuck your romance I wanna pretend;f_ah_k y_ao_r r_ow_m_ae_n_s_ah ay w_aa_n_ah p_r_iy_t_eh_n_d
g;8;that Jenny Lee Lindberg (is) my;dh_ae_t jh_eh_n_iy l_iy l_ay_n_d_b_er_g ih_z m_ay
h;9;girlfriend;g_er_l_f_r_eh_n_d
d;11;with the sun on my back its a nice day;w_ih_dh dh_ah s_ah_n aa_n m_ay b_ae_k ih_t_s ah n_ay_s d_ey
d;12;i will never ch-choose any other way;ay w_ah_l n_eh_v_er ch_er_ eh_n_iy ah_dh_er w_ey
c;13;x2;eh_k_s_ae
c;15;i need to come up to see my friends;ay n_iy_d t_uw k_ah_m ah_p t_uw s_iy m_ay f_r_eh_n_d_z
d;16;i need to come down to feel insane;ay n_iy_d t_uw k_ah_m d_aw_n t_uw f_iy_l ih_n_s_ey_n
i;17;i know I ain-t cool right now;ay n_ow ay ey_n_t k_uw_l r_ay_t n_aw
e;18;im (as) high (as) a fool Im out of sight yeah;ay_m ae_z hh_ay ae_z ah f_uw_l ay_m aw_t ah_v s_ay_t y_ae
d;20;with the sun on my back its a nice day;w_ih_dh dh_ah s_ah_n aa_n m_ay b_ae_k ih_t_s ah n_ay_s d_ey
d;21;i will never ch-choose any other way;ay w_ah_l n_eh_v_er ch_er_ eh_n_iy ah_dh_er w_ey
d;22;with the sun on my back its a nice day;w_ih_dh dh_ah s_ah_n aa_n m_ay b_ae_k ih_t_s ah n_ay_s d_ey
d;23;i will never ch-choose any other way;ay w_ah_l n_eh_v_er ch_er_ eh_n_iy ah_dh_er w_ey
