Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;why don-t you come over;hh_w_ay d_ow_n y_uw k_ah_m ow_v_er
b;1;make some dinner;m_ey_k s_ah_m d_ih_n_er
d;2;we can mute the Knicks game;w_iy k_ae_n m_y_uw_t dh_iy n_ih_k_s g_ey_m
c;3;and put on a record;ah_n_d p_uh_t aa_n ey r_ah_k_ao_r_d
a;4;head over to Mobil;hh_eh_d ow_v_er t_ah m_ow_b_ah_l
e;5;pick out a sixer;p_ih_k aw_t ey s_ih_k_s_er_r
f;6;pretend you don-t miss her;p_r_iy_t_eh_n_d y_uw d_ow_n m_ih_s hh_er
c;7;not anymore;n_ax_t eh_n_iy_m_ao_r
g;9;how was your weekend;hh_aw w_ah_z y_ao_r w_iy_k_eh_n_d
g;10;did you get a cool boyfriend;d_ih_d y_uw g_eh_t ah k_uw_l b_oy_f_r_eh_n_d
b;11;you didn-t;y_uw d_ih_d_ah_n
h;12;but I bet you will soon;b_ah_t ay b_eh_t y_uw w_ih_l s_uw_n
a;14;why don-t you come over;hh_w_ay d_ow_n y_uw k_ah_m ow_v_er
i;15;same time tomorrow;s_ey_m t_ay_m t_uw_m_aa_r_ow
f;16;and every day after;ah_n_d eh_v_er_iy d_ey ae_f_t_er
d;17;until you feel better;ah_n_t_ih_l y_uw f_iy_l b_eh_t_er
