Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;what you didn-t know Christmas went (hip-hop);w_ah_t y_uw d_ih_d_n_t n_ow k_r_ih_s_m_ah_s w_eh_n_t hh_ih_p_hh_aa_p
a;1;check the clock and let the jingle bells rock;ch_eh_k dh_iy k_l_aa_k ah_n_d l_eh_t dh_iy jh_ih_ng_g_ah_l b_eh_l_z r_aa_k
b;3;snow on my window pane eating candy canes;s_n_ow aa_n m_ay w_ih_n_d_ow p_ey_n iy_t_ih_ng k_ae_n_d_iy k_ey_n_z
b;4;christmas (is) here I feel it in my veins;k_r_ih_s_m_ah_s ah_z hh_ih_r ay f_iy_l ah_t ih_n_ch m_ay v_ey_n_z
b;5;to celebrate the 25th (is) the date;t_ah s_eh_l_ah_b_r_ey_t dh_iy  ah_z dh_iy d_ey_t
b;6;its time for love its not too late;ih_t_s t_ay_m f_ao_r l_ah_v ih_t_s n_ax_t t_uw l_ey_t
c;7;sit by the tree shining bright;s_ih_t b_ay dh_ah t_r_iy sh_ay_n_ih_ng b_r_ay_t
c;8;listening to the carols on the radio all night;l_ih_s_n_ih_ng t_uw dh_ah k_eh_r_ah_l_z aa_n dh_ah r_ey_d_iy_ow ao_l n_ay_t
d;9;snuggle close with the one you love;s_n_ah_g_ah_l k_l_ow_s w_ih_dh dh_ah w_ah_n y_uw l_ah_v
d;10;kiss while the mistletoe hangs above;k_ih_s w_ay_l dh_ah m_ih_s_ah_l_t_ow hh_ae_ng_z ah_b_ah_v
l;11;you don-t know what youre missing til you miss it;y_uw d_ow_n_t n_ow w_ah_t y_uw_r m_ih_s_ih_ng t_ih_l y_uw m_ih_s ih_t
l;12;christmas (is) fun so get with it;k_r_ih_s_m_ah_s ih_z f_ah_n s_ow g_eh_t w_ih_dh ih_t
a;13;what you didn-t know Christmas went (hip-hop);w_ah_t y_uw d_ih_d_n_t n_ow k_r_ih_s_m_ah_s w_eh_n_t hh_ih_p_hh_aa_p
a;14;check the clock and let the jingle bells rock;ch_eh_k dh_ah k_l_aa_k ah_n_d l_eh_t dh_ah jh_ih_ng_g_ah_l b_eh_l_z r_aa_k
e;16;i saw a wreath hanging on every door;ay s_ao ah r_iy_th hh_ae_ng_ih_ng aa_n eh_v_er_iy d_ao_r
m;17;santa on the corner getting cash for the poor;s_ae_n_t_ax aa_n dh_ah k_ao_r_n_er g_eh_t_ih_ng k_ae_sh f_ao_r dh_ah p_uh_r
f;18;people shopping their eyes filled with gleam;p_iy_p_ah_l sh_aa_p_ih_ng dh_eh_r ay_z f_ih_l_d w_ih_dh g_l_iy_m
f;19;store windows have a Christmas theme;s_t_ao_r w_ih_n_d_ow_z hh_ae_v ah k_r_ih_s_m_ah_s th_iy_m
g;20;chestnuts roasting;ch_eh_s_n_ah_t_s r_ow_s_t_ih_ng
g;21;champagne toasting;sh_ae_m_p_ey_n t_ow_s_t_ih_ng
g;22;kids on the corner with their new toys boasting;k_ih_d_z aa_n dh_ah k_ao_r_n_er w_ih_dh dh_eh_r n_y_uw t_oy_z b_ow_s_t_ih_ng
h;23;open your heart cause Tee has an earful;ow_p_ah_n y_ao_r hh_aa_r_t k_aa_z t_iy hh_ah_z ae_n ih_r_f_uh_l
h;24;no time for hate be cheerful;n_ow t_ay_m f_ao_r hh_ey_t b_iy ch_ih_r_f_ah_l
e;25;snowflakes falling relatives calling;s_n_ow_f_l_ey_k_s f_aa_l_ih_ng r_eh_l_ah_t_ih_v_z k_ao_l_ih_ng
n;26;its Christmas so have a ball (an-);ih_t_s k_r_ih_s_m_ah_s s_ow hh_ae_v ah b_ao_l ah_n_eh
d;27;rock with Sweet Tee cause Im pumping;r_aa_k w_ih_dh s_w_iy_t t_iy k_aa_z ay_m p_ah_m_p_ih_ng
d;28;when Im in the place I gets the party jumping;w_eh_n ay_m ih_n dh_ah p_l_ey_s ay g_eh_t_s dh_iy p_aa_r_t_iy jh_ah_m_p_ih_ng
l;29;so get near it I know you hear it;s_ow g_eh_t n_ih_r ih_t ay n_ow y_uw hh_ih_r ih_t
h;30;tees doing it up with the Christmas spirit;t_iy_z d_uw_ih_ng ih_t ah_p w_ih_dh dh_ah k_r_ih_s_m_ah_s s_p_ih_r_ah_t
a;31;you said you didn-t know Christmas went (hip-hop);y_uw s_eh_d y_uw d_ih_d_n_t n_ow k_r_ih_s_m_ah_s w_eh_n_t hh_ih_p_hh_aa_p
a;32;check the clock and let the jingle bells rock;ch_eh_k dh_ah k_l_aa_k ah_n_d l_eh_t dh_iy jh_ih_ng_g_ah_l b_eh_l_z r_aa_k
b;34;how many of you can seriously say;hh_aw m_eh_n_iy ah_v y_uw k_ah_n s_ih_r_iy_ah_s_l_iy s_ey
b;35;you heard a girl rock the mic this way;y_uw hh_er_d ah g_er_l r_aa_k dh_ah m_ih_k dh_ih_s w_ey
i;36;i say it with feeling add a little passion;ay s_ey ih_t w_ih_dh f_iy_l_ih_ng ae_d ah l_ih_t_ah_l p_ae_sh_ah_n
i;37;but I do it in a ladylike fashion;b_ah_t ay d_uw ih_t ih_n ah l_ey_d_iy_l_ay_k f_ae_sh_ah_n
g;38;on the go whether fast or slow;aa_n dh_ah g_ow w_eh_dh_er f_ae_s_t ao_r s_l_ow
g;39;im a pro so my rhymes flow;ay_m ah p_r_ow s_ow m_ay r_ay_m_z f_l_ow
h;40;grab a friend and have some fun here;g_r_ae_b ah f_r_eh_n_d ah_n_d hh_ae_v s_ah_m f_ah_n hh_ih_r
h;41;christmas (is) once a year;k_r_ih_s_m_ah_s ih_z w_ah_n_s ah y_ih_r
f;42;turn on your radio rock with Sweet Tee;t_er_n aa_n y_ao_r r_ey_d_iy_ow r_aa_k w_ih_dh s_w_iy_t t_iy
g;43;shake your body to the Christmas beat so;sh_ey_k y_ao_r b_aa_d_iy t_uw dh_ah k_r_ih_s_m_ah_s b_iy_t s_ow
a;44;now you know Christmas (is) (hip-hop);n_aw y_uw n_ow k_r_ih_s_m_ah_s ih_z hh_ih_p_hh_aa_p
a;45;don-t stop let the jingle bells rock;d_ow_n_t s_t_aa_p l_eh_t dh_ah jh_ih_ng_g_ah_l b_eh_l_z r_aa_k
g;47;the last day of the year (is) here so now you know;dh_ah l_ae_s_t d_ey ah_v dh_ah y_ih_r ih_z hh_ih_r s_ow n_aw y_uw n_ow
g;48;at the stroke of twelve you gotta let it go;ae_t dh_ah s_t_r_ow_k ah_v t_w_eh_l_v y_uw g_aa_t_ah l_eh_t ih_t g_ow
h;49;out with someone dear;aw_t w_ih_dh s_ah_m_w_ah_n d_ih_r
h;50;throw confetti scream Happy New Year;th_r_ow k_ah_n_f_eh_t_iy s_k_r_iy_m hh_ae_p_iy n_uw y_ih_r
g;51;in with the new out with the old;ih_n w_ih_dh dh_ah n_y_uw aw_t w_ih_dh dh_ah ow_l_d
l;52;sweet Tee (is) signing off and now youve been told to;s_w_iy_t t_iy ih_z s_ay_n_ih_ng ao_f ah_n_d n_aw y_uw_v b_ih_n t_ow_l_d t_uw
c;53;make it good do it up right;m_ey_k ih_t g_uh_d d_uw ih_t ah_p r_ay_t
c;54;merry Christmas to all and to all a good night;m_eh_r_iy k_r_ih_s_m_ah_s t_uw ao_l ah_n_d t_uw ao_l ah g_uh_d n_ay_t
a;56;let the jingle bells rock;l_eh_t dh_ah jh_ih_ng_g_ah_l b_eh_l_z r_aa_k
