Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ive seen the light;ay_v s_iy_n dh_ah l_ay_t
b;1;and Ive seen it fade;ah_n_d ay_v s_iy_n ih_t f_ey_d
b;2;and I walked away;ah_n_d ay w_ao_k_t ah_w_ey
b;3;still Im okay;s_t_ih_l ay_m ow_k_ey
a;4;i remember the pain inside;ay r_ih_m_eh_m_b_ax dh_ah p_ey_n ih_n_s_ay_d
a;5;on the day when my mother died;aa_n dh_ah d_ey w_eh_n m_ay m_ah_dh_er d_ay_d
b;6;never went away;n_eh_v_er w_eh_n_t ah_w_ey
b;7;its still here today;ih_t_s s_t_ih_l hh_ih_r t_ah_d_ey
c;9;your born alone;y_ao_r b_ao_r_n ah_l_ow_n
c;10;you die alone;y_uw d_ay ah_l_ow_n
g;11;and still we live on;ah_n_d s_t_ih_l w_iy l_ay_v aa_n
d;12;see yesterday (is) a memory;s_iy y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;13;tomorrow (is) a vision;t_ah_m_aa_r_ow ih_z ah v_ih_zh_ah_n
e;14;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ah b_ih_ch
d;15;yesterday (is) a memory;y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;16;tomorrow (is) a vision;t_ah_m_aa_r_ow ih_z ah v_ih_zh_ah_n
e;17;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ah b_ih_ch
f;19;and my baby he went to sleep;ah_n_d m_ay b_ey_b_iy hh_iy w_eh_n_t t_uw s_l_iy_p
f;20;in his mothers arms we prayed to keep;ih_n hh_ih_z m_ah_dh_er_z aa_r_m_z w_iy p_r_ey_d t_uw k_iy_p
b;21;the shadow away;dh_ah sh_ae_d_ow ah_w_ey
b;22;he never lived a day;hh_iy n_eh_v_er l_ih_v_d ah d_ey
b;23;best friend called me up to say;b_eh_s_t f_r_eh_n_d k_ao_l_d m_iy ah_p t_uw s_ey
b;24;with a gun in his hand said hes goin crazy;w_ih_dh ah g_ah_n ih_n hh_ih_z hh_ae_n_d s_eh_d hh_iy_s g_oy_n k_r_ey_z_iy
b;25;said youll be okay;s_eh_d y_uw_l b_iy ow_k_ey
b;26;he still died the next day;hh_iy s_t_ih_l d_ay_d dh_ah n_eh_k_s_t d_ey
c;28;your born alone;y_ao_r b_ao_r_n ah_l_ow_n
c;29;you die alone;y_uw d_ay ah_l_ow_n
g;30;and still we live on;ah_n_d s_t_ih_l w_iy l_ay_v aa_n
d;31;see yesterday (is) a memory;s_iy y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;32;tomorrow (is) a vision;t_ah_m_aa_r_ow ah_z ey v_ih_zh_ah_n
e;33;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ah b_ih_ch
d;34;yesterday (is) a memory;y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;35;tomorrow (is) a vision;t_ah_m_aa_r_ow ih_z ah v_ih_zh_ah_n
e;36;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ah b_ih_ch
a;38;i stood in line;ay s_t_uh_d ih_n l_ay_n
a;39;ive lost my pride;ay_v l_ao_s_t m_ay p_r_ay_d
b;40;ive made the change;ay_v m_ey_d dh_ah ch_ey_n_jh
b;41;im a better man today;ay_m ah b_eh_t_er m_ae_n t_ah_d_ey
a;42;death brings life;d_eh_th b_r_ih_ng_z l_ay_f
a;43;still we try;s_t_ih_l w_iy t_r_ay
b;44;to live a better way;t_uw l_ay_v ah b_eh_t_er w_ey
b;45;before your dyin day;b_ah_f_ao_r y_ao_r d_ay_iy_n d_ey
c;47;your born alone;y_ao_r b_ao_r_n ah_l_ow_n
c;48;you die alone;y_uw d_ay ah_l_ow_n
g;49;and still we live on;ah_n_d s_t_ih_l w_iy l_ay_v aa_n
d;50;see yesterday (is) a memory;s_iy y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;51;tomorrow (is) a vision;t_ah_m_aa_r_ow ih_z ah v_ih_zh_ah_n
e;52;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ah b_ih_ch
d;53;yesterday (is) a memory;y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;54;tomorrow (is) a vision;t_ah_m_aa_r_ow ih_z ah v_ih_zh_ah_n
e;55;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ey b_ih_ch
d;57;yesterday (is) a memory;y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;58;but today its a bitch;b_ah_t t_ah_d_ey ih_t_s ah b_ih_ch
d;59;yesterday (is) a memory;y_eh_s_t_er_d_ey ih_z ah m_eh_m_ax_r_iy
e;60;tomorrow (is) a vision;t_ah_m_aa_r_ow ih_z ah v_ih_zh_ah_n
