Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;yeah;y_ae
a;2;yeah yeah;y_ae y_ae
a;4;yeah;y_ae
h;6;take the burden from my arms;t_ey_k dh_iy b_er_d_ah_n f_er_m m_ay aa_r_m_z
b;7;take the anchors off my lungs;t_ey_k dh_iy ae_ng_k_er_z ao_f m_ay l_ah_ng_z
b;8;take me broken and make me one;t_ey_k m_iy b_r_ow_k_ah_n ah_n_d m_ey_k m_iy hh_w_ah_n
c;9;break the silence and make it a song;b_r_ey_k dh_iy s_ay_l_ah_n_s ah_n_d m_ey_k ah_t ey s_ao_ng
d;11;life (is) short I wanna live it well;l_ay_f ah_z sh_ao_r_t ay w_aa_n_ah l_ay_v ah_t w_eh_l
d;12;one life one story to tell;hh_w_ah_n l_ay_f hh_w_ah_n s_t_ao_r_iy t_ah t_eh_l
d;13;life (is) short I wanna live it well;l_ay_f ah_z sh_ao_r_t ay w_aa_n_ah l_ay_v ah_t w_eh_l
i;14;and youre the one Im living for;ah_n_d y_uw_r dh_ah w_ah_n ay_m l_ih_v_ih_ng f_ao_r
e;15;awaken all my soul;ah_w_ey_k_ah_n ao_l m_ay s_ow_l
f;16;every breath that you take (is) a miracle;eh_v_er_iy b_r_eh_th dh_ae_t y_uw t_ey_k ih_z ah m_ih_r_ah_k_ah_l
a;17;life (is) short I wanna live it well yeah;l_ay_f ih_z sh_ao_r_t ay w_aa_n_ah l_ay_v ih_t w_eh_l y_ae
c;19;i wanna sing with all my heart a lifelong song;ay w_aa_n_ah s_ih_ng w_ih_dh ao_l m_ay hh_aa_r_t ah l_ay_f_l_ao_ng s_ao_ng
c;20;even if some notes come out right and some come out wrong;iy_v_ah_n ah_f s_ah_m n_ow_t_s k_ah_m aw_t r_ay_t ah_n_d s_ah_m k_ah_m aw_t r_ao_ng
c;21;cause I can-t take none of that through the door;k_aa_z ay k_ae_n_t t_ey_k n_ah_n ah_v dh_ae_t th_r_uw dh_ah d_ao_r
l;22;yeah Im living for more than just a funeral;y_ae ay_m l_ih_v_ih_ng f_ao_r m_ao_r dh_ae_n jh_ah_s_t ah f_y_uw_n_er_ah_l
c;23;i wanna burn brighter than the dawn;ay w_aa_n_ah b_er_n b_r_ay_t_er dh_ae_n dh_ah d_ao_n
d;25;life (is) short I wanna live it well;l_ay_f ih_z sh_ao_r_t ay w_aa_n_ah l_ay_v ih_t w_eh_l
d;26;one life one story to tell;w_ah_n l_ay_f w_ah_n s_t_ao_r_iy t_uw t_eh_l
d;27;life (is) short I wanna live it well;l_ay_f ih_z sh_ao_r_t ay w_aa_n_ah l_ay_v ih_t w_eh_l
i;28;and youre the one Im living for;ah_n_d y_uw_r dh_ah w_ah_n ay_m l_ih_v_ih_ng f_ao_r
e;29;awaken all my soul;ah_w_ey_k_ah_n ao_l m_ay s_ow_l
f;30;every breath that you take (is) a miracle;eh_v_er_iy b_r_eh_th dh_ae_t y_uw t_ey_k ih_z ah m_ih_r_ah_k_ah_l
a;31;life (is) short I wanna live it well yeah;l_ay_f ih_z sh_ao_r_t ay w_aa_n_ah l_ay_v ih_t w_eh_l y_ae
b;33;i got one life and one love;ay g_aa_t w_ah_n l_ay_f ah_n_d w_ah_n l_ah_v
b;34;i got one voice but maybe thats enough;ay g_aa_t w_ah_n v_oy_s b_ah_t m_ey_b_iy dh_ae_t_s ah_n_ah_f
f;35;cause with one heartbeat and two hands to give;k_aa_z w_ih_dh w_ah_n hh_aa_r_t_b_iy_t ah_n_d t_uw hh_ae_n_d_z t_uw g_ih_v
g;36;i got one shot and one life to live;ay g_aa_t w_ah_n sh_aa_t ah_n_d w_ah_n l_ay_f t_uw l_ay_v
a;37;one life to live yeah;w_ah_n l_ay_f t_uw l_ay_v y_ae
f;38;and every breath you take (is) a miracle;ah_n_d eh_v_er_iy b_r_eh_th y_uw t_ey_k ih_z ah m_ih_r_ah_k_ah_l
d;40;life (is) short I wanna live it well;l_ay_f ih_z sh_ao_r_t ay w_aa_n_ah l_ay_v ih_t w_eh_l
d;41;one life one story to tell;w_ah_n l_ay_f w_ah_n s_t_ao_r_iy t_uw t_eh_l
d;42;life (is) short I wanna live it well;l_ay_f ih_z sh_ao_r_t ay w_aa_n_ah l_ay_v ih_t w_eh_l
m;43;and youre the one Im living for;ah_n_d y_uw_r dh_ah w_ah_n ay_m l_ih_v_ih_ng f_r_er
e;44;awaken all my soul;ah_w_ey_k_ah_n ao_l m_ay s_ow_l
f;45;every breath that you take (is) a miracle;eh_v_r_iy b_r_eh_th dh_ah_t y_uw t_ey_k ah_z ey m_ih_r_ah_k_ah_l
d;46;life (is) short I wanna live it well;l_ay_f ah_z sh_ao_r_t ay w_aa_n_ah l_ay_v ah_t w_eh_l
h;47;and youre the one Im living for;ah_n_d y_uw_r dh_ah w_ah_n ay_m l_ih_v_ih_ng f_ao_r
b;49;one life one love;w_ah_n l_ay_f w_ah_n l_ah_v
b;50;one life one love;w_ah_n l_ay_f w_ah_n l_ah_v
a;51;one voice yeah;w_ah_n v_oy_s y_ae
e;52;and thats enough oh;ah_n_d dh_ae_t_s ah_n_ah_f ow
g;54;i got one shot and one life to live one life to live;ay g_aa_t w_ah_n sh_aa_t ah_n_d w_ah_n l_ay_f t_uw l_ay_v w_ah_n l_ay_f t_uw l_ay_v
