Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;haven-t the word;hh_ae_v_n_t dh_ah w_er_d
b;1;and hands are tied;ah_n_d hh_ae_n_d_z aa_r t_ay_d
n;2;theyre leaving you;dh_ey_r l_iy_v_ih_ng y_uw
o;3;the cheap confusion;dh_ah ch_iy_p k_ah_n_f_y_uw_zh_ah_n
c;4;pulls through;p_uh_l_z th_r_uw
d;5;enter the mirror;eh_n_t_ax_r dh_ah m_ih_r_er
d;6;the grays appear;dh_ah g_r_ey_z ah_p_ih_r
e;7;discard the reel;d_ih_s_k_aa_r_d dh_ah r_iy_l
p;8;she-s making me;s_hh_iy_z m_ey_k_ih_ng m_iy
b;9;Seem unkind;s_iy_m ah_n_k_ay_n_d
f;10;listen too long;l_ih_s_ah_n t_uw l_ao_ng
f;11;so play along;s_ow p_l_ey ah_l_ao_ng
c;12;one seldom viewed;w_ah_n s_eh_l_d_ah_m v_y_uw_d
g;13;policing Im told jut out;p_ah_l_iy_s_ih_ng ay_m t_ow_l_d jh_ah_t aw_t
e;14;shooting the breeze;sh_uw_t_ih_ng dh_ah b_r_iy_z
g;15;and see her now;ah_n_d s_iy hh_er n_aw
n;16;confide in you;k_ah_n_f_ay_d ih_n y_uw
q;17;two images bound and cut;t_uw ih_m_ah_jh_ah_z b_aw_n_d ah_n_d k_ah_t
a;18;something angled in the dirt;s_ah_m_th_ih_ng ae_ng_g_ah_l_d ih_n dh_ah d_er_t
g;19;you don-t walk for an hour;y_uw d_ow_n_t w_ao_k f_ao_r ae_n aw_er
h;20;first offense it has been shot;f_er_s_t ah_f_eh_n_s ih_t hh_ah_z b_ih_n sh_aa_t
i;21;lost your footing;l_ao_s_t y_ao_r f_uh_t_ih_ng
g;22;hopeless now;hh_ow_p_l_ah_s n_aw
f;23;covered metal on the wall;k_ah_v_er_d m_eh_t_ah_l aa_n dh_ah w_ao_l
d;24;you can lend another skin;y_uw k_ah_n l_eh_n_d ah_n_ah_dh_er s_k_ih_n
l;25;twice now fixed on such a mess;t_w_ay_s n_aw f_ih_k_s_t aa_n s_ah_ch ah m_eh_s
m;26;subtle green and send it back;s_ah_t_ah_l g_r_iy_n ah_n_d s_eh_n_d ih_t b_ae_k
m;27;precious ornament to crack;p_r_eh_sh_ah_s ao_r_n_ah_m_eh_n_t t_uw k_r_ae_k
b;28;its an overwhelming lie;ih_t_s ae_n ow_v_ax_w_eh_l_m_ih_ng l_ay
h;29;first offense it has been shot;f_er_s_t ah_f_eh_n_s ih_t hh_ah_z b_ih_n sh_aa_t
i;30;lost your footing;l_ao_s_t y_ao_r f_uh_t_ih_ng
g;31;hopeless now;hh_ow_p_l_ah_s n_aw
f;32;covered metal on the wall;k_ah_v_er_d m_eh_t_ah_l aa_n dh_ah w_ao_l
d;33;you can lend another skin;y_uw k_ah_n l_eh_n_d ah_n_ah_dh_er s_k_ih_n
l;34;twice now fixed on such a mess;t_w_ay_s n_aw f_ih_k_s_t aa_n s_ah_ch ah m_eh_s
m;35;subtle green and send it back;s_ah_t_ah_l g_r_iy_n ah_n_d s_eh_n_d ih_t b_ae_k
m;36;precious ornament to crack;p_r_eh_sh_ah_s ao_r_n_ah_m_eh_n_t t_uw k_r_ae_k
b;37;its an overwhelming lie;ih_t_s ae_n ow_v_ax_w_eh_l_m_ih_ng l_ay
