Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;where do you go;hh_w_eh_r d_uw y_uw g_ow
c;1;when youre here in the room;hh_w_ih_n y_uw_r hh_ih_r ih_n dh_ah r_uw_m
b;2;but somewhere else inside my dear;b_ah_t s_ah_m_w_eh_r eh_l_s ih_n_s_ay_d m_ay d_ih_r
a;3;i don-t know;ay d_ow_n n_ow
d;4;the warm embrace of a young man that went to fire;dh_iy w_ao_r_m eh_m_b_r_ey_s ah_v ey y_ah_ng m_ae_n dh_ah_t w_eh_n_t t_ah f_ay_r
a;5;in the war alone long time ago;ih_n_ch dh_iy w_ao_r ah_l_ow_n l_ao_ng t_ay_m ah_g_ow
a;6;(is) there where you go;ih_z dh_eh_r w_eh_r y_uw g_ow
b;8;and in the sea lost to the wind;ah_n_d ih_n_ch dh_iy s_iy l_ao_s_t t_ah dh_iy w_ih_n_d
b;9;a boat caught a drift on a strange sea within;ey b_ow_t k_aa_t ey d_r_ih_f_t aa_n ey s_t_r_ey_n_jh s_iy w_ih_th_ih_n
e;11;dance on ice summers that last still longer than today;d_ae_n_s aa_n ay_s s_ah_m_er_z dh_ah_t l_ae_s s_t_ih_l l_ao_ng_g_er dh_ah_n t_uw_d_ey
c;12;through fields you used to run when you were young;th_r_uw f_iy_l_d_z y_uw y_uw_z_d t_ah r_ah_n hh_w_ih_n y_uw w_er y_ah_ng
b;14;and in the sea lost to the wind;ah_n_d ih_n_ch dh_iy s_iy l_ao_s_t t_ah dh_iy w_ih_n_d
b;15;wish I could reach her she won-t let me in;w_ih_sh ay k_uh_d r_iy_ch hh_er sh_iy w_ow_n_t l_eh_t m_iy ih_n
b;16;and in the sea lost to the wind;ah_n_d ih_n dh_ah s_iy l_ao_s_t t_uw dh_ah w_ih_n_d
b;17;to the wind;t_uw dh_ah w_ih_n_d
b;19;and in the sea lost to the wind;ah_n_d ih_n dh_ah s_iy l_ao_s_t t_uw dh_ah w_ih_n_d
b;20;a boat caught a drift on a strange sea within;ah b_ow_t k_aa_t ah d_r_ih_f_t aa_n ah s_t_r_ey_n_jh s_iy w_ah_dh_ih_n
b;21;wish I could reach her she won-t let me in;w_ih_sh ay k_uh_d r_iy_ch hh_er sh_iy w_ow_n_t l_eh_t m_iy ih_n
b;22;and in the sea lost to the wind;ah_n_d ih_n dh_ah s_iy l_ao_s_t t_uw dh_ah w_ih_n_d
b;23;the boat caught a drift on a strange sea within;dh_ah b_ow_t k_aa_t ah d_r_ih_f_t aa_n ah s_t_r_ey_n_jh s_iy w_ah_dh_ih_n
b;24;and in a sea lost to the wind;ah_n_d ih_n ah s_iy l_ao_s_t t_uw dh_ah w_ih_n_d
b;25;lost to the wind;l_ao_s_t t_uw dh_ah w_ih_n_d
