Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;gang;g_ae_ng
e;1;six O;s_ih_k_s ow
a;2;im on a whole lotta gang shit man;ay_m aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t m_ae_n
a;3;you already know how Im rockin man;y_uw ao_l_r_eh_d_iy n_ow hh_aw ay_m r_aa_k_iy_n m_ae_n
a;4;lea gang shit man Baldyworld Shaq City man;l_iy g_ae_ng sh_iy_t m_ae_n  sh_ae_k s_ih_t_iy m_ae_n
a;5;steve Drive man you already know how Im coming man;s_t_iy_v d_r_ay_v m_ae_n y_uw ao_l_r_eh_d_iy n_ow hh_aw ay_m k_ah_m_ih_ng m_ae_n
e;6;six O;s_ih_k_s ow
f;7;i gotta say that shit a hundred times;ay g_aa_t_ah s_ey dh_ae_t sh_iy_t ah hh_ah_n_d_r_ah_d t_ay_m_z
b;8;im Six O till the day I die you feel me my nigga;ay_m s_ih_k_s ow t_ih_l dh_ah d_ey ay d_ay y_uw f_iy_l m_iy m_ay n_ih_g_ae
g;9;lets get it;w_iy_s g_eh_t ih_t
e;10;six O;s_ih_k_s ow
c;12;whole lotta gang shit;hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
c;13;this a whole lotta gang shit;dh_ih_s ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
b;14;im 60 with my gang bitch;ay_m  w_ih_dh m_ay g_ae_ng b_ih_ch
c;15;we on a whole lotta gang shit;w_iy aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
c;16;whole lotta gang shit;hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
c;17;we on a whole lotta gang shit;w_iy aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
b;18;im 60 with my gang bitch;ay_m  w_ih_dh m_ay g_ae_ng b_ih_ch
c;19;we on that same shit;w_iy aa_n dh_ae_t s_ey_m sh_iy_t
a;21;lea gang bitch Im with that;l_iy g_ae_ng b_ih_ch ay_m w_ih_dh dh_ae_t
a;22;fn push your shit back;eh_f_n p_uh_sh y_ao_r sh_iy_t b_ae_k
a;23;no blah blah no chit chat;n_ow b_l_aa b_l_aa n_ow ch_ih_t ch_ae_t
a;24;nigga small fries we got big MACs;n_ih_g_ae s_m_ao_l f_r_ay_z w_iy g_aa_t b_ih_g m_ae_k_s
a;25;they say they winnin that shit fatz;dh_ey s_ey dh_ey w_ih_n_iy_n dh_ae_t sh_iy_t f_ae_t_s
h;26;real rap I spit facts;r_iy_l r_ae_p ay s_p_ih_t f_ae_k_t_s
a;27;lean a nigga like he sip Act;l_iy_n ah n_ih_g_ae l_ay_k hh_iy s_ih_p ae_k_t
a;28;pistol on me I been strapped;p_ih_s_t_ah_l aa_n m_iy ay b_ih_n s_t_r_ae_p_t
b;29;got the tommy on me no Hilfiger;g_aa_t dh_ah t_aa_m_iy aa_n m_iy n_ow hh_ih_l_f_ay_g_er
i;30;slide up and come deal with ya;s_l_ay_d ah_p ah_n_d k_ah_m d_iy_l w_ih_dh y_aa
b;31;ku Klux Six bitch we kill niggas;k_uw k_l_ah_k_s s_ih_k_s b_ih_ch w_iy k_ih_l n_ih_g_ae_s
b;32;fuck ecstasy we the real hittas;f_ah_k eh_k_s_t_ah_s_iy w_iy dh_ah r_iy_l hh_ih_t_ae_s
c;33;jusblow with me he a wig peeler;j_uw_s_b_l_ax_w w_ih_dh m_iy hh_iy ah w_ih_g p_iy_l_er
b;34;tooka smoking we feel swishas;t_uh_k_ae s_m_ow_k_ih_ng w_iy f_iy_l s_w_ih_sh_ae_s
b;35;promethazine I don-t feel nigga;p_r_ow_m_eh_th_ah_z_iy_n ay d_ow_n_t f_iy_l n_ih_g_ae
b;36;big six O we don-t feel niggas;b_ih_g s_ih_k_s ow w_iy d_ow_n_t f_iy_l n_ih_g_ae_s
b;37;no hesitation well kill niggas;n_ow hh_eh_z_ah_t_ey_sh_ah_n w_iy_l k_ih_l n_ih_g_ae_s
l;38;glock 40 in my Trues;g_l_aa_k  ih_n m_ay T_r_uw_ax_s
m;39;young Famous make you famous;y_ah_ng f_ey_m_ah_s m_ey_k y_uw f_ey_m_ah_s
b;40;hell put you on the news nigga;hh_iy_l p_uh_t y_uw aa_n dh_ah n_y_uw_z n_ih_g_ae
c;42;we on a whole lotta gang shit;w_iy aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
c;43;whole lotta gang shit;hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
b;44;im 60 Im with my gang bitch;ay_m  ay_m w_ih_dh m_ay g_ae_ng b_ih_ch
c;45;we on a whole lotta gang shit;w_iy aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
c;46;whole lotta gang shit;hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
c;47;we on a whole lotta gang shit;w_iy aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
b;48;im 60 Im with my gang bitch;ay_m  ay_m w_ih_dh m_ay g_ae_ng b_ih_ch
c;49;we on a whole lotta gang shit;w_iy aa_n ah hh_ow_l l_aa_t_ah g_ae_ng sh_iy_t
d;51;i got shooters in them cuts;ay g_aa_t sh_uw_t_er_z ih_n dh_eh_m k_ah_t_s
