Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;new York City at this time of year never felt so hard to breathe;n_y_uw y_ao_r_k s_ih_t_iy ae_t dh_ih_s t_ay_m ah_v y_ih_r n_eh_v_er f_eh_l_t s_ow hh_aa_r_d t_uw b_r_iy_dh
a;1;got my eggnog and Henny and a little Christmas cheer;g_aa_t m_ay eh_g_g_n_oh_g ah_n_d H_er_n_ax ah_n_d ah l_ih_t_ah_l k_r_ih_s_m_ah_s ch_ih_r
a;2;baby ima start the fire wait right here;b_ey_b_iy ih_m_ah s_t_aa_r_t dh_ah f_ay_er w_ey_t r_ay_t hh_ih_r
b;4;you can call me jack frost when I send shivers up your spine;y_uw k_ah_n k_ao_l m_iy jh_ae_k f_r_ao_s_t w_eh_n ay s_eh_n_d sh_ih_v_er_z ah_p y_ao_r s_p_ay_n
b;5;im sorry for being naughty let me make up for lost time;ay_m s_aa_r_iy f_ao_r b_iy_ih_ng n_ao_t_iy l_eh_t m_iy m_ey_k ah_p f_ao_r l_ao_s_t t_ay_m
a;6;those dimples in ya back both need a kiss kiss;dh_ow_z d_ih_m_p_ah_l_z ih_n y_aa b_ae_k b_ow_th n_iy_d ah k_ih_s k_ih_s
a;7;i wanna give you everything on ya wishlist;ay w_aa_n_ah g_ih_v y_uw eh_v_r_iy_th_ih_ng aa_n y_aa w_ih_sh_l_ih_s_t
c;8;hold ya body post up making snow angels in a blanket of love;hh_ow_l_d y_aa b_aa_d_iy p_ow_s_t ah_p m_ey_k_ih_ng s_n_ow ey_n_jh_ah_l_z ih_n ah b_l_ae_ng_k_ah_t ah_v l_ah_v
d;10;make it snow cause weve been so cold make it snow;m_ey_k ih_t s_n_ow k_aa_z w_iy_v b_ah_n s_ow k_ow_l_d m_ey_k ah_t s_n_ow
d;11;baby we got all of the lights down low Let it snow;b_ey_b_iy w_iy g_aa_t ao_l ah_v dh_iy l_ay_t_s d_aw_n l_ow l_eh_t ah_t s_n_ow
f;13;set the mood red green blue lights (is) blinking on the tree while Im getting;s_eh_t dh_iy m_uw_d r_eh_d g_r_iy_n b_l_uw l_ay_t_s ah_z b_l_ih_ng_k_ih_ng aa_n dh_iy t_r_iy hh_w_ay_l ay_m g_eh_t_ih_ng
g;14;close to you burning candles meanwhile every time I hit that spot that you;k_l_ow_s t_uw y_uw b_er_n_ih_ng k_ae_n_d_ah_l_z m_iy_n_w_ay_l eh_v_er_iy t_ay_m ay hh_ih_t dh_ae_t s_p_aa_t dh_ae_t y_uw
d;15;can-t handle Im making it snow;k_ae_n_t hh_ae_n_d_ah_l ay_m m_ey_k_ih_ng ih_t s_n_ow
f;16;i see the mistletoe (is) hanging and the Christmas bells (is) clanging;ay s_iy dh_ah m_ih_s_ah_l_t_ow ih_z hh_ae_ng_ih_ng ah_n_d dh_ah k_r_ih_s_m_ah_s b_eh_l_z ih_z k_l_ae_ng_ih_ng
c;17;st Nick on the roof TC in the booth and we got these cookies baking just;s_ey_n_t n_ih_k aa_n dh_ah r_uw_f  ih_n dh_ah b_uw_th ah_n_d w_iy g_aa_t dh_iy_z k_uh_k_iy_z b_ey_k_ih_ng jh_ah_s_t
e;18;like the songs Im making I deliver thats why your shaking shake shaking;l_ay_k dh_ah s_ao_ng_z ay_m m_ey_k_ih_ng ay d_ah_l_ih_v_er dh_ae_t_s w_ay y_ao_r sh_ey_k_ih_ng sh_ey_k sh_ey_k_ih_ng
a;19;shiver;sh_ih_v_er
d;21;the weather outside (is) frightful and this snow (is) so delightful so let it snow;dh_ah w_eh_dh_er aw_t_s_ay_d ih_z f_r_ay_t_f_ah_l ah_n_d dh_ih_s s_n_ow ah_z s_ow d_ah_l_ay_t_f_ah_l s_ow l_eh_t ih_t s_n_ow
