Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;im really sorry phia D for what I said about you It got kinda deadly the;ay_m r_ih_l_iy s_aa_r_iy f_ay_ae d_iy f_ao_r w_ah_t ay s_eh_d ah_b_aw_t y_uw ih_t g_aa_t k_ih_n_d_ah d_eh_d_l_iy dh_ah
a;1;fire blazed and I felt the heat I think about it when I walk the street;f_ay_er b_l_ey_z_d ah_n_d ay f_eh_l_t dh_ah hh_iy_t ay th_ih_ng_k ah_b_aw_t ih_t w_eh_n ay w_ao_k dh_ah s_t_r_iy_t
i;2;im running for president;ay_m r_ah_n_ih_ng f_ao_r p_r_eh_z_ih_d_ax_n_t
b;3;wanna be Whitehouse resident;w_aa_n_ah b_iy w_ay_t_hh_aw_s r_eh_z_ah_d_ah_n_t
l;4;i wanna run the country lead it in a new direction;ay w_aa_n_ah r_ah_n dh_ah k_ah_n_t_r_iy l_iy_d ih_t ih_n ah n_y_uw d_ih_r_eh_k_sh_n
b;5;it would be perfection;ih_t w_uh_d b_iy p_er_f_eh_k_sh_ah_n
c;6;i want you to join my army of rap n roll;ay w_aa_n_t y_uw t_uw jh_oy_n m_ay aa_r_m_iy ah_v r_ae_p eh_n r_ow_l
c;8;thrap (is) loved by all thrap (is) my goal;th_ae_p ih_z l_ah_v_d b_ay ao_l th_ae_p ih_z m_ay g_ow_l
d;9;lemme tell you a story about my old neighborhood and about my old life;l_eh_m_ah t_eh_l y_uw ah s_t_ao_r_iy ah_b_aw_t m_ay ow_l_d n_ey_b_er_hh_uh_d ah_n_d ah_b_aw_t m_ay ow_l_d l_ay_f
c;10;i lived in a trash neighborhood near Quinn Road and Roseville;ay l_ih_v_d ih_n ah t_r_ae_sh n_ey_b_er_hh_uh_d n_ih_r k_w_ih_n r_ow_d ah_n_d r_ow_z_v_ih_l
m;11;down in Mt Clemens the people are fighting still;d_aw_n ih_n m_aw_n_t k_l_eh_m_ah_n_z dh_ah p_iy_p_ah_l aa_r f_ay_t_ih_ng s_t_ih_l
e;13;romance runs the earth and the earth (is) the romance;r_ow_m_ae_n_s_ah r_ah_n_z dh_ah er_th ah_n_d dh_ah er_th ih_z dh_ah r_ow_m_ae_n_s_ah
e;14;flowers are the idea and they lead all of this dance;f_l_aw_er_z aa_r dh_ah ay_d_iy_ah ah_n_d dh_ey l_iy_d ao_l ah_v dh_ih_s d_ae_n_s
b;15;i loved and lived and love and live again like all of you real men;ay l_ah_v_d ah_n_d l_ih_v_d ah_n_d l_ah_v ah_n_d l_ay_v ah_g_eh_n l_ay_k ao_l ah_v y_uw r_iy_l m_eh_n
n;16;got the nice life looking up at me;g_aa_t dh_ah n_ay_s l_ay_f l_uh_k_ih_ng ah_p ae_t m_iy
o;17;haven-t had that since God knows when;hh_ae_v_n_t hh_ae_d dh_ae_t s_ih_n_s g_aa_d n_ow_z w_eh_n
a;19;going down on my knees (as) young men go down on our streets;g_ow_ih_ng d_aw_n aa_n m_ay n_iy_z ae_z y_ah_ng m_eh_n g_ow d_aw_n aa_n aw_r s_t_r_iy_t_s
a;20;america stands united but still it feels the heat;ah_m_eh_r_ah_k_ah s_t_ae_n_d_z y_uw_n_ay_t_ah_d b_ah_t s_t_ih_l ih_t f_iy_l_z dh_ah hh_iy_t
f;21;weve had a lost war for oil an ISIS threat that we made;w_iy_v hh_ae_d ah l_ao_s_t w_ao_r f_ao_r oy_l ae_n ay_s_ah_s th_r_eh_t dh_ae_t w_iy m_ey_d
f;22;a requiem of new proportions and now dug up (is) the grave;ah r_eh_k_w_iy_ah_m ah_v n_y_uw p_r_ah_p_ao_r_sh_ah_n_z ah_n_d n_aw d_ah_g ah_p ih_z dh_ah g_r_ey_v
p;23;i lied to this one cheated this one controlled this one kid too;ay l_ay_d t_uw dh_ih_s w_ah_n ch_iy_t_ah_d dh_ah_s w_ah_n k_ah_n_t_r_ow_l_d dh_ah_s w_ah_n k_ih_d t_uw
p;24;you lied to me and cheated me and I fell right down for you;y_uw l_ay_d t_uw m_iy ah_n_d ch_iy_t_ah_d m_iy ah_n_d ay f_eh_l r_ay_t d_aw_n f_ao_r y_uw
g;26;i loved evenings in the park;ay l_ah_v_d iy_v_n_ih_ng_z ih_n dh_ah p_aa_r_k
g;27;laser tag long after dark;l_ey_z_er t_ae_g l_ao_ng ae_f_t_er d_aa_r_k
q;28;the football game after school;dh_ah f_uh_t_b_ao_l g_ey_m ae_f_t_er s_k_uw_l
g;29;they used to call me the shark;dh_ey y_uw_z_d t_uw k_ao_l m_iy dh_ah sh_aa_r_k
b;31;i keep on asking this question can I be saved be confession;ay k_iy_p aa_n ae_s_k_ih_ng dh_ih_s k_w_eh_s_ch_ax_n k_ah_n ay b_iy s_ey_v_d b_iy k_ah_n_f_eh_sh_ah_n
b;32;you see the blood on these hands at least I still reach into heaven;y_uw s_iy dh_ah b_l_ah_d aa_n dh_iy_z hh_ae_n_d_z ae_t l_iy_s_t ay s_t_ih_l r_iy_ch ih_n_t_uw hh_eh_v_ah_n
