Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ya girl;y_aa g_er_l
b;1;its your boy Unique;ih_t_s y_ao_r b_oy y_uw_n_iy_k
c;2;big up to Jollof House Productions in the building;b_ih_g ah_p t_uw J_oh_l_ax_f hh_aw_s p_r_ah_d_ah_k_sh_ah_n_z ih_n_ch dh_iy b_ih_l_d_ih_ng
d;3;lets go;w_iy_s g_ow
e;5;i got so many tins on my mind;ay g_aa_t s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;6;i got money on my mind money money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy m_ah_n_iy aa_n m_ay m_ay_n_d
e;7;money on my mind money money on my mind;m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy m_ah_n_iy aa_n m_ay m_ay_n_d
e;8;money on my mind money money on my mind;m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy m_ah_n_iy aa_n m_ay m_ay_n_d
e;9;i got money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d
f;11;you can-t stop me Im unstoppable;y_uw k_ae_n_t s_t_aa_p m_iy ay_m ah_n_s_t_aa_p_ah_b_ah_l
g;12;you can-t touch me Im untouchable;y_uw k_ae_n_t t_ah_ch m_iy ay_m ah_n_t_ah_ch_ah_b_ah_l
h;13;you can-t tell me Im untellable;y_uw k_ae_n_t t_eh_l m_iy ay_m ah_n_t_eh_l_ae_b_eh_l
i;14;Cuz Im incredible;k_ah_z ay_m ih_n_k_r_eh_d_ah_b_ah_l
g;15;my life (is) just like a rainbow there are seven colours;m_ay l_ay_f ih_z jh_ah_s_t l_ay_k ah r_ey_n_b_ow dh_eh_r aa_r s_eh_v_ah_n k_ah_l_er_z
c;16;i be seven inches far away from the bitches;ay b_iy s_eh_v_ah_n ih_n_ch_ah_z f_aa_r ah_w_ey f_r_ah_m dh_ah b_ih_ch_ah_z
l;17;that (is) why Im living like a superby;dh_ae_t ih_z w_ay ay_m l_ih_v_ih_ng l_ay_k ah s_uw_p_er_b_ae
l;18;making a new lifestyle like a superby;m_ey_k_ih_ng ah n_y_uw l_ay_f_s_t_ay_l l_ay_k ey s_uw_p_er_b_ae
b;19;feeling like a superhero;f_iy_l_ih_ng l_ay_k ah s_uw_p_er_hh_iy_r_ow
c;20;on your fake heroes;aa_n y_ao_r f_ey_k hh_ih_r_ow_z
e;21;okay I keep counting the stars in the sky like;ow_k_ey ay k_iy_p k_aw_n_t_ih_ng dh_ah s_t_aa_r_z ih_n dh_ah s_k_ay l_ay_k
m;22;twinkle Twinkle Little Star How I Wonder What You Are;t_w_ih_ng_k_ah_l t_w_ih_ng_k_ah_l l_ih_t_ah_l s_t_aa_r hh_aw ay w_ah_n_d_er w_ah_t y_uw aa_r
f;23;okay I keep on wondering why people calling me starby;ow_k_ey ay k_iy_p aa_n w_ah_n_d_er_ih_ng w_ay p_iy_p_ah_l k_ao_l_ih_ng m_iy s_t_aa_r_b_ae
f;24;Cuz I got so many star;k_ah_z ay g_aa_t s_ow m_eh_n_iy s_t_aa_r
n;25;now Im stalling;n_aw ay_m s_t_ao_l_ih_ng
o;26;that (is) why Im;dh_ae_t ih_z w_ay ay_m
i;27;i keep on doing my thing slow and steady;ay k_iy_p aa_n d_uw_ih_ng m_ay th_ih_ng s_l_ow ah_n_d s_t_eh_d_iy
i;28;to the left to the right slow and steady;t_uw dh_ah l_eh_f_t t_uw dh_ah r_ay_t s_l_ow ah_n_d s_t_eh_d_iy
c;29;that (is) my mission;dh_ae_t ih_z m_ay m_ih_sh_ah_n
c;30;that (is) my vision;dh_ae_t ih_z m_ay v_ih_zh_ah_n
i;31;that (is) why Im doing my thing slow and steady;dh_ae_t ih_z w_ay ay_m d_uw_ih_ng m_ay th_ih_ng s_l_ow ah_n_d s_t_eh_d_iy
e;32;im living my life;ay_m l_ih_v_ih_ng m_ay l_ay_f
e;33;im living my life;ay_m l_ih_v_ih_ng m_ay l_ay_f
c;34;that (is) my mission;dh_ae_t ih_z m_ay m_ih_sh_ah_n
c;35;that (is) my vision;dh_ae_t ih_z m_ay v_ih_zh_ah_n
i;36;that (is) why Im doing my thing slow and steady;dh_ae_t ih_z w_ay ay_m d_uw_ih_ng m_ay th_ih_ng s_l_ow ah_n_d s_t_eh_d_iy
e;37;im living my life;ay_m l_ih_v_ih_ng m_ay l_ay_f
e;39;i got money on my mind money money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy m_ah_n_iy aa_n m_ay m_ay_n_d
e;40;success on my mind success success on my mind;s_ah_k_s_eh_s aa_n m_ay m_ay_n_d s_ah_k_s_eh_s s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;41;i got money on my mind money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy aa_n m_ay m_ay_n_d
e;42;i got success on my mind success success on my mind;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d s_ah_k_s_eh_s s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;43;i got money on my mind money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy aa_n m_ay m_ay_n_d
e;44;i got money on my mind money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy aa_n m_ay m_ay_n_d
d;45;i got success on my mind oh;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d ow
n;47;everyday Im struggling;eh_v_r_iy_d_ey ay_m s_t_r_ah_g_l_ih_ng
p;48;everyday Im ozzying;eh_v_r_iy_d_ey ay_m ao_z_iy_ax_ng
f;49;i pray to God all day and night to get to the top;ay p_r_ey t_uw g_aa_d ao_l d_ey ah_n_d n_ay_t t_uw g_eh_t t_uw dh_ah t_aa_p
i;50;i know one day I will surely get there;ay n_ow w_ah_n d_ey ay w_ah_l sh_uh_r_l_iy g_eh_t dh_eh_r
c;51;Cuz Im born to win;k_ah_z ay_m b_ao_r_n t_uw w_ih_n
q;52;never to lose I stand for victory;n_eh_v_er t_uw l_uw_z ay s_t_ae_n_d f_ao_r v_ih_k_t_ax_r_ih
b;53;anywhere I go cuz I promised my people;eh_n_iy_w_eh_r ay g_ow k_ah_z ay p_r_aa_m_ah_s_t m_ay p_iy_p_ah_l
r;54;i will never let them down;ay w_ah_l n_eh_v_er l_eh_t dh_eh_m d_aw_n
h;55;that (is) why Im so strong and devoted to carry out my mission with passion;dh_ae_t ih_z w_ay ay_m s_ow s_t_r_ao_ng ah_n_d d_ih_v_ow_t_ah_d t_uw k_ae_r_iy aw_t m_ay m_ih_sh_ah_n w_ih_dh p_ae_sh_ah_n
i;56;i will keep on going forward forever;ay w_ah_l k_iy_p aa_n g_ow_ih_ng f_ao_r_w_er_d f_er_eh_v_er
i;57;but I would never;b_ah_t ay w_uh_d n_eh_v_er
m;58;i give a thanks to the;ay g_ih_v ah th_ae_ng_k_s t_uw dh_ah
i;59;for his protection his guidance and for his message;f_ao_r hh_ih_z p_r_ax_t_eh_k_sh_n hh_ih_z g_ay_d_ah_n_s ah_n_d f_ao_r hh_ih_z m_eh_s_ah_jh
i;60;and me I will keep on going forward forever;ah_n_d m_iy ay w_ah_l k_iy_p aa_n g_ow_ih_ng f_ao_r_w_er_d f_er_eh_v_er
f;61;i will keep on doing my thing no stopping;ay w_ah_l k_iy_p aa_n d_uw_ih_ng m_ay th_ih_ng n_ow s_t_aa_p_ih_ng
d;62;anybody feeling my flow everywhere I go;eh_n_iy_b_ah_d_iy f_iy_l_ih_ng m_ay f_l_ow eh_v_r_iy_w_eh_r ay g_ow
l;63;that (is) why Im a starby cuz Im born with golden spoon;dh_ae_t ih_z w_ay ay_m ah s_t_aa_r_b_ae k_ah_z ay_m b_ao_r_n w_ih_dh g_ow_l_d_ah_n s_p_uw_n
e;65;i got so many tins on my mind;ay g_aa_t s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;66;i got money on my mind money money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d m_ah_n_iy m_ah_n_iy aa_n m_ay m_ay_n_d
e;67;success on my mind success success on my mind;s_ah_k_s_eh_s aa_n m_ay m_ay_n_d s_ah_k_s_eh_s s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;68;i got money money money money money money on my mind;ay g_aa_t m_ah_n_iy m_ah_n_iy m_ah_n_iy m_ah_n_iy m_ah_n_iy m_ah_n_iy aa_n m_ay m_ay_n_d
e;69;i got success on my mind;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;70;money on my mind;m_ah_n_iy aa_n m_ay m_ay_n_d
e;71;success on my mind;s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;72;money on my mind;m_ah_n_iy aa_n m_ay m_ay_n_d
e;73;success on my mind;s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;74;i got so many tins on my mind;ay g_aa_t s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;76;so many tins on my mind;s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;77;money on my mind;m_ah_n_iy aa_n m_ay m_ay_n_d
e;78;i got success on my mind;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;79;money on my mind;m_ah_n_iy aa_n m_ay m_ay_n_d
e;80;i got success on my mind;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;81;i got so many tins on my mind;ay g_aa_t s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;82;on my mind;aa_n m_ay m_ay_n_d
e;83;i got so many tins on my mind;ay g_aa_t s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;84;on my mind;aa_n m_ay m_ay_n_d
e;85;i got money on my mind;ay g_aa_t m_ah_n_iy aa_n m_ay m_ay_n_d
e;86;i got success on my mind;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
e;88;i feel like;ay f_iy_l l_ay_k
a;89;i feel like flying round the world;ay f_iy_l l_ay_k f_l_ay_ih_ng r_aw_n_d dh_ah w_er_l_d
b;90;its your boy Unique flowing on the beat;ih_t_s y_ao_r b_oy y_uw_n_iy_k f_l_ow_ih_ng aa_n dh_ah b_iy_t
b;91;flowing on the beat;f_l_ow_ih_ng aa_n dh_ah b_iy_t
b;92;flowing on the beat;f_l_ow_ih_ng aa_n dh_ah b_iy_t
h;93;yeah yeah yeah oh yeah yeah yeah;y_ae y_ae y_ae ow y_ae y_ae y_ae
b;94;its your boy Unique flowing on the beat;ih_t_s y_ao_r b_oy y_uw_n_iy_k f_l_ow_ih_ng aa_n dh_ah b_iy_t
b;95;flowing on the beat;f_l_ow_ih_ng aa_n dh_ah b_iy_t
b;96;im flowing on the beat;ay_m f_l_ow_ih_ng aa_n dh_ah b_iy_t
b;97;one love to my people;w_ah_n l_ah_v t_uw m_ay p_iy_p_ah_l
b;98;one love to all my people;w_ah_n l_ah_v t_uw ao_l m_ay p_iy_p_ah_l
e;99;i got so many tins on my mind;ay g_aa_t s_ow m_eh_n_iy t_ih_n_z aa_n m_ay m_ay_n_d
e;100;i got success on my mind;ay g_aa_t s_ah_k_s_eh_s aa_n m_ay m_ay_n_d
g;101;all we need (is) one love;ao_l w_iy n_iy_d ih_z w_ah_n l_ah_v
