Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;the very own Marie Celeste;dh_iy v_eh_r_iy ow_n m_er_iy s_ah_l_eh_s_t
a;1;never was an easy ride;n_eh_v_er w_ah_z ah_n iy_z_iy r_ay_d
f;2;she stood somebody so proud;sh_iy s_t_uh_d s_ah_m_b_ah_d_iy s_ow p_r_aw_d
a;3;couldn-t trust no more if he tried;k_uh_d_n_t t_r_ah_s_t n_ow m_ao_r ih_f hh_iy t_r_ay_d
a;4;right now the hatches in the twilight;r_ay_t n_aw dh_iy hh_ae_ch_ah_z ih_n_ch dh_iy t_w_ay_l_ay_t
a;5;strike a flag of dignity;s_t_r_ay_k ey f_l_ae_g ah_v d_ih_g_n_ah_t_iy
g;6;now the captain wants to lead me to the gallo;n_aw dh_iy k_ae_p_t_ah_n w_aa_n_t_s t_ah l_iy_d m_iy t_ah dh_iy g_ae_l_ow
h;7;or find me for mutiny;er f_ay_n_d m_iy f_r_er m_y_uw_t_ah_n_iy
a;9;whats the use man I ain-t got a dime;w_ah_t_s dh_ah y_uw_s m_ae_n ay ey_n_t g_aa_t ah d_ay_m
b;10;i ain-t got money on your name;ay ey_n_t g_aa_t m_ah_n_iy aa_n y_ao_r n_ey_m
a;11;say ain-t got none of mine;s_ey ey_n_t g_aa_t n_ah_n ah_v m_ay_n
c;13;no one said it would be easy;n_ow w_ah_n s_eh_d ih_t w_uh_d b_iy iy_z_iy
a;14;but my God how we tried;b_ah_t m_ay g_aa_d hh_aw w_iy t_r_ay_d
b;15;some of them cruel and crazy;s_ah_m ah_v dh_eh_m k_r_uw_ah_l ah_n_d k_r_ey_z_iy
a;16;some of them just dead inside;s_ah_m ah_v dh_eh_m jh_ah_s_t d_eh_d ih_n_s_ay_d
i;17;you drove some good men to the bottom;y_uw d_r_ow_v s_ah_m g_uh_d m_eh_n t_uw dh_ah b_aa_t_ah_m
a;18;for some of them tore a hole in their pride;f_ao_r s_ah_m ah_v dh_eh_m t_ao_r ah hh_ow_l ih_n dh_eh_r p_r_ay_d
a;20;so whats the use man you know we ain-t got a dime;s_ow w_ah_t_s dh_ah y_uw_s m_ae_n y_uw n_ow w_iy ey_n_t g_aa_t ah d_ay_m
b;21;i ain-t got money on your name;ay ey_n_t g_aa_t m_ah_n_iy aa_n y_ao_r n_ey_m
a;22;say ain-t got none of mine;s_ey ey_n_t g_aa_t n_ah_n ah_v m_ay_n
b;23;no I ain-t got no money into your name;n_ow ay ey_n_t g_aa_t n_ow m_ah_n_iy ih_n_t_uw y_ao_r n_ey_m
a;24;say I ain-t got none of mine;s_ey ay ey_n_t g_aa_t n_ah_n ah_v m_ay_n
d;26;sailing on these earned waters;s_ey_l_ih_ng aa_n dh_iy_z er_n_d w_ao_t_er_z
c;27;the longer than I can recall;dh_ah l_ao_ng_g_er dh_ae_n ay k_ah_n r_iy_k_ao_l
c;28;we set sail believing;w_iy s_eh_t s_ey_l b_ah_l_iy_v_ih_ng
d;29;you was all for one and one for all;y_uw w_ah_z ao_l f_ao_r w_ah_n ah_n_d w_ah_n f_ao_r ao_l
e;30;this time I jump ship and here for drowling;dh_ih_s t_ay_m ay jh_ah_m_p sh_ih_p ah_n_d hh_ih_r f_ao_r d_r_ow_l_ih_ng
d;31;unless you want to drown us all;ah_n_l_eh_s y_uw w_aa_n_t t_uw d_r_aw_n ah_s ao_l
a;33;so whats the use man you know I ain-t got a dime;s_ow w_ah_t_s dh_ah y_uw_s m_ae_n y_uw n_ow ay ey_n_t g_aa_t ah d_ay_m
b;34;i ain-t got money in your name;ay ey_n_t g_aa_t m_ah_n_iy ih_n y_ao_r n_ey_m
a;35;say I ain-t got none of mine;s_ey ay ey_n_t g_aa_t n_ah_n ah_v m_ay_n
b;36;no I ain-t got money into your name;n_ow ay ey_n_t g_aa_t m_ah_n_iy ih_n_t_uw y_ao_r n_ey_m
a;37;said I ain-t got none of mine;s_eh_d ay ey_n_t g_aa_t n_ah_n ah_v m_ay_n
b;38;no I ain-t got no money into your name;n_ow ay ey_n_t g_aa_t n_ow m_ah_n_iy ih_n_t_uw y_ao_r n_ey_m
a;39;say I ain-t got nones of mine;s_ey ay ey_n_t g_aa_t n_ah_n_z ah_v m_ay_n
