Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;0;two for the matter (is);t_uw f_r_er dh_iy m_ae_t_er ah_z
a;1;nobody really know whats gonna happen to em;n_ow_b_ah_d_iy r_iy_l_iy n_ow w_ah__s g_aa_n_ah hh_ae_p_ah_n t_ah eh_m
a;2;when its gonna happen to em;hh_w_ih_n ah_t_s g_aa_n_ah hh_ae_p_ah_n t_ah eh_m
a;3;or where its gonna happen to em;er hh_w_eh_r ih_t_s g_aa_n_ah hh_ae_p_ah_n t_uw eh_m
b;4;you know its like we just out here waiting for it to happen;y_uw n_ow ih_t_s l_ay_k w_iy jh_ah_s_t aw_t hh_ih_r w_ey_t_ih_ng f_ao_r ih_t t_uw hh_ae_p_ah_n
b;5;its no place to be and I tell you first hand;ih_t_s n_ow p_l_ey_s t_uw b_iy ah_n_d ay t_eh_l y_uw f_er_s_t hh_ae_n_d
c;6;im just to the point now where fuck it you know;ay_m jh_ah_s_t t_uw dh_ah p_oy_n_t n_aw w_eh_r f_ah_k ih_t y_uw n_ow
d;7;just letting the cards fall (as) they may;jh_ah_s_t l_eh_t_ih_ng dh_ah k_aa_r_d_z f_aa_l ae_z dh_ey m_ey
b;9;im halfway home but its still a long road to be travelled;ay_m hh_ae_f_w_ey hh_ow_m b_ah_t ih_t_s s_t_ih_l ah l_ao_ng r_ow_d t_uw b_iy t_r_ae_v_ah_l_d
e;10;and I know at any given moment things could go sour;ah_n_d ay n_ow ae_t eh_n_iy g_ih_v_ah_n m_ow_m_ah_n_t th_ih_ng_z k_uh_d g_ow s_ao_r
b;11;from sweet to the streets on fire problems unravel;f_r_ah_m s_w_iy_t t_uw dh_ah s_t_r_iy_t_s aa_n f_ay_er p_r_aa_b_l_ah_m_z ah_n_r_ae_v_ah_l
d;12;still holding my breath boots laced for battle in a place;s_t_ih_l hh_ow_l_d_ih_ng m_ay b_r_eh_th b_uw_t_s l_ey_s_t f_ao_r b_ae_t_ah_l ih_n ah p_l_ey_s
b;13;where they would gladly see me scattered;w_eh_r dh_ey w_uh_d g_l_ae_d_l_iy s_iy m_iy s_k_ae_t_er_d
b;14;all over they streets cause here my life dont matter;ao_l ow_v_er dh_ey s_t_r_iy_t_s k_aa_z hh_ih_r m_ay l_ay_f d_aa_n_b m_ae_t_er
f;15;and though they smile underneath those grins;ah_n_d dh_ow dh_ey s_m_ay_l ah_n_d_er_n_iy_th dh_ow_z g_r_ih_n_z
a;16;they only waiting on their next chance to try to kill me again;dh_ey ow_n_l_iy w_ey_t_ih_ng aa_n dh_eh_r n_eh_k_s_t ch_ae_n_s t_uw t_r_ay t_uw k_ih_l m_iy ah_g_eh_n
f;17;and don-t be caught thinking out here that your chance ain-t slim;ah_n_d d_ow_n_t b_iy k_aa_t th_ih_ng_k_ah_ng aw_t hh_ih_r dh_ae_t y_ao_r ch_ae_n_s ey_n_t s_l_ih_m
a;18;cause there are those who have thought it who will never think again;k_aa_z dh_eh_r aa_r dh_ow_z hh_uw hh_ae_v th_ao_t ih_t hh_uw w_ah_l n_eh_v_er th_ih_ng_k ah_g_eh_n
a;19;cause were alone in this county a hundred forty thousand friends;k_aa_z w_iy_r ah_l_ow_n ih_n dh_ih_s k_aw_n_t_ih ah hh_ah_n_d_r_ah_d f_ao_r_t_iy th_aw_z_ah_n_d f_r_eh_n_d_z
a;20;with some 20 odd million who would see us all dead;w_ih_dh s_ah_m  aa_d m_ih_l_y_ah_n hh_uw w_uh_d s_iy ah_s ao_l d_eh_d
a;21;you could only imagine our struggle the odds we against;y_uw k_uh_d ow_n_l_iy ih_m_ae_jh_ah_n aw_r s_t_r_ah_g_ah_l dh_ah aa_d_z w_iy ah_g_eh_n_s_t
a;22;where they are but all times playing both sides of the fence;w_eh_r dh_ey aa_r b_ah_t ao_l t_ay_m_z p_l_ey_ih_ng b_ow_th s_ay_d_z ah_v dh_ah f_eh_n_s
c;23;though they haven-t got me yet I still ain-t home;dh_ow dh_ey hh_ae_v_n_t g_aa_t m_iy y_eh_t ay s_t_ih_l ey_n_t hh_ow_m
e;24;until then its only a matter of time till Im gone;ah_n_t_ih_l dh_eh_n ih_t_s ow_n_l_iy ah m_ae_t_er ah_v t_ay_m t_ih_l ay_m g_ao_n
l;26;its only a matter of time (fore-) they get me;ih_t_s ow_n_l_iy ah m_ae_t_er ah_v t_ay_m f_ao_r_eh dh_ey g_eh_t m_iy
l;27;though so far they missed me;dh_ow s_ow f_aa_r dh_ey m_ih_s_t m_iy
l;28;next time they shoot in my direction could be the one that hits me;n_eh_k_s_t t_ay_m dh_ey sh_uw_t ih_n m_ay d_ih_r_eh_k_sh_n k_uh_d b_iy dh_ah w_ah_n dh_ae_t hh_ih_t_s m_iy
l;29;yeah the odds (is) against me;y_ae dh_ah aa_d_z ih_z ah_g_eh_n_s_t m_iy
g;30;lucks been with me so far;l_ah_k_s b_ih_n w_ih_dh m_iy s_ow f_aa_r
g;31;i know death-s round the corner but I dunno how far;ay n_ow d_eh_th_s r_aw_n_d dh_ah k_ao_r_n_er b_ah_t ay d_ah_n_oh hh_aw f_aa_r
e;32;and I ain-t trying to hear my number but it could be the next one called;ah_n_d ay ey_n_t t_r_ay_ih_ng t_uw hh_ih_r m_ay n_ah_m_b_er b_ah_t ih_t k_uh_d b_iy dh_ah n_eh_k_s_t w_ah_n k_ao_l_d
e;33;told my family Id be home but Iraq-s trying to prove me wrong;t_ow_l_d m_ay f_ae_m_ax_l_ih ay_d b_iy hh_ow_m b_ah_t ih_r_aa_k_s t_r_ay_ih_ng t_uw p_r_uw_v m_iy r_ao_ng
e;34;this weighs heavy on my shoulders I can only be so strong;dh_ih_s w_ey_z hh_eh_v_iy aa_n m_ay sh_ow_l_d_er_z ay k_ah_n ow_n_l_iy b_iy s_ow s_t_r_ao_ng
e;35;sure we all gonn survive but we dont know how long;sh_uh_r w_iy ao_l g_aa_n_d_n s_er_v_ay_v b_ah_t w_iy d_aa_n_b n_ow hh_aw l_ao_ng
h;37;started out with 60 minutes in the game of my life;s_t_aa_r_t_ah_d aw_t w_ih_dh  m_ih_n_ah_t_s ih_n dh_ah g_ey_m ah_v m_ay l_ay_f
h;38;so far thank god everything (is) all right;s_ow f_aa_r th_ae_ng_k g_aa_d eh_v_r_iy_th_ih_ng ih_z ao_l r_ay_t
h;39;being in the middle of the streets and in the middle of the night;b_iy_ih_ng ih_n dh_ah m_ih_d_ah_l ah_v dh_ah s_t_r_iy_t_s ah_n_d ih_n dh_iy m_ih_d_ah_l ah_v dh_ah n_ay_t
