Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;well a kiss might be just a kiss to you;w_eh_l ey k_ih_s m_ay_t b_iy jh_ah_s_t ey k_ih_s t_ah y_uw
f;1;but baby it meant something to me;b_ah_t b_ey_b_iy ah_t m_eh_n_t s_ah_m_th_ih_ng t_ah m_iy
f;2;and a night to remember might be;ah_n_d ey n_ay_t t_ah r_iy_m_eh_m_b_er m_ay_t b_iy
a;3;just a Monday in September;jh_ah_s_t ey m_ah_n_d_iy ih_n_ch s_eh_p_t_eh_m_b_er
f;4;baby it meant something to me;b_ey_b_iy ah_t m_eh_n_t s_ah_m_th_ih_ng t_ah m_iy
b;6;i know you try;ay n_ow y_uw t_r_ay
c;7;its gotta come from the heart;ih_t_s g_aa_t_ah k_ah_m f_r_ah_m dh_ah hh_aa_r_t
d;8;i know I believe its the hardest part of love;ay n_ow ay b_ah_l_iy_v ih_t_s dh_iy hh_aa_r_d_ah_s_t p_aa_r_t ah_v l_ah_v
a;10;and cause you can remember;ah_n_d k_aa_z y_uw k_ae_n r_iy_m_eh_m_b_er
a;11;the 22nd day in November;dh_iy  d_ey ih_n_ch n_ow_v_eh_m_b_er
f;12;baby you mean something to me;b_ey_b_iy y_uw m_iy_n s_ah_m_th_ih_ng t_ah m_iy
b;14;i know you try;ay n_ow y_uw t_r_ay
c;15;baby its gotta come from the heart;b_ey_b_iy ih_t_s g_aa_t_ah k_ah_m f_r_ah_m dh_ah hh_aa_r_t
d;16;well I know I believe its the hardest part of love;w_eh_l ay n_ow ay b_ah_l_iy_v ih_t_s dh_iy hh_aa_r_d_ah_s_t p_aa_r_t ah_v l_ah_v
e;18;and a kiss might be just a kiss to you;ah_n_d ey k_ih_s m_ay_t b_iy jh_ah_s_t ey k_ih_s t_ah y_uw
d;19;baby it meant something;b_ey_b_iy ah_t m_eh_n_t s_ah_m_th_ih_ng
d;20;or maybe it meant nothing;er m_ey_b_iy ah_t m_eh_n_t n_ah_th_ih_ng
e;21;but baby it meant something to me;b_ah_t b_ey_b_iy ah_t m_eh_n_t s_ah_m_th_ih_ng t_ah m_iy
