Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;fumbling his confidence;f_ah_m_b_l_ih_ng hh_ah_z k_aa_n_f_ah_d_ah_n_s
f;1;and wondering why the world has passed him by;ah_n_d w_ah_n_d_er_ih_ng hh_w_ay dh_iy w_er_l_d hh_ah_z p_ae_s_t ih_m b_ay
a;2;hoping that hes bent for more than arguments;hh_ow_p_ih_ng dh_ah_t hh_iy_s b_eh_n_t f_ao_r m_ao_r dh_ae_n aa_r_g_y_ah_m_ah_n_t_s
b;3;and failed attempts to fly fly;ah_n_d f_ey_l_d ah_t_eh_m_p_t_s t_ah f_l_ay f_l_ay
c;5;we were meant to live for so much more;w_iy w_er m_eh_n_t t_ah l_ay_v f_r_er s_ow m_ah_ch m_ao_r
d;6;have we lost ourselves;hh_ae_v w_iy l_ao_s_t aa_r_s_eh_l_v_z
b;7;somewhere we live inside;s_ah_m_w_eh_r w_iy l_ay_v ih_n_s_ay_d
b;8;somewhere we live inside;s_ah_m_w_eh_r w_iy l_ay_v ih_n_s_ay_d
c;9;we were meant to live for so much more;w_iy w_er m_eh_n_t t_uw l_ay_v f_ao_r s_ow m_ah_ch m_ao_r
d;10;have we lost ourselves;hh_ae_v w_iy l_ao_s_t aw_er_s_eh_l_v_z
b;11;somewhere we live inside;s_ah_m_w_eh_r w_iy l_ay_v ih_n_s_ay_d
a;13;dreaming about Providence;d_r_iy_m_ih_ng ah_b_aw_t p_r_aa_v_ah_d_ah_n_s
b;14;and whether mice or men have second tries;ah_n_d w_eh_dh_er m_ay_s ao_r m_eh_n hh_ae_v s_eh_k_ah_n_d t_r_ay_z
e;15;maybe weve been livin with our eyes half open;m_ey_b_iy w_iy_v b_ih_n l_ih_v_iy_n w_ih_dh aw_r ay_z hh_ae_f ow_p_ah_n
e;16;maybe were bent and broken broken;m_ey_b_iy w_iy_r b_eh_n_t ah_n_d b_r_ow_k_ah_n b_r_ow_k_ah_n
c;18;we want more than this world-s got to offer;w_iy w_aa_n_t m_ao_r dh_ae_n dh_ih_s w_er_l_d_z g_aa_t t_uw ao_f_er
c;19;we want more than this world-s got to offer;w_iy w_aa_n_t m_ao_r dh_ae_n dh_ih_s w_er_l_d_z g_aa_t t_uw ao_f_er
a;20;we want more than the wars of our fathers;w_iy w_aa_n_t m_ao_r dh_ae_n dh_ah w_ao_r_z ah_v aw_r f_aa_dh_er_z
f;21;and everything inside screams for second life yeah;ah_n_d eh_v_r_iy_th_ih_ng ih_n_s_ay_d s_k_r_iy_m_z f_ao_r s_eh_k_ah_n_d l_ay_f y_ae
