Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i never thought Id see the day when Id be waking up;ay n_eh_v_er th_ao_t ay_d s_iy dh_ah d_ey w_eh_n ay_d b_iy w_ey_k_ih_ng ah_p
b;1;next to you and see your open eyes smilin makin love;n_eh_k_s_t t_uw y_uw ah_n_d s_iy y_ao_r ow_p_ah_n ay_z s_m_ih_l_iy_n m_ae_k_ih_n l_ah_v
a;2;guess its true angels float from heaven theres a god above;g_eh_s ih_t_s t_r_uw ey_n_jh_ah_l_z f_l_ow_t f_r_ah_m hh_eh_v_ah_n dh_eh_r_s ah g_aa_d ah_b_ah_v
b;3;blessings too many for one man to count its you who pulled me through;b_l_eh_s_ih_ng_z t_uw m_eh_n_iy f_ao_r w_ah_n m_ae_n t_uw k_aw_n_t ih_t_s y_uw hh_uw p_uh_l_d m_iy th_r_uw
c;4;the darkest days and carved a way for me to paradise;dh_ah d_aa_r_k_ah_s_t d_ey_z ah_n_d k_aa_r_v_d ah w_ey f_ao_r m_iy t_uw p_eh_r_ah_d_ay_s
d;5;and I used to think my life depended on a pair of dice;ah_n_d ay y_uw_z_d t_uw th_ih_ng_k m_ay l_ay_f d_ah_p_eh_n_d_ah_d aa_n ah p_eh_r ah_v d_ay_s
a;6;or fate or chance or dance with lady luck and then I felt your touch;ao_r f_ey_t ao_r ch_ae_n_s ao_r d_ae_n_s w_ih_dh l_ey_d_iy l_ah_k ah_n_d dh_eh_n ay f_eh_l_t y_ao_r t_ah_ch
a;7;and brushed with greatness that we make with faith and trust inside our clutch;ah_n_d b_r_ah_sh_t w_ih_dh g_r_ey_t_n_ah_s dh_ae_t w_iy m_ey_k w_ah_dh f_ey_th ah_n_d t_r_ah_s_t ih_n_s_ay_d aw_r k_l_ah_ch
d;8;and every day the sun was shinin proved to me Im not an island;ah_n_d eh_v_er_iy d_ey dh_ah s_ah_n w_ah_z sh_ih_n_iy_n p_r_uw_v_d t_uw m_iy ay_m n_ax_t ae_n ay_l_ah_n_d
d;9;smilin like a little kid who would-ve been just fine with dyin;s_m_ih_l_iy_n l_ay_k ah l_ih_t_ah_l k_ih_d hh_uw w_uh_d_ah_v b_ih_n jh_ah_s_t f_ay_n w_ih_dh d_ay_iy_n
e;10;cause I would-ve already lived inside a dream;k_aa_z ay w_uh_d_ah_v ao_l_r_eh_d_iy l_ih_v_d ih_n_s_ay_d ah d_r_iy_m
f;11;wouldn-t need to see what the after life brings;w_uh_d_ah_n_t n_iy_d t_uw s_iy w_ah_t dh_ah ae_f_t_er l_ay_f b_r_ih_ng_z
c;12;every day and every hour every minute every second;eh_v_er_iy d_ey ah_n_d eh_v_er_iy aw_er eh_v_er_iy m_ih_n_ih_t eh_v_er_iy s_eh_k_ah_n_d
c;13;every thought and every heartbeat every moment made me breathless;eh_v_er_iy th_ao_t ah_n_d eh_v_er_iy hh_aa_r_t_b_iy_t eh_v_er_iy m_ow_m_ah_n_t m_ey_d m_iy b_r_eh_th_l_ah_s
d;14;that all left without saying goodbye;dh_ae_t ao_l l_eh_f_t w_ih_th_aw_t s_ey_ih_ng g_uh_d_b_ay
d;15;this (is) what it feels like to wish that youd die;dh_ih_s ih_z w_ah_t ih_t f_iy_l_z l_ay_k t_uw w_ih_sh dh_ae_t y_uw_d d_ay
o;17;i arrived back home a day earlier than I was supposed to;ay er_ay_v_d b_ae_k hh_ow_m ah d_ey er_l_iy_er dh_ae_n ay w_ah_z s_ah_p_ow_z_d t_uw
p;18;surprise and propose to you With the ring in my pocket;s_ax_p_r_ay_z ah_n_d p_r_ah_p_ow_z t_uw y_uw w_ih_dh dh_ah r_ih_ng ih_n m_ay p_aa_k_ah_t
q;19;your car in the driveway to the door unlock it;y_ao_r k_aa_r ih_n_ch dh_ah d_r_ay_v_w_ey t_uw dh_ah d_ao_r ah_n_l_aa_k ih_t
c;20;palms sweaty got your parent-s blessing;p_aa_m_z s_w_eh_t_iy g_aa_t y_ao_r p_eh_r_ah_n_t_s b_l_eh_s_ih_ng
r;21;fumblin over words and how Id pop the question;f_ah_m_b_ah_iy_n ow_v_er w_er_d_z ah_n_d hh_aw ay_d p_aa_p dh_ah k_w_eh_s_ch_ax_n
s;22;true love with no (second-guessing);t_r_uw l_ah_v w_ih_dh n_ow s_eh_k_ax_n_g_eh_s_ih_ng
c;23;in sickness and in health from the living to the restin;ih_n s_ih_k_n_ah_s ah_n_d ih_n hh_eh_l_th f_r_ah_m dh_ah l_ih_v_ih_ng t_uw dh_ah r_eh_s_t_iy_n
g;24;came to when I called out your name;k_ey_m t_uw w_eh_n ay k_ao_l_d aw_t y_ao_r n_ey_m
h;25;but didn-t hear an answer all I heard was laughter;b_ah_t d_ih_d_n_t hh_ih_r ae_n ae_n_s_er ao_l ay hh_er_d w_ah_z l_ae_f_t_er
g;26;in the bedroom soft music played;ih_n dh_ah b_eh_d_r_uw_m s_aa_f_t m_y_uw_z_ih_k p_l_ey_d
g;27;tip toeing up the mistake that I made;t_ih_p t_ow_ih_ng ah_p dh_ah m_ih_s_t_ey_k dh_ae_t ay m_ey_d
i;28;was believing you loved me and opening the door;w_ah_z b_ah_l_iy_v_ih_ng y_uw l_ah_v_d m_iy ah_n_d ow_p_ah_n_ih_ng dh_ah d_ao_r
i;29;you and your ex your clothes on the floor;y_uw ah_n_d y_ao_r eh_k_s y_ao_r k_l_ow_dh_z aa_n dh_ah f_l_ao_r
o;30;my heart and my head and my world split in two;m_ay hh_aa_r_t ah_n_d m_ay hh_eh_d ah_n_d m_ay w_er_l_d s_p_l_ih_t ih_n t_uw
t;31;put the ring in the trash and you never knew … ;p_uh_t dh_ah r_ih_ng ih_n_ch dh_ah t_r_ae_sh ah_n_d y_uw n_eh_v_er n_uw  ah_ae
c;33;fuck you and everything you ever said;f_ah_k y_uw ah_n_d eh_v_r_iy_th_ih_ng y_uw eh_v_er s_eh_d
c;34;you never meant heartless I wonder if youve ever bled;y_uw n_eh_v_er m_eh_n_t hh_aa_r_t_l_ah_s ay w_ah_n_d_er ah_f y_uw_v eh_v_er b_l_eh_d
l;35;or if youve got a hole where your spirits supposed to go;ao_r ah_f y_uw_v g_aa_t ah hh_ow_l w_eh_r y_ao_r s_p_ih_r_ah_t_s s_ah_p_ow_z_d t_uw g_ow
l;36;don-t got a soul;d_ow_n_t g_aa_t ah s_ow_l
l;37;and mouth full of coal;ah_n_d m_aw_th f_uh_l ah_v k_ow_l
l;38;and lies white (as) snow;ah_n_d l_ay_z w_ay_t ae_z s_n_ow
l;39;guess hell must-ve froze;g_eh_s hh_eh_l m_ah_s_t_ih_v f_r_ow_z
g;40;over so you had to escape;ow_v_er s_ow y_uw hh_ae_d t_uw ah_s_k_ey_p
g;41;and crawl to this surface to shatter my faith;ah_n_d k_r_ao_l t_uw dh_ih_s s_er_f_ah_s t_uw sh_ae_t_er m_ay f_ey_th
