Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;a mind made to make minds amazed;ey m_ay_n_d m_ey_d t_ah m_ey_k m_ay_n_d_z ah_m_ey_z_d
a;1;the mind of mine My mind-s a maze;dh_iy m_ay_n_d ah_v m_ay_n m_ay m_ay_n_d_z ey m_ey_z
a;2;i find my way with each page;ay f_ay_n_d m_ay w_ey w_ih_dh iy_ch p_ey_jh
a;3;each line of mine My mind strays;iy_ch l_ay_n ah_v m_ay_n m_ay m_ay_n_d s_t_r_ey_z
a;4;when I rhyme Time fades;w_eh_n ay r_ay_m t_ay_m f_ey_d_z
b;5;takes faith to fly into the gates of a mind;t_ey_k_s f_ey_th t_uw f_l_ay ih_n_t_uw dh_ah g_ey_t_s ah_v ah m_ay_n_d
b;6;faith combined with patience takes time;f_ey_th k_ah_m_b_ay_n_d w_ih_dh p_ey_sh_ah_n_s t_ey_k_s t_ay_m
c;7;it takes time for greatness Great Im;ih_t t_ey_k_s t_ay_m f_ao_r g_r_ey_t_n_ah_s g_r_ey_t ay_m
b;8;impatient Basically I hate wasted time;ih_m_p_ey_sh_ah_n_t b_ey_s_ih_k_l_iy ay hh_ey_t w_ey_s_t_ah_d t_ay_m
b;9;creates a waste of mind;k_r_iy_ey_t_s ah w_ey_s_t ah_v m_ay_n_d
a;10;my mind-s racin never complacent with a pace or placement;m_ay m_ay_n_d_z r_ae_k_iy_n n_eh_v_er k_ah_m_p_l_ey_s_ah_n_t w_ih_dh ah p_ey_s ao_r p_l_ey_s_m_ah_n_t
a;11;im placed in Strange and Im achin to make a statement;ay_m p_l_ey_s_t ih_n s_t_r_ey_n_jh ah_n_d ay_m aa_ch_ih_n t_uw m_ey_k ah s_t_ey_t_m_ah_n_t
a;12;ill make it Prayin that the wait ain-t weighted;ay_l m_ey_k ah_t P_r_ah_iy_ax_n dh_ah_t dh_iy w_ey_t ey_n_t w_ey_t_ah_d
a;13;to wake to the rewards of amazement;t_uw w_ey_k t_uw dh_ah r_ih_w_ao_d_z ah_v ah_m_ey_z_m_ah_n_t
a;14;but if Im chasin payments Im chasin pavements;b_ah_t ah_f ay_m ch_ae_s_ih_n p_ey_m_ah_n_t_s ay_m ch_ae_s_ih_n p_ey_v_m_ah_n_t_s
a;15;pavin my way a claimant a mental escapement;p_ae_v_ih_n m_ay w_ey ah k_l_ey_m_ah_n_t ah m_eh_n_t_ah_l ah_s_k_ey_p_m_ah_n_t
b;16;a musical engagement one of a kind;ah m_y_uw_z_ih_k_ah_l eh_n_g_ey_jh_m_ah_n_t w_ah_n ah_v ah k_ay_n_d
b;17;beautiful statements from a wonderful mind;b_y_uw_t_ah_f_ah_l s_t_ey_t_m_ah_n_t_s f_r_ah_m ah w_ah_n_d_er_f_ah_l m_ay_n_d
b;18;sittin in a basement where the sun don-t shine;s_ih_t_t_ih_n ih_n ah b_ey_s_m_ah_n_t w_eh_r dh_ah s_ah_n d_ow_n_t sh_ay_n
c;19;im an (A-hole) in case youre wonderin why Im;ay_m ae_n hh_ow_l ih_n k_ey_s y_uw_r w_ah_n_d_er_iy_n w_ay ay_m
c;20;in a hole Yup a son of an I ain-t trying;ih_n ah hh_ow_l y_ah_p ey s_ah_n ah_v ae_n ay ey_n_t t_r_ay_ih_ng
b;21;to waste your dang time with curse words or raced rhymes;t_uw w_ey_s_t y_ao_r d_ae_ng t_ay_m w_ih_dh k_er_s w_er_d_z ao_r r_ey_s_t r_ay_m_z
b;22;my aims to unbind brains and elate minds;m_ay ey_m_z t_uw ah_n_b_ay_n_d b_r_ey_n_z ah_n_d ah_l_ey_t m_ay_n_d_z
b;23;it takes time and faith fates fines;ih_t t_ey_k_s t_ay_m ah_n_d f_ey_th f_ey_t_s f_ay_n_z
b;24;ill find patience in my mind made to amaze minds Time;ay_l f_ay_n_d p_ey_sh_ah_n_s ih_n m_ay m_ay_n_d m_ey_d t_uw ah_m_ey_z m_ay_n_d_z t_ay_m
