Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;walkin down the street;w_aa_k_iy_n d_aw_n dh_iy s_t_r_iy_t
a;1;the people that I meet;dh_iy p_iy_p_ah_l dh_ah_t ay m_iy_t
b;2;you always f (*) (*) king glare;y_uw ao_l_w_iy_z eh_f ah_ae ah_ae k_ih_ng g_l_eh_r
b;3;but you just be aware;b_ah_t y_uw jh_ah_s_t b_iy ah_w_eh_r
c;4;i ain-t no f (*) (*) kin fool;ay ey_n_t n_ow eh_f ah_ae ah_ae k_ih_n f_uw_l
c;5;i graduated from high school;ay g_r_ae_jh_uw_ey_t_ah_d f_r_ah_m hh_ay s_k_uw_l
h;6;and I held a nine-to five job;ah_n_d ay hh_eh_l_d ah n_ax_ih f_ay_v jh_oh_b
i;7;but I couldn-t live working for some filthy rich slob;b_ah_t ay k_uh_d_n_t l_ay_v w_er_k_ih_ng f_ao_r s_ah_m f_ih_l_th_iy r_ih_ch s_l_aa_b
a;8;f (*) (*) king people that I see;eh_f ah_ae ah_ae k_ih_ng p_iy_p_ah_l dh_ae_t ay s_iy
l;9;always f (*) (*) king staring at me;ao_l_w_ey_z eh_f ah_ae ah_ae k_ih_ng s_t_eh_r_ih_ng ae_t m_iy
a;10;i wonder what it (is) you see;ay w_ah_n_d_er w_ah_t ih_t ih_z y_uw s_iy
d;11;some freak from a menagerie;s_ah_m f_r_iy_k f_r_ah_m ah m_ah_n_ae_jh_er_iy
l;12;nothing ever came to me;n_ah_th_ih_ng eh_v_er k_ey_m t_uw m_iy
a;13;but all the pain I got for free;b_ah_t ao_l dh_ah p_ey_n ay g_aa_t f_ao_r f_r_iy
e;14;you wouldn-t give me a hand;y_uw w_uh_d_ah_n_t g_ih_v m_iy ah hh_ae_n_d
e;15;but you sure gave me all of your demands;b_ah_t y_uw sh_uh_r g_ey_v m_iy ao_l ah_v y_ao_r d_ih_m_ae_n_d_z
f;16;all the other girls and boys;ao_l dh_ah ah_dh_er g_er_l_z ah_n_d b_oy_z
f;17;came around showing off their shiny new toys;k_ey_m er_aw_n_d sh_ow_ih_ng ao_f dh_eh_r sh_ay_n_iy n_y_uw t_oy_z
a;18;f (*) (*) king people that I see;eh_f ah_ae ah_ae k_ih_ng p_iy_p_ah_l dh_ae_t ay s_iy
l;19;always f (*) (*) king staring at me;ao_l_w_ey_z eh_f ah_ae ah_ae k_ih_ng s_t_eh_r_ih_ng ae_t m_iy
a;20;i wonder what it (is) you see;ay w_ah_n_d_er w_ah_t ih_t ih_z y_uw s_iy
d;21;some freak from a menagerie;s_ah_m f_r_iy_k f_r_ah_m ah m_ah_n_ae_jh_er_iy
a;22;f (*) (*) king people that I see;eh_f ah_ae ah_ae k_ih_ng p_iy_p_ah_l dh_ae_t ay s_iy
l;23;always f (*) (*) king staring at me;ao_l_w_ey_z eh_f ah_ae ah_ae k_ih_ng s_t_eh_r_ih_ng ae_t m_iy
a;24;i wonder what it (is) you see;ay w_ah_n_d_er w_ah_t ih_t ih_z y_uw s_iy
d;25;some freak from a menagerie;s_ah_m f_r_iy_k f_r_ah_m ah m_ah_n_ae_jh_er_iy
l;26;nothing ever came to me;n_ah_th_ih_ng eh_v_er k_ey_m t_uw m_iy
a;27;but all the pain I got for free;b_ah_t ao_l dh_ah p_ey_n ay g_aa_t f_ao_r f_r_iy
e;28;you wouldn-t give me a hand;y_uw w_uh_d_ah_n_t g_ih_v m_iy ah hh_ae_n_d
e;29;but you sure gave me all of your demands;b_ah_t y_uw sh_uh_r g_ey_v m_iy ao_l ah_v y_ao_r d_ih_m_ae_n_d_z
f;30;all the other girls and boys;ao_l dh_ah ah_dh_er g_er_l_z ah_n_d b_oy_z
f;31;came around showing off their shiny new toys;k_ey_m er_aw_n_d sh_ow_ih_ng ao_f dh_eh_r sh_ay_n_iy n_y_uw t_oy_z
a;32;f (*) (*) king people that I see;eh_f ah_ae ah_ae k_ih_ng p_iy_p_ah_l dh_ae_t ay s_iy
l;33;always f (*) (*) king staring at me;ao_l_w_ey_z eh_f ah_ae ah_ae k_ih_ng s_t_eh_r_ih_ng ae_t m_iy
a;34;i wonder what it (is) you see;ay w_ah_n_d_er w_ah_t ih_t ih_z y_uw s_iy
d;35;some freak from a menagerie;s_ah_m f_r_iy_k f_r_ah_m ah m_ah_n_ae_jh_er_iy
a;36;f (*) (*) king people that I see;eh_f ah_ae ah_ae k_ih_ng p_iy_p_ah_l dh_ae_t ay s_iy
l;37;always f (*) (*) king laughing at me;ao_l_w_ey_z eh_f ah_ae ah_ae k_ih_ng l_ae_f_ih_ng ae_t m_iy
g;38;well laugh all you want well thats just fine;w_eh_l l_ae_f ao_l y_uw w_aa_n_t w_eh_l dh_ae_t_s jh_ah_s_t f_ay_n
g;39;cause the last laugh (is) gonna be mine;k_aa_z dh_ah l_ae_s_t l_ae_f ih_z g_aa_n_ah b_iy m_ay_n
