Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;oh baby don-t you break now in this town;ow b_ey_b_iy d_ow_n y_uw b_r_ey_k n_aw ih_n_ch dh_ah_s t_aw_n
a;1;its only 24 hours till Im out;ih_t_s ow_n_l_iy  aw_er_z t_ih_l ay_m aw_t
g;2;and Im down on the ground on the way to your doorstep;ah_n_d ay_m d_aw_n aa_n dh_ah g_r_aw_n_d aa_n dh_iy w_ey t_uw y_ao_r d_ao_r_s_t_eh_p
a;3;well if your down then Im down;w_eh_l ah_f y_ao_r d_aw_n dh_eh_n ay_m d_aw_n
a;4;were gonna tear shit up in this town;w_iy_r g_aa_n_ah t_eh_r sh_iy_t ah_p ih_n dh_ih_s t_aw_n
b;5;its a shame that the plane were Im caged doesn-t go any faster;ih_t_s ah sh_ey_m dh_ae_t dh_ah p_l_ey_n w_er ay_m k_ey_jh_d d_ah_z_n_t g_ow eh_n_iy f_ae_s_t_er
c;7;youve got the chance its in your eyes;y_uw_v g_aa_t dh_ah ch_ae_n_s ih_t_s ih_n y_ao_r ay_z
h;8;i see it I see it;ay s_iy ih_t ay s_iy ih_t
c;9;youve got the chance to make this right;y_uw_v g_aa_t dh_ah ch_ae_n_s t_uw m_ey_k dh_ih_s r_ay_t
h;10;i need it I need it;ay n_iy_d ih_t ay n_iy_d ih_t
i;12;youve got the suicide smile and a look in your eyes that says you were on;y_uw_v g_aa_t dh_ah s_uw_ah_s_ay_d s_m_ay_l ah_n_d ah l_uh_k ih_n y_ao_r ay_z dh_ae_t s_eh_z y_uw w_er aa_n
c;13;fire;f_ay_er
c;14;and Im burning up inside;ah_n_d ay_m b_er_n_ih_ng ah_p ih_n_s_ay_d
c;15;if you were a lie Id believe you in no time;ah_f y_uw w_er ah l_ay ay_d b_ah_l_iy_v y_uw ih_n n_ow t_ay_m
d;16;maybe were crazy but all we know;m_ey_b_iy w_er k_r_ey_z_iy b_ah_t ao_l w_iy n_ow
c;18;baby you were on fire you desire;b_ey_b_iy y_uw w_er aa_n f_ay_er y_uw d_ah_z_ay_r
l;19;youre every word that means lust;y_uw_r eh_v_er_iy w_er_d dh_ae_t m_iy_n_z l_ah_s_t
m;20;i can-t lie youre just like the pill that I take to make everything heartless;ay k_ae_n_t l_ay y_uw_r jh_ah_s_t l_ay_k dh_ah p_ih_l dh_ae_t ay t_ey_k t_uw m_ey_k eh_v_r_iy_th_ih_ng hh_aa_r_t_l_ah_s
c;21;and youve got the chance its in your eyes;ah_n_d y_uw_v g_aa_t dh_iy ch_ae_n_s ih_t_s ih_n y_ao_r ay_z
h;22;i see it I see it;ay s_iy ih_t ay s_iy ih_t
a;24;well if youre down then Im down;w_eh_l ah_f y_uw_r d_aw_n dh_eh_n ay_m d_aw_n
a;25;were gonna tear shit up in this town;w_iy_r g_aa_n_ah t_eh_r sh_iy_t ah_p ih_n dh_ih_s t_aw_n
b;26;its a shame that the plane were Im caged doesn-t go any faster;ih_t_s ah sh_ey_m dh_ae_t dh_ah p_l_ey_n w_er ay_m k_ey_jh_d d_ah_z_n_t g_ow eh_n_iy f_ae_s_t_er
c;28;youve got the chance its in your eyes;y_uw_v g_aa_t dh_ah ch_ae_n_s ih_t_s ih_n y_ao_r ay_z
h;29;i see it I see it;ay s_iy ih_t ay s_iy ih_t
c;30;youve got the chance to make this right;y_uw_v g_aa_t dh_ah ch_ae_n_s t_uw m_ey_k dh_ih_s r_ay_t
h;31;i need it I need it;ay n_iy_d ih_t ay n_iy_d ih_t
d;32;and I think you should know;ah_n_d ay th_ih_ng_k y_uw sh_uh_d n_ow
i;34;youve got the suicide smile and a look in your eyes that says you were on;y_uw_v g_aa_t dh_iy s_uw_ah_s_ay_d s_m_ay_l ah_n_d ah l_uh_k ih_n y_ao_r ay_z dh_ae_t s_eh_z y_uw w_er aa_n
