Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;produced By Ethan Johns;p_r_ah_d_uw_s_t b_ay iy_th_ah_n jh_aa_n_z
i;2;well nighttime let her through;w_eh_l n_ay_t_t_ay_m l_eh_t hh_er th_r_uw
i;3;yeah Im talking to you;y_ae ay_m t_ao_k_ih_ng t_uw y_uw
l;4;i wanna see her;ay w_aa_n_ah s_iy hh_er
a;5;precious little thing;p_r_eh_sh_ah_s l_ih_t_ah_l th_ih_ng
b;6;with eyes that dance around;w_ih_dh ay_z dh_ae_t d_ae_n_s er_aw_n_d
m;7;without their clothes;w_ih_th_aw_t dh_eh_r k_l_ow_dh_z
c;9;so buy a pretty dress;s_ow b_ay ah p_r_ih_t_iy d_r_eh_s
d;10;wear it out tonight;w_eh_r ih_t aw_t t_ah_n_ay_t
n;11;for anyone you think could outdo me;f_ao_r eh_n_iy_w_ah_n y_uw th_ih_ng_k k_uh_d aw_t_d_uw m_iy
e;12;or better still be my winding wheel;ao_r b_eh_t_er s_t_ih_l b_iy m_ay w_ay_n_d_ih_ng w_iy_l
f;14;cause I feel just like a map;k_aa_z ay f_iy_l jh_ah_s_t l_ay_k ah m_ae_p
g;15;without a single place;w_ih_th_aw_t ah s_ih_ng_g_ah_l p_l_ey_s
o;16;to go of interest;t_uw g_ow ah_v ih_n_t_r_ax_s_t
b;17;and Im further North than South;ah_n_d ay_m f_er_dh_er n_ao_r_th dh_ae_n s_aw_th
b;18;if I could shut my mouth;ah_f ay k_uh_d sh_ah_t m_ay m_aw_th
a;19;she-d probably like this;s_hh_iy_d p_r_aa_b_ah_b_l_iy l_ay_k dh_ih_s
c;21;so buy a pretty dress;s_ow b_ay ah p_r_ih_t_iy d_r_eh_s
d;22;and wear it out tonight;ah_n_d w_eh_r ih_t aw_t t_ah_n_ay_t
n;23;for all the boys you think could outdo me;f_ao_r ao_l dh_ah b_oy_z y_uw th_ih_ng_k k_uh_d aw_t_d_uw m_iy
e;24;or better still be my winding wheel;ao_r b_eh_t_er s_t_ih_l b_iy m_ay w_ay_n_d_ih_ng w_iy_l
e;25;be my winding wheel;b_iy m_ay w_ay_n_d_ih_ng w_iy_l
f;27;well the children laugh;w_eh_l dh_ah ch_ih_l_d_r_ah_n l_ae_f
p;28;and sing a song that ushers;ah_n_d s_ih_ng ah s_ao_ng dh_ae_t ah_sh_er_z
g;29;in her driving rain;ih_n hh_er d_r_ay_v_ih_ng r_ey_n
g;30;and Im standing in the station;ah_n_d ay_m s_t_ae_n_d_ih_ng ih_n dh_ah s_t_ey_sh_ah_n
q;31;like some old record;l_ay_k s_ah_m ow_l_d r_eh_k_ao_d
g;32;waiting on a train;w_ey_t_ih_ng aa_n ah t_r_ey_n
c;34;so buy a pretty dress;s_ow b_ay ah p_r_ih_t_iy d_r_eh_s
d;35;wear it out tonight;w_eh_r ih_t aw_t t_ah_n_ay_t
h;36;for anyone you think could outdo me;f_ao_r eh_n_iy_w_ah_n y_uw th_ih_ng_k k_uh_d aw_t_d_uw m_iy
e;37;or better still be my winding wheel;ao_r b_eh_t_er s_t_ih_l b_iy m_ay w_ay_n_d_ih_ng w_iy_l
e;38;be my winding wheel;b_iy m_ay w_ay_n_d_ih_ng w_iy_l
