Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;falling drowning;f_aa_l_ih_ng d_r_aw_n_ih_ng
b;1;lights are fading;l_ay_t_s er f_ey_d_ih_ng
e;2;close my eyes and try to sleep;k_l_ow_z m_ay ay_z ah_n_d t_r_ay t_ah s_l_iy_p
f;4;they come and go;dh_ey k_ah_m ah_n_d g_ow
g;5;they stare and whisper;dh_ey s_t_eh_r ah_n_d w_ih_s_p_er
h;6;close my eyes and snob them all;k_l_ow_z m_ay ay_z ah_n_d s_n_aa_b dh_ah_m ao_l
c;8;today Im gonna rid myself;t_uw_d_ey ay_m g_aa_n_ah r_ih_d m_ay_s_eh_l_f
b;9;of guilt sense by facing my mistakes;ah_v g_ih_l_t s_eh_n_s b_ay f_ey_s_ih_ng m_ay m_ih_s_t_ey_k_s
d;11;two sides fighting;t_uw s_ay_d_z f_ay_t_ih_ng
i;12;inside of me;ih_n_s_ay_d ah_v m_iy
c;13;close my eyes and try to breath;k_l_ow_s m_ay ay_z ah_n_d t_r_ay t_uw b_r_eh_th
d;15;im loosing my mind;ay_m l_uw_s_ih_ng m_ay m_ay_n_d
a;16;on reasons to be found;aa_n r_iy_z_ah_n_z t_uw b_iy f_aw_n_d
e;17;close my eyes and realize;k_l_ow_s m_ay ay_z ah_n_d r_ia_l_ay_z
c;19;that today Im gonna rid myself;dh_ae_t t_ah_d_ey ay_m g_aa_n_ah r_ih_d m_ay_s_eh_l_f
b;20;of guilt sense by facing my mistakes;ah_v g_ih_l_t s_eh_n_s b_ay f_ey_s_ih_ng m_ay m_ih_s_t_ey_k_s
c;21;‘  cause I learnt that my story (is) not my destiny; ah_ae k_aa_z ay l_er_n_t dh_ae_t m_ay s_t_ao_r_iy ih_z n_ax_t m_ay d_eh_s_t_ah_n_iy
c;23;today Ill try to rid myself;t_ah_d_ey ay_l t_r_ay t_uw r_ih_d m_ay_s_eh_l_f
b;24;of pain by facing my mistakes;ah_v p_ey_n b_ay f_ey_s_ih_ng m_ay m_ih_s_t_ey_k_s
c;25;‘  cause I learnt that my story (is) not my destiny; ah_ae k_aa_z ay l_er_n_t dh_ae_t m_ay s_t_ao_r_iy ih_z n_ax_t m_ay d_eh_s_t_ah_n_iy
