Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ill never let you go;ay_l n_eh_v_er l_eh_t y_uw g_ow
a;1;never let you go;n_eh_v_er l_eh_t y_uw g_ow
b;2;ill hold you tight all night;ay_l hh_ow_l_d y_uw t_ay_t ao_l n_ay_t
a;3;ill never let you go;ay_l n_eh_v_er l_eh_t y_uw g_ow
c;5;ive had my share of heartache and pain;ay_v hh_ae_d m_ay sh_eh_r ah_v hh_aa_r_t_ey_k ah_n_d p_ey_n
d;6;ive been with users and losers;ay_v b_ih_n w_ih_dh y_uw_z_er_z ah_n_d l_uw_z_er_z
c;7;and seen all of their games;ah_n_d s_iy_n ao_l ah_v dh_eh_r g_ey_m_z
d;8;but no one makes me feel the way you do;b_ah_t n_ow w_ah_n m_ey_k_s m_iy f_iy_l dh_ah w_ey y_uw d_uw
a;9;there was a time when I was so all alone;dh_eh_r w_ah_z ah t_ay_m w_eh_n ay w_ah_z s_ow ao_l ah_l_ow_n
f;10;there was no lover no other;dh_eh_r w_ah_z n_ow l_ah_v_er n_ow ah_dh_er
a;11;i could call my own;ay k_uh_d k_ao_l m_ay ow_n
g;12;but now that I met you;b_ah_t n_aw dh_ae_t ay m_eh_t y_uw
d;13;those days are through;dh_ow_z d_ey_z aa_r th_r_uw
a;14;ill never let you go;ay_l n_eh_v_er l_eh_t y_uw g_ow
b;16;ill keep you on my mind;ay_l k_iy_p y_uw aa_n m_ay m_ay_n_d
a;17;never let you go;n_eh_v_er l_eh_t y_uw g_ow
b;18;until the end of time;ah_n_t_ih_l dh_ah eh_n_d ah_v t_ay_m
b;19;ill hold you tight all night;ay_l hh_ow_l_d y_uw t_ay_t ao_l n_ay_t
a;20;never let you go;n_eh_v_er l_eh_t y_uw g_ow
e;22;you are the earth and I am the seed;y_uw aa_r dh_ah er_th ah_n_d ay ae_m dh_ah s_iy_d
f;23;well grow together forever;w_iy_l g_r_ow t_ah_g_eh_dh_er f_er_eh_v_er
e;24;ill be all that you need;ay_l b_iy ao_l dh_ae_t y_uw n_iy_d
e;25;you and I were always meant to be;y_uw ah_n_d ay w_er ao_l_w_ey_z m_eh_n_t t_uw b_iy
e;26;if you should leave;ah_f y_uw sh_uh_d l_iy_v
c;27;and go your own way;ah_n_d g_ow y_ao_r ow_n w_ey
b;28;ill still love I will survive;ay_l s_t_ih_l l_ah_v ay w_ah_l s_er_v_ay_v
c;29;but every night I pray;b_ah_t eh_v_er_iy n_ay_t ay p_r_ey
c;30;that you will find your way;dh_ae_t y_uw w_ah_l f_ay_n_d y_ao_r w_ey
h;31;right back to me;r_ay_t b_ae_k t_uw m_iy
a;32;ill never let you go;ay_l n_eh_v_er l_eh_t y_uw g_ow
b;34;day after day and night after night;d_ey ae_f_t_er d_ey ah_n_d n_ay_t ae_f_t_er n_ay_t
c;35;i screamed your name and you just came;ay s_k_r_iy_m_d y_ao_r n_ey_m ah_n_d y_uw jh_ah_s_t k_ey_m
b;36;now everything-s alright;n_aw eh_v_r_iy_th_ih_ng_z ao_l_r_ay_t
e;37;loving you has made my life complete;l_ah_v_ih_ng y_uw hh_ah_z m_ey_d m_ay l_ay_f k_ah_m_p_l_iy_t
g;38;when Im with you;w_eh_n ay_m w_ih_dh y_uw
d;39;its like a dream thats come true;ih_t_s l_ay_k ah d_r_iy_m dh_ae_t_s k_ah_m t_r_uw
a;40;my emotions start to flow;m_ay ih_m_ow_sh_n_z s_t_aa_r_t t_uw f_l_ow
f;41;my skies are blue and my eyes gaze on you;m_ay s_k_ay_z aa_r b_l_uw ah_n_d m_ay ay_z g_ey_z aa_n y_uw
a;42;and I think that you should know;ah_n_d ay th_ih_ng_k dh_ae_t y_uw sh_uh_d n_ow
a;43;ill never let you go;ay_l n_eh_v_er l_eh_t y_uw g_ow
