Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;faucets make medicine for madmen;f_ao_s_ah_t_s m_ey_k m_eh_d_ah_s_ah_n f_r_er m_ae_d_m_ah_n
b;1;deliver me dilemma with generous lessons;d_ah_l_ih_v_er m_iy d_ah_l_eh_m_ah w_ah_dh jh_eh_n_er_ah_s l_eh_s_ah_n_z
c;2;offer the message but the message (is) often;ao_f_er dh_iy m_eh_s_ah_jh b_ah_t dh_iy m_eh_s_ah_jh ah_z ao_f_t_ah_n
d;3;not complicit with the manner in which its delivered;n_ax_t k_ah_m_p_l_ih_s_ah_t w_ah_dh dh_iy m_ae_n_er ih_n_ch hh_w_ih_ch ih_t_s d_ah_l_ih_v_er_d
l;4;then if its a question of ethical safeguard I keep mine tight Analyze the;dh_eh_n ah_f ih_t_s ah k_w_eh_s_ch_ax_n ah_v eh_th_ih_k_ah_l s_ey_f_g_aa_r_d ay k_iy_p m_ay_n t_ay_t ae_n_ah_l_ay_z dh_ah
m;5;content;k_ax_n_t_eh_n
e;6;then I sort out the bullshit and available nonsense;dh_eh_n ay s_ao_r_t aw_t dh_ah b_uh_l_sh_ih_t ah_n_d ah_v_ey_l_ah_b_ah_l n_aa_n_s_eh_n_s
e;7;i rap don-t stop no consequence;ay r_ae_p d_ow_n_t s_t_aa_p n_ow k_aa_n_s_ah_k_w_ah_n_s
n;8;lubricated cubicle found to be unsuitable;l_uw_b_r_ah_k_ey_t_ah_d k_y_uw_b_ih_k_ah_l f_aw_n_d t_uw b_iy ah_n_s_uw_t_ah_b_ah_l
f;9;id leave it at the drop of a dime;ay_d l_iy_v ih_t ae_t dh_ah d_r_aa_p ah_v ah d_ay_m
f;10;you do it all the time;y_uw d_uw ih_t ao_l dh_ah t_ay_m
a;11;ill see you at the sight of your bomb blast;ay_l s_iy y_uw ae_t dh_ah s_ay_t ah_v y_ao_r b_aa_m b_l_ae_s_t
a;12;an arrow through the apple on the tip of your top hat;ae_n ae_r_ow th_r_uw dh_ah ae_p_ah_l aa_n dh_ah t_ih_p ah_v y_ao_r t_aa_p hh_ae_t
c;13;regrettable machetes embedded up in the wall;r_ih_g_r_eh_t_ah_b_ah_l m_ah_sh_eh_t_iy_z eh_m_b_eh_d_ah_d ah_p ih_n dh_ah w_ao_l
c;14;and the wall-to wall carpet (carpel-tunnel) call;ah_n_d dh_ah w_ax_ae w_ao_l k_aa_r_p_ah_t k_aa_r_p_er_l_t_ah_n_ah_l k_ao_l
b;15;weathermen fed up forgetting confetti fall It falls on all settings;w_eh_dh_er_m_eh_n f_eh_d ah_p f_er_g_eh_t_ih_ng k_ah_n_f_eh_t_iy f_aa_l ih_t f_ao_l_z aa_n ao_l s_eh_t_ih_ng_z
a;16;the sentiments settle Gentlemen gather together get up and go laugh;dh_ah s_eh_n_t_ah_m_ah_n_t_s s_eh_t_ah_l jh_eh_n_t_ah_l_m_eh_n g_ae_dh_er t_ah_g_eh_dh_er g_eh_t ah_p ah_n_d g_ow l_ae_f
b;17;tell me if the water (is) tepid I set it up in your kettle;t_eh_l m_iy ah_f dh_ah w_ao_t_er ih_z t_eh_p_ah_d ay s_eh_t ih_t ah_p ih_n y_ao_r k_eh_t_ah_l
a;18;i know you love trouble and life goes a little bit too fast;ay n_ow y_uw l_ah_v t_r_ah_b_ah_l ah_n_d l_ay_f g_ow_z ah l_ih_t_ah_l b_ih_t t_uw f_ae_s_t
g;20;show me the ways of teleportation;sh_ow m_iy dh_ah w_ey_z ah_v t_eh_l_eh_p_oh_r_t_ax_sh_ah_n
h;21;i got a fascination with it even if it moves a little bit too slow;ay g_aa_t ah f_ae_s_ah_n_ey_sh_ah_n w_ih_dh ih_t iy_v_ah_n ah_f ah_t m_uw_v_z ey l_ih_t_ah_l b_ih_t t_uw s_l_ow
h;22;i had my hands on nothing and then I let go;ay hh_ae_d m_ay hh_ae_n_d_z aa_n n_ah_th_ih_ng ah_n_d dh_eh_n ay l_eh_t g_ow
c;23;show me a sound salvation and Ill take it but already I made mine up a long;sh_ow m_iy ey s_aw_n_d s_ae_l_v_ey_sh_ah_n ah_n_d ay_l t_ey_k ih_t b_ah_t ao_l_r_eh_d_iy ay m_ey_d m_ay_n ah_p ah l_ao_ng
h;24;time ago;t_ay_m ah_g_ow
h;25;then I let let let let let go;dh_eh_n ay l_eh_t l_eh_t l_eh_t l_eh_t l_eh_t g_ow
o;27;take away my memory all off the report until Im in the full moon all up on;t_ey_k ah_w_ey m_ay m_eh_m_ax_r_iy ao_l ao_f dh_ah r_ih_p_ao_t ah_n_t_ih_l ay_m ih_n dh_ah f_uh_l m_uw_n ao_l ah_p aa_n
c;28;your front porch;y_ao_r f_r_ah_n_t p_ao_r_ch
p;29;floridian beaches have no Georgian peaches only orchards of oranges and;f_l_ao_r_ih_d_iy_ah_n b_iy_ch_ah_z hh_ae_v n_ow jh_ao_r_jh_ah_n p_iy_ch_ah_z ow_n_l_iy ao_r_ch_er_d_z ah_v ao_r_ah_n_jh_ah_z ah_n_d
i;30;organic diseases;ao_r_g_ae_n_ih_k d_ih_z_iy_z_ah_z
i;31;see me in a panic and dismantle my thesis;s_iy m_iy ih_n ah p_ae_n_ih_k ah_n_d d_ih_s_m_ae_n_t_ah_l m_ay th_iy_s_ah_s
i;32;ive been channeling the phantom tantrum of baby Jesus;ay_v b_ih_n ch_ae_n_ah_l_ih_ng dh_ah f_ae_n_t_ah_m t_ae_n_t_r_ah_m ah_v b_ey_b_iy jh_iy_z_ah_s
i;33;im stranded with paraplegics in a conversation Im speechless;ay_m s_t_r_ae_n_d_ah_d w_ih_dh p_eh_r_ah_p_l_iy_jh_ih_k_s ih_n ah k_aa_n_v_er_s_ey_sh_ah_n ay_m s_p_iy_ch_l_ah_s
g;34;i got no telekinesis No teleportation;ay g_aa_t n_ow t_eh_l_er_k_ax_n_e_z_i_s n_ow t_eh_l_eh_p_oh_r_t_ax_sh_ah_n
n;35;ive been waiting on that technological innovation;ay_v b_ih_n w_ey_t_ih_ng aa_n dh_ae_t t_eh_k_n_ah_l_aa_jh_ih_k_ah_l ih_n_ah_v_ey_sh_ah_n
