Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;no vices;n_ow v_ay_s_ah_z
b;1;how boring it would be if we had;hh_aw b_ao_r_ih_ng ah_t w_uh_d b_iy ih_f w_iy hh_ae_d
a;2;no vices;n_ow v_ay_s_ah_z
a;3;what a drag to be straight all day and night;hh_w_ah_t ey d_r_ae_g t_ah b_iy s_t_r_ey_t ao_l d_ey ah_n_d n_ay_t
d;4;no drinks no drugs no sex nothing;n_ow d_r_ih_ng_k_s n_ow d_r_ah_g_z n_ow s_eh_k_s n_ah_th_ih_ng
a;5;no vices;n_ow v_ay_s_ah_z
b;6;how boring it would be if we had;hh_aw b_ao_r_ih_ng ah_t w_uh_d b_iy ih_f w_iy hh_ae_d
a;7;no vices;n_ow v_ay_s_ah_z
c;8;im down on my kness;ay_m d_aw_n aa_n m_ay n_eh_s
c;9;give me a drink pill a smoke anything Im bored to death;g_ih_v m_iy ah d_r_ih_ng_k p_ih_l ah s_m_ow_k eh_n_iy_th_ih_ng ay_m b_ao_r_d t_uw d_eh_th
a;10;no vices;n_ow v_ay_s_ah_z
b;11;how boring it would be if we had;hh_aw b_ao_r_ih_ng ih_t w_uh_d b_iy ah_f w_iy hh_ae_d
a;12;no vices;n_ow v_ay_s_ah_z
c;13;im down on my kness;ay_m d_aw_n aa_n m_ay n_eh_s
c;14;give me a drink pill a smoke anything Im bored to death;g_ih_v m_iy ah d_r_ih_ng_k p_ih_l ah s_m_ow_k eh_n_iy_th_ih_ng ay_m b_ao_r_d t_uw d_eh_th
