Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;oh My God;ow m_ay g_aa_d
h;2;snoop Dogg;s_n_uw_p D_oh_g_g
b;4;club (is) packed I rap the rap Ladies are in here from front to back;k_l_ah_b ah_z p_ae_k_t ay r_ae_p dh_iy r_ae_p l_ey_d_iy_z er ih_n_ch hh_ih_r f_er_m f_r_ah_n_t t_ah b_ae_k
c;6;and They love my soul I reply baby girl don-t you know that I am the fly;ah_n_d dh_ey l_ah_v m_ay s_ow_l ay r_iy_p_l_ay b_ey_b_iy g_er_l d_ow_n_t y_uw n_ow dh_ae_t ay ae_m dh_ah f_l_ay
c;8;hands in the sky don-t ask why;hh_ae_n_d_z ih_n dh_ah s_k_ay d_ow_n_t ae_s_k w_ay
i;9;party on down with a big bow wow I got style got flare Got you right there;p_aa_r_t_iy aa_n d_aw_n w_ah_dh ey b_ih_g b_aw w_aw ay g_aa_t s_t_ay_l g_aa_t f_l_eh_r g_aa_t y_uw r_ay_t dh_eh_r
b;10;got enough stock to make you do that dance;g_aa_t ah_n_ah_f s_t_aa_k t_ah m_ey_k y_uw d_uw dh_ah_t d_ae_n_s
d;12;so come on come all just havin a ball;s_ow k_ah_m aa_n k_ah_m ao_l jh_ah_s_t hh_ae_v_ih_n ey b_ao_l
d;14;be Aware of the owner cause the owner-s a Dogg I got y-all back off the wall;b_iy ah_w_eh_r ah_v dh_ah ow_n_er k_aa_z dh_ah ow_n_er_z ah D_oh_g_g ay g_aa_t y_ao_l b_ae_k ao_f dh_iy w_ao_l
e;16;just let me know know know;jh_ah_s_t l_eh_t m_iy n_ow n_ow n_ow
d;17;i like the way that you talk I like the way that you walk;ay l_ay_k dh_ah w_ey dh_ae_t y_uw t_ao_k ay l_ay_k dh_ah w_ey dh_ae_t y_uw w_ao_k
f;19;crash Boom Bang You-re so beautiful;k_r_ae_sh b_uw_m b_ae_ng y_uh_r s_ow b_y_uw_t_ah_f_ah_l
f;20;wait till we kiss give me your lips Crash Boom Bang You-re so beautiful;w_ey_t t_ih_l w_iy k_ih_s g_ih_v m_iy y_ao_r l_ih_p_s k_r_ae_sh b_uw_m b_ae_ng y_uh_r s_ow b_y_uw_t_ah_f_ah_l
a;21;im gonna make you say Oh My God;ay_m g_aa_n_ah m_ey_k y_uw s_ey ow m_ay g_aa_d
e;23;female Vocals;f_iy_m_ey_l v_ow_k_ah_l_z
a;25;wow Oh My God;w_aw ow m_ay g_aa_d
a;26;oh my God;ow m_ay g_aa_d
a;27;i make you wanna say Oh My God;ay m_ey_k y_uw w_aa_n_ah s_ey ow m_ay g_aa_d
g;29;baby baby wanna be my lady Let-s take a ride in my blue Mercedes;b_ey_b_iy b_ey_b_iy w_aa_n_ah b_iy m_ay l_ey_d_iy l_eh_t_s t_ey_k ah r_ay_d ih_n m_ay b_l_uw m_er_s_ey_d_iy_z
b;31;green grass sitting on the beanbag Close your eyes so that the dream lasts;g_r_iy_n g_r_ae_s s_ih_t_ih_ng aa_n dh_iy b_iy_n_b_ae_g k_l_ow_s y_ao_r ay_z s_ow dh_ae_t dh_ah d_r_iy_m l_ae_s_t_s
g;33;no fadin away just Blazing Ray Night will turn to amazing day;n_ow f_ae_d_iy_n ah_w_ey jh_ah_s_t b_l_ey_z_ih_ng r_ey n_ay_t w_ah_l t_er_n t_uw ah_m_ey_z_ih_ng d_ey
f;35;you and I I and you lets do what lovers do;y_uw ah_n_d ay ay ah_n_d y_uw w_iy_s d_uw w_ah_t l_ah_v_er_z d_uw
b;36;do that dance so do that dance;d_uw dh_ae_t d_ae_n_s s_ow d_uw dh_ae_t d_ae_n_s
e;38;just let me know know know;jh_ah_s_t l_eh_t m_iy n_ow n_ow n_ow
d;39;i like the way that you talk I like the way that you walk;ay l_ay_k dh_ah w_ey dh_ae_t y_uw t_ao_k ay l_ay_k dh_ah w_ey dh_ae_t y_uw w_ao_k
f;41;crash Boom Bang You-re so beautiful;k_r_ae_sh b_uw_m b_ae_ng y_uh_r s_ow b_y_uw_t_ah_f_ah_l
f;42;wait till we kiss give me your lips Crash Boom Bang You-re so beautiful;w_ey_t t_ih_l w_iy k_ih_s g_ih_v m_iy y_ao_r l_ih_p_s k_r_ae_sh b_uw_m b_ae_ng y_uh_r s_ow b_y_uw_t_ah_f_ah_l
a;43;im gonna give you everything you want;ay_m g_aa_n_ah g_ih_v y_uw eh_v_r_iy_th_ih_ng y_uw w_aa_n_t
e;45;female Snoop Doggs vocals;f_iy_m_ey_l s_n_uw_p D_oh_g_g_s v_ow_k_ah_l_z
a;47;wow Oh My God;w_aw ow m_ay g_aa_d
a;48;oh my God;ow m_ay g_aa_d
a;49;i make you wanna say Oh My God;ay m_ey_k y_uw w_aa_n_ah s_ey ow m_ay g_aa_d
