Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;living down the time spent subdivided by one effort or another;l_ih_v_ih_ng d_aw_n dh_iy t_ay_m s_p_eh_n_t s_ah_b_d_ih_v_ay_d_ah_d b_ay hh_w_ah_n eh_f_er_t er ah_n_ah_dh_er
b;1;and the grains are almost gone;ah_n_d dh_iy g_r_ey_n_z er ao_l_m_ow_s_t g_ao_n
c;2;sitting on the top there unmolested;s_ih_t_ih_ng aa_n dh_iy t_aa_p dh_eh_r ah_n_m_ah_l_eh_s_t_ah_d
g;3;then compressed into the middle;dh_eh_n k_ah_m_p_r_eh_s_t ih_n_t_ah dh_iy m_ih_d_ah_l
b;4;and the longest of free falls;ah_n_d dh_iy l_ao_ng_g_ah_s_t ah_v f_r_iy f_ao_l_z
h;6;black out on a Tuesday;b_l_ae_k aw_t aa_n ey t_uw_z_d_iy
d;7;you know that it ain-t usually like the bottle to get us gone that far;y_uw n_ow dh_ah_t ah_t ey_n_t y_uw_zh_ah_w_ah_l_iy l_ay_k dh_ah b_aa_t_ah_l t_uw g_eh_t ah_s g_ao_n dh_ae_t f_aa_r
a;9;(as) the light was leaving the darkness came creeping up behind us;ae_z dh_ah l_ay_t w_ah_z l_iy_v_ih_ng dh_ah d_aa_r_k_n_ah_s k_ey_m k_r_iy_p_ih_ng ah_p b_ah_hh_ay_n_d ah_s
d;10;and covered up the falling of the stars;ah_n_d k_ah_v_er_d ah_p dh_ah f_aa_l_ih_ng ah_v dh_ah s_t_aa_r_z
a;12;all the good times and the bad luck never added up to much;ao_l dh_ah g_uh_d t_ay_m_z ah_n_d dh_ah b_ae_d l_ah_k n_eh_v_er ae_d_ah_d ah_p t_uw m_ah_ch
e;13;but a court date down in Farmville and one hand in the furnace;b_ah_t ey k_ao_r_t d_ey_t d_aw_n ih_n_ch F_ah_r_m_v_iy_l_ax ah_n_d hh_w_ah_n hh_ae_n_d ih_n_ch dh_iy f_er_n_ah_s
f;14;saturday replenishes what Sunday leaves behind;s_ae_t_ih_d_ey r_iy_p_l_eh_n_ih_sh_er_s hh_w_ah_t s_ah_n_d_ey l_iy_v_z b_ah_hh_ay_n_d
f;15;well be alright;w_iy_l b_iy ao_l_r_ay_t
g;17;simple graces interlaced with sterile spaces;s_ih_m_p_ah_l g_r_ey_s_ah_z ih_n_t_er_l_ey_s_t w_ih_dh s_t_eh_r_ah_l s_p_ey_s_ah_z
i;18;and the sounds of all the barely hanging on;ah_n_d dh_ah s_aw_n_d_z ah_v ao_l dh_ah b_eh_r_l_iy hh_ae_ng_ih_ng aa_n
c;19;never was intended for my parts to be descended;n_eh_v_er w_ah_z ih_n_t_eh_n_d_ah_d f_ao_r m_ay p_aa_r_t_s t_uw b_iy d_ah_s_eh_n_d_ah_d
g;20;cause a furrow in your brow;k_aa_z ah f_eh_r_ow ih_n y_ao_r b_r_aw
a;22;all the good times and the bad luck never added up to much;ao_l dh_ah g_uh_d t_ay_m_z ah_n_d dh_ah b_ae_d l_ah_k n_eh_v_er ae_d_ah_d ah_p t_uw m_ah_ch
e;23;but a court date down in Farmville and one hand in the furnace;b_ah_t ey k_ao_r_t d_ey_t d_aw_n ih_n_ch F_ah_r_m_v_iy_l_ax ah_n_d hh_w_ah_n hh_ae_n_d ih_n_ch dh_iy f_er_n_ah_s
f;24;saturday replenishes what Sunday leaves behind;s_ae_t_ih_d_ey r_iy_p_l_eh_n_ih_sh_er_s hh_w_ah_t s_ah_n_d_ey l_iy_v_z b_ah_hh_ay_n_d
f;25;well be alright;w_iy_l b_iy ao_l_r_ay_t
f;26;yeah Saturday replenishes what Sunday leaves behind;y_ae s_ae_t_er_d_iy r_iy_p_l_eh_n_ih_sh_er_s w_ah_t s_ah_n_d_ey l_iy_v_z b_ah_hh_ay_n_d
f;27;well be alright;w_iy_l b_iy ao_l_r_ay_t
