Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;0;telling me the stories from the start again;t_eh_l_ih_ng m_iy dh_iy s_t_ao_r_iy_z f_er_m dh_iy s_t_aa_r_t ah_g_ey_n
a;1;sleeping off the night and do it all again;s_l_iy_p_ih_ng ao_f dh_iy n_ay_t ah_n_d d_uw ih_t ao_l ah_g_eh_n
b;2;just wait and see;jh_ah_s_t w_ey_t ah_n_d s_iy
e;4;yes you;y_eh_s y_uw
c;5;you got something on your mind;y_uw g_aa_t s_ah_m_th_ih_ng aa_n y_uh_r m_ay_n_d
e;6;hey you;hh_ey y_uw
c;7;i will be yours if you like;ay w_ah_l b_iy y_uh_r_z ah_f y_uw l_ay_k
c;8;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
c;9;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
c;10;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
b;11;just wait and see;jh_ah_s_t w_ey_t ah_n_d s_iy
a;13;telling me the stories from the start again;t_eh_l_ih_ng m_iy dh_ah s_t_ao_r_iy_z f_r_ah_m dh_ah s_t_aa_r_t ah_g_eh_n
a;14;sleeping off the night and do it all again;s_l_iy_p_ih_ng ao_f dh_ah n_ay_t ah_n_d d_uw ih_t ao_l ah_g_eh_n
b;15;just wait and see;jh_ah_s_t w_ey_t ah_n_d s_iy
e;17;yes you;y_eh_s y_uw
c;18;you got something on your mind;y_uw g_aa_t s_ah_m_th_ih_ng aa_n y_ao_r m_ay_n_d
e;19;hey you;hh_ey y_uw
c;20;i will be yours if you like;ay w_ah_l b_iy y_uh_r_z ah_f y_uw l_ay_k
c;21;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
c;22;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
c;23;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
b;24;just wait and see;jh_ah_s_t w_ey_t ah_n_d s_iy
a;26;telling me the stories from the start again;t_eh_l_ih_ng m_iy dh_ah s_t_ao_r_iy_z f_r_ah_m dh_ah s_t_aa_r_t ah_g_eh_n
a;27;sleeping off the night and do it all again;s_l_iy_p_ih_ng ao_f dh_ah n_ay_t ah_n_d d_uw ih_t ao_l ah_g_eh_n
b;28;just wait and see;jh_ah_s_t w_ey_t ah_n_d s_iy
e;30;yes you;y_eh_s y_uw
c;31;you got something on your mind;y_uw g_aa_t s_ah_m_th_ih_ng aa_n y_ao_r m_ay_n_d
d;32;hey you;hh_ey y_uw
c;33;i will be yours if you like;ay w_ah_l b_iy y_uh_r_z ah_f y_uw l_ay_k
c;34;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
c;35;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
c;36;but only for tonight;b_ah_t ow_n_l_iy f_ao_r t_ah_n_ay_t
b;37;just wait and see;jh_ah_s_t w_ey_t ah_n_d s_iy
