Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;0;i never meant to hurt you;ay n_eh_v_er m_eh_n_t t_ah hh_er_t y_uw
l;1;no intent to bring you down or desert you;n_ow ih_n_t_eh_n_t t_ah b_r_ih_ng y_uw d_aw_n er d_ax_z_er_t y_uw
a;2;if Id known the choice I made;ih_f ay_d n_ow_n dh_ah ch_oy_s ay m_ey_d
a;3;the same that sends cats to their grave;dh_ah s_ey_m dh_ae_t s_eh_n_d_z k_ae_t_s t_uw dh_eh_r g_r_ey_v
m;4;had given you everything you never wanted;hh_ae_d g_ih_v_ah_n y_uw eh_v_r_iy_th_ih_ng y_uw n_eh_v_er w_oh_n_t_ih_d
b;5;i would-ve killed curiosity I promise;ay w_uh_d_ah_v k_ih_l_d k_y_uh_r_iy_aa_s_ah_t_iy ay p_r_aa_m_ah_s
c;6;but I let the monsters surface;b_ah_t ay l_eh_t dh_ah m_aa_n_s_t_er_z s_er_f_ah_s
c;7;hope left closed Im looking for a purpose;hh_ow_p l_eh_f_t k_l_ow_z_d ay_m l_uh_k_ih_ng f_ao_r ah p_er_p_ah_s
d;8;id be the out cause if I could;ay_d b_iy dh_ah aw_t k_aa_z ah_f ay k_uh_d
d;9;erase me with the flaws where I stood;ih_r_ey_s_ah m_iy w_ih_dh dh_ah f_l_ao_z w_eh_r ay s_t_uh_d
e;10;spend days working to correct;s_p_eh_n_d d_ey_z w_er_k_ih_ng t_uw k_er_eh_k_t
n;11;everything left in the caves of my chest Im;eh_v_r_iy_th_ih_ng l_eh_f_t ih_n dh_ah k_ey_v_z ah_v m_ay ch_eh_s_t ay_m
f;12;walking til my feet are broken talking til my speech (is) golden;w_ao_k_ih_ng t_ih_l m_ay f_iy_t aa_r b_r_ow_k_ah_n t_ao_k_ih_ng t_ih_l m_ay s_p_iy_ch ih_z g_ow_l_d_ah_n
