Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;uh huh oh yes Honey;ah hh_ah ow y_eh_s hh_ah_n_iy
b;1;due to the fact that her thighs spread just like;d_y_uw t_ah dh_iy f_ae_k_t dh_ah_t hh_er th_ay_z s_p_r_eh_d jh_ah_s_t l_ay_k
l;2;p nah P nah P Nah P nah P nah P Nah PPPP;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa 
c;3;p nah P nah P Nah P Nah P Nah;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa
a;4;peanut Butter;p_iy_n_ah_t b_ah_t_er
m;5;p nah P nah P Nah P nah P nah P Nah PPPP;p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa p_iy n_aa 
a;6;peanut Butter;p_iy_n_ah_t b_ah_t_er
a;7;peanut Butter;p_iy_n_ah_t b_ah_t_er
a;8;peanut Butter;p_iy_n_ah_t b_ah_t_er
d;10;gota walk right through that door;g_aa_t_ae w_ao_k r_ay_t th_r_uw dh_ah_t d_ao_r
d;11;like before;l_ay_k b_iy_f_ao_r
d;12;high high heels on a hardwood floor;hh_ay hh_ay hh_iy_l_z aa_n ey hh_aa_r_d_w_uh_d f_l_ao_r
d;13;they all coming back for more;dh_ey ao_l k_ah_m_ih_ng b_ae_k f_r_er m_ao_r
d;14;back back back for more;b_ae_k b_ae_k b_ae_k f_r_er m_ao_r
b;15;get it up your right this time;g_ih_t ah_t ah_p y_uh_r r_ay_t dh_ih_s t_ay_m
b;16;ass so fine;ae_s s_ow f_ay_n
c;17;rupaul;r_uw_p_aa_l
b;18;never gonna stop till the beat (is) mine;n_eh_v_er g_aa_n_ah s_t_aa_p t_ih_l dh_ah b_iy_t ih_z m_ay_n
c;19;rupaul;r_uw_p_aa_l
b;20;come round if you so inclined;k_ah_m r_aw_n_d ah_f y_uw s_ow ih_n_k_l_ay_n_d
d;21;ru paul paul paul;r_ah p_ao_l p_ao_l p_ao_l
e;22;must be jelly cos jam don-t shake;m_ah_s_t b_iy jh_eh_l_iy k_ao_s jh_ae_m d_ow_n_t sh_ey_k
e;23;must be jelly cos jam don-t shake;m_ah_s_t b_iy jh_eh_l_iy k_ao_s jh_ae_m d_ow_n_t sh_ey_k
n;24;must be jelly cos jam don-t shake Oh;m_ah_s_t b_iy jh_eh_l_iy k_ao_s jh_ae_m d_ow_n_t sh_ey_k ow
f;25;spread that jelly spread it good;s_p_r_eh_d dh_ae_t jh_eh_l_iy s_p_r_eh_d ih_t g_uh_d
g;26;peanut butter here;p_iy_n_ah_t b_ah_t_er hh_ih_r
g;27;kiss my grits;k_ih_s m_ay g_r_ih_t_s
g;28;your Mommas in the kitchen but the ovens on the fritz;y_ao_r M_oh_m_ax_s ih_n dh_ah k_ih_ch_ah_n b_ah_t dh_ah ah_v_ah_n_z aa_n dh_ah f_r_ih_t_s
