Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;0;woodentoaster;w_uh_d_ah_n_ha_t_ow_s_t_er
a;2;now a rainbows tale isn-t quite (as) nice;n_aw ey r_ey_n_b_ow_z t_ey_l ih_z_n_t k_w_ay_t ae_z n_ay_s
a;3;(as) the story we knew of sugar and spice;ae_z dh_ah s_t_ao_r_iy w_iy n_uw ah_v sh_uh_g_er ah_n_d s_p_ay_s
g;4;but a rainbows easy once you get to know it;b_ah_t ah r_ey_n_b_ow_z iy_z_iy w_ah_n_s y_uw g_eh_t t_uw n_ow ih_t
a;5;with the help of the magic of the Pegasus Device;w_ih_dh dh_ah hh_eh_l_p ah_v dh_ah m_ae_jh_ih_k ah_v dh_ah p_eh_g_ah_s_ah_s d_ih_v_ay_s
b;7;lets delve deeper into rainbow philosophy;w_iy_s d_eh_l_v d_iy_p_er ih_n_t_uw r_ey_n_b_ow f_ah_l_aa_s_ah_f_iy
b;8;far beyond that of Cloudsdales mythology;f_aa_r b_ih_aa_n_d dh_ae_t ah_v  m_ah_th_aa_l_ah_jh_iy
c;9;its easy to misjudge that floating city;ih_t_s iy_z_iy t_uw m_ih_s_jh_ah_jh dh_ae_t f_l_ow_t_ih_ng s_ih_t_iy
b;10;with its alluring decor and social psychology;w_ih_dh ih_t_s ah_l_uh_r_ih_ng d_ih_k_ao_r ah_n_d s_ow_sh_ah_l s_ay_k_aa_l_ah_jh_iy
c;11;but with all great things comes a great responsibility;b_ah_t w_ih_dh ao_l g_r_ey_t th_ih_ng_z k_ah_m_z ah g_r_ey_t r_iy_s_p_aa_n_s_ah_b_ih_l_ah_t_iy
c;12;that of Cloudsdales being weather stability;dh_ae_t ah_v  b_iy_ih_ng w_eh_dh_er s_t_ah_b_ih_l_ah_t_iy
d;13;how you ask are they up to the task;hh_aw y_uw ae_s_k aa_r dh_ey ah_p t_uw dh_ah t_ae_s_k
c;14;to which the answer (is) in a simple facility;t_uw w_ih_ch dh_ah ae_n_s_er ih_z ih_n ah s_ih_m_p_ah_l f_ah_s_ih_l_ah_t_iy
d;16;in the rainbow factory;ih_n dh_ah r_ey_n_b_ow f_ae_k_t_er_iy
e;17;where your fears and horrors come true;w_eh_r y_ao_r f_ih_r_z ah_n_d hh_ao_r_er_z k_ah_m t_r_uw
d;18;in the rainbow factory;ih_n dh_ah r_ey_n_b_ow f_ae_k_t_er_iy
e;19;where not a single soul gets through;w_eh_r n_ax_t ah s_ih_ng_g_ah_l s_ow_l g_eh_t_s th_r_uw
d;20;in the rainbow factory;ih_n dh_ah r_ey_n_b_ow f_ae_k_t_er_iy
e;21;where your fears and horrors come true;w_eh_r y_ao_r f_ih_r_z ah_n_d hh_ao_r_er_z k_ah_m t_r_uw
d;23;in the rainbow factory;ih_n dh_ah r_ey_n_b_ow f_ae_k_t_er_iy
e;24;where your fears and horrors come true;w_eh_r y_ao_r f_ih_r_z ah_n_d hh_ao_r_er_z k_ah_m t_r_uw
d;25;in the rainbow factory;ih_n dh_ah r_ey_n_b_ow f_ae_k_t_er_iy
e;26;where not a single soul gets through;w_eh_r n_ax_t ah s_ih_ng_g_ah_l s_ow_l g_eh_t_s th_r_uw
d;27;in the rainbow factory;ih_n dh_ah r_ey_n_b_ow f_ae_k_t_er_iy
e;28;where your fears and horrors come true;w_eh_r y_ao_r f_ih_r_z ah_n_d hh_ao_r_er_z k_ah_m t_r_uw
