Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;0;thats on the regular;dh_ae_t_s aa_n dh_ah r_eh_g_y_uh_l_ax
c;1;on the regular;aa_n dh_ah r_eh_g_y_uh_l_ax
c;2;im not a regular;ay_m n_ax_t ah r_eh_g_y_uh_l_ax
d;3;i be cashing bruh;ay b_iy k_ae_sh_ih_ng b_r_uw_ae
e;4;i be swagging up;ay b_iy s_w_ae_g_ih_ng ah_p
f;5;swag;s_w_ae_g
c;7;i done got so used to this just happens on the regular;ay d_ah_n g_aa_t s_ow y_uw_z_d t_uw dh_ih_s jh_ah_s_t hh_ae_p_ah_n_z aa_n dh_ah r_eh_g_y_uh_l_ax
c;8;i don-t fuck with half these chicks cause half these chicks (is) regular;ay d_ow_n_t f_ah_k w_ih_dh hh_ae_f dh_iy_z ch_ih_k_s k_aa_z hh_ae_f dh_iy_z ch_ih_k_s ih_z r_eh_g_y_uh_l_ax
c;9;hustle on the regular got good on the regular;hh_ah_s_ah_l aa_n dh_ah r_eh_g_y_uh_l_ax g_aa_t g_uh_d aa_n dh_ah r_eh_g_y_uh_l_ax
c;10;im dealing dope I only sell to niggas I see regular;ay_m d_iy_l_ih_ng d_ow_p ay ow_n_l_iy s_eh_l t_uw n_ih_g_ae_s ay s_iy r_eh_g_y_uh_l_ax
c;12;i done got so used to this just happens on the regular;ay d_ah_n g_aa_t s_ow y_uw_z_d t_uw dh_ih_s jh_ah_s_t hh_ae_p_ah_n_z aa_n dh_ah r_eh_g_y_uh_l_ax
c;13;i don-t mess with half these chicks cause half these chicks (is) regular;ay d_ow_n_t m_eh_s w_ih_dh hh_ae_f dh_iy_z ch_ih_k_s k_aa_z hh_ae_f dh_iy_z ch_ih_k_s ih_z r_eh_g_y_uh_l_ax
c;14;hustle on the regular smoke good on the regular;hh_ah_s_ah_l aa_n dh_ah r_eh_g_y_uh_l_ax s_m_ow_k g_uh_d aa_n dh_ah r_eh_g_y_uh_l_ax
a;15;im dealing dope I only sell to niggas I see regular;ay_m d_iy_l_ih_ng d_ow_p ay ow_n_l_iy s_eh_l t_uw n_ih_g_ae_s ay s_iy r_ey_g_y_ah_l_er
c;17;the Louis belt (is) regular the Gucci belt (is) regular;dh_iy l_uw_ah_s b_eh_l_t ah_z r_ey_g_y_ah_l_er dh_ah g_uw_ch_iy b_eh_l_t ih_z r_eh_g_y_uh_l_ax
c;18;that Fendi with them Bally-s nigga give it to me regular;dh_ae_t f_eh_n_d_iy w_ih_dh dh_eh_m b_ae_l_iy_z n_ih_g_ae g_ih_v ih_t t_uw m_iy r_eh_g_y_uh_l_ax
b;19;true Religion head to toe just feeding off them regulars;t_r_uw r_ah_l_ih_jh_ah_n hh_eh_d t_uw t_ow jh_ah_s_t f_iy_d_ih_ng ao_f dh_eh_m r_eh_g_y_ah_l_er_z
c;20;whores chicks and on my trench like them the regular;hh_ao_r_z ch_ih_k_s ah_n_d aa_n m_ay t_r_eh_n_ch l_ay_k dh_eh_m dh_ah r_eh_g_y_uh_l_ax
c;21;my bitch come from Afghanistan we ship that on the regular;m_ay b_ih_ch k_ah_m f_r_ah_m ae_f_g_ae_n_ah_s_t_ae2_n w_iy sh_ih_p dh_ae_t aa_n dh_ah r_eh_g_y_uh_l_ax
c;22;i be smoking puffing choking he be smoking regular;ay b_iy s_m_ow_k_ih_ng p_ah_f_ih_ng ch_ow_k_ih_ng hh_iy b_iy s_m_ow_k_ih_ng r_eh_g_y_uh_l_ax
