Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ive heard it all before;ay_v hh_er_d ih_t ao_l b_ah_f_ao_r
a;1;all the sob stories;ao_l dh_ah s_aa_b s_t_ao_r_iy_z
b;2;start with you gotta get out end with you didn-t want in;s_t_aa_r_t w_ih_dh y_uw g_aa_t_ah g_eh_t aw_t eh_n_d w_ih_dh y_uw d_ih_d_n_t w_aa_n_t ih_n
a;3;ive heard it all before;ay_v hh_er_d ih_t ao_l b_ah_f_ao_r
c;4;a professional lover;ah p_r_ah_f_eh_sh_ah_n_ah_l l_ah_v_er
h;5;its more than most can speak for;ih_t_s m_ao_r dh_ae_n m_ow_s_t k_ah_n s_p_iy_k f_ao_r
c;7;paint me a picture with your waist now honey;p_ey_n_t m_iy ah p_ih_k_ch_er w_ih_dh y_ao_r w_ey_s_t n_aw hh_ah_n_iy
d;8;whoa-oh and come over;w_hh_hh ah_n_d k_ah_m ow_v_er
b;10;dilapidated veneer;d_ah_l_ae_p_ah_d_ey_t_ah_d v_ah_n_ih_r
b;11;champagne on your snakeskin lips;sh_ae_m_p_ey_n aa_n y_uh_r s_n_ey_k_s_k_iy_n l_ih_p_s
b;12;like we were celebrating the death of your innocence;l_ay_k w_iy w_er s_eh_l_ah_b_r_ey_t_ih_ng dh_iy d_eh_th ah_v y_uh_r ih_n_ah_s_ah_n_s
b;13;god Damn Lap dances to funeral hymns;g_aa_d d_ae_m l_ae_p d_ae_n_s_ah_z t_ah f_y_uw_n_er_ah_l hh_ih_m_z
i;14;to pay him cause you don-t want nothing to do with them;t_ah p_ey ih_m k_aa_z y_uw d_ow_n w_aa_n_t n_ah_th_ih_ng t_ah d_uw w_ah_dh dh_ah_m
e;16;life drained from this house just like a virgin crime;l_ay_f d_r_ey_n_d f_er_m dh_ah_s hh_aw_s jh_ah_s_t l_ay_k ey v_er_jh_ah_n k_r_ay_m
c;18;paint me a picture with your waist now honey;p_ey_n_t m_iy ey p_ih_k_ch_er w_ah_dh y_uh_r w_ey_s_t n_aw hh_ah_n_iy
d;19;whoa-oh and come over;w_hh_hh ah_n_d k_ah_m ow_v_er
f;20;hey I think youre afraid;hh_ey ay th_ih_ng_k y_uw_r ah_f_r_ey_d
g;21;don-t pray for us;d_ow_n p_r_ey f_r_er y_uw_eh_s
c;23;you can-t save us;y_uw k_ae_n_t s_ey_v ah_s
l;24;we never asked you to;w_iy n_eh_v_er ao_s_k_t y_uw t_ah
c;25;you can-t save us;y_uw k_ae_n_t s_ey_v ah_s
g;26;living with nothing to lose;l_ih_v_ih_ng w_ah_dh n_ah_th_ih_ng t_ah l_uw_z
d;28;i know you I know you soul;ay n_ow y_uw ay n_ow y_uw s_ow_l
a;29;ive read those lines before;ay_v r_iy_d dh_ow_z l_ay_n_z b_ah_f_ao_r
a;30;ive played that song;ay_v p_l_ey_d dh_ae_t s_ao_ng
h;31;on the radio in the obituaries;aa_n dh_ah r_ey_d_iy_ow ih_n dh_ah ow_b_ih_ch_uw_eh_r_iy_z
a;32;ive held that shovel before;ay_v hh_eh_l_d dh_ae_t sh_ah_v_ah_l b_ah_f_ao_r
g;33;mine was made to bury;m_ay_n w_ah_z m_ey_d t_uw b_eh_r_iy
f;34;dark things Dark Places;d_aa_r_k th_ih_ng_z d_aa_r_k p_l_ey_s_ah_z
e;35;cold nights Lives wasted away in the light;k_ow_l_d n_ay_t_s l_ih_v_z w_ey_s_t_ah_d ah_w_ey ih_n dh_ah l_ay_t
e;36;youre so much better in the night;y_uw_r s_ow m_ah_ch b_eh_t_er ih_n dh_ah n_ay_t
f;37;when youre faceless;w_eh_n y_uw_r f_ey_s_l_ah_s
f;38;im faithless;ay_m f_ey_th_l_eh_s
