Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;this that beast coast;dh_ah_s dh_ah_t b_iy_s_t k_ow_s_t
b;1;baltimore shit G;b_ao_l_t_ah_m_ao_r sh_iy_t jh_iy
c;2;home of the Wire where we never play the fifty;hh_ow_m ah_v dh_iy w_ay_er hh_w_eh_r w_iy n_eh_v_er p_l_ey dh_iy f_ih_f_t_iy
c;3;niggas know I get money That-S word to fifty;n_ih_g_ae_s n_ow ay g_ih_t m_ah_n_iy dh_ae_t_s w_er_d t_uw f_ih_f_t_iy
f;4;im a NWA so killing this shit (is);ay_m ah  s_ow k_ih_l_ih_ng dh_ih_s sh_iy_t ih_z
b;5;eazy E;z_iy iy
g;6;thats What ya girl pop when Im wit er;dh_ae_t_s w_ah_t y_aa g_er_l p_aa_p w_eh_n ay_m w_ih_t er
g;7;i smashed her;ay s_m_ae_sh_t hh_er
b;8;now All you do (is) twatch me on twitter;n_aw ao_l y_uw d_uw ih_z t_w_ae_t_ch m_iy aa_n t_w_iy_t_ax_r
f;9;i travel to see different currencies;ay t_r_ae_v_ah_l t_uw s_iy d_ih_f_r_ax_n_t k_er_ah_n_s_iy_z
h;10;ima hot SPITTA;ih_m_ah hh_aa_t 
c;11;when Im on that jetlife You rappers need a fucking SITTER;w_eh_n ay_m aa_n dh_ae_t jh_eh_t_l_ay_f y_uw r_ae_p_er_z n_iy_d ah f_ah_k_ih_ng s_ih_t_er
i;12;but fuck it its time to takeoff;b_ah_t f_ah_k ih_t ih_t_s t_ay_m t_uw t_ey_k_ao_f
d;13;better yet blastoff;b_eh_t_er y_eh_t b_l_ae_s_t_ao_f
d;14;ayee NASA;aa_y_iy n_ae_s_ah
e;15;im out of space My bars on mars;ay_m aw_t ah_v s_p_ey_s m_ay b_aa_r_z aa_n m_aa_r_z
e;16;i spit bars;ay s_p_ih_t b_aa_r_z
c;17;that convict convicts into the prisons;dh_ae_t k_aa_n_v_ih_k_t k_aa_n_v_ih_k_t_s ih_n_t_uw dh_ah p_r_ih_z_ah_n_z
c;18;not To mention Im 16 spitting the sickest shit ever written;n_ax_t t_uw m_eh_n_sh_ah_n ay_m  s_p_ih_t_ih_ng dh_ah s_ih_k_ah_s_t sh_iy_t eh_v_er r_ih_t_ah_n
d;19;real lyricist are back;r_iy_l l_ih_r_ah_s_ah_s_t aa_r b_ae_k
d;20;real lyricist are back;r_iy_l l_ih_r_ah_s_ah_s_t aa_r b_ae_k
d;21;aye Macon I went Ham;ay m_ey_k_ah_n ay w_eh_n_t hh_ae_m
d;22;on you on this track;aa_n y_uw aa_n dh_ih_s t_r_ae_k
d;23;real lyricist are back;r_iy_l l_ih_r_ah_s_ah_s_t aa_r b_ae_k
d;24;real lyricist are back;r_iy_l l_ih_r_ah_s_ah_s_t er b_ae_k
d;25;i stay in chicks head when I murder each and every track;ay s_t_ey ih_n ch_ih_k_s hh_eh_d w_eh_n ay m_er_d_er iy_ch ah_n_d eh_v_er_iy t_r_ae_k
e;26;but fuck it switch the topic;b_ah_t f_ah_k ih_t s_w_ih_ch dh_ah t_aa_p_ih_k
l;27;im in the picture when you crop it;ay_m ih_n dh_ah p_ih_k_ch_er w_eh_n y_uw k_r_aa_p ih_t
a;28;my flow;m_ay f_l_ow
l;29;i Never stop it;ay n_eh_v_er s_t_aa_p ih_t
m;30;tell me who going stop it;t_eh_l m_iy hh_uw g_ow_ih_ng s_t_aa_p ah_t
n;31;you You or You;y_uw y_uw ao_r y_uw
f;32;like wet grass in the morning dew what you do;l_ay_k w_eh_t g_r_ae_s ih_n dh_ah m_ao_r_n_ih_ng d_uw w_ah_t y_uw d_uw
a;33;but y-all niggas bore me Im yawning;b_ah_t y_ao_l n_ih_g_ae_s b_ao_r m_iy ay_m y_ow_n_ih_ng
c;34;stop bitching;s_t_aa_p b_ih_ch_ih_ng
a;35;when Caroline google me like chrome;w_eh_n k_eh_r_ah_l_ay_n g_uw_g_l_er m_iy l_ay_k k_r_ow_m
c;36;it ain-t My fault Caroline meet me on Biddle;ih_t ey_n_t m_ay f_ao_l_t k_eh_r_ah_l_ay_n m_iy_t m_iy aa_n b_ih_d_ah_l
