Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;0;smoke a zip roll another spliff;s_m_ow_k ey z_ih_p r_ow_l ah_n_ah_dh_er s_p_l_f_f
a;1;stack a chip turn up on a nigga piffed up;s_t_ae_k ey ch_ih_p t_er_n ah_p aa_n ey n_ih_g_ae p_iy_f_ax_d ah_p
b;2;im the shit diamonds on my wrist;ay_m dh_ah sh_iy_t d_ay_m_ah_n_d_z aa_n m_ay r_ih_s_t
c;4;want him dead I don-t know the man;w_aa_n_t ih_m d_eh_d ay d_ow_n n_ow dh_iy m_ae_n
a;5;get him out my face Im to fuckin piffed up;g_ih_t ih_m aw_t m_ay f_ey_s ay_m t_uw f_ah_k_iy_n p_iy_f_ax_d ah_p
d;7;what you mean Im (Ameri-fiend);w_ah_t y_uw m_iy_n ay_m f_iy_n_d
c;8;im kill the scene man;ay_m k_ih_l dh_ah s_iy_n m_ae_n
m;9;hol up hol up hol-up;hh_ow_l ah_p hh_ow_l ah_p hh_p_oh
n;10;rock Out Woop;r_aa_k aw_t 
o;12;rock Out Woop;r_aa_k aw_t 
p;14;rock Out Woop;r_aa_k aw_t 
q;16;i got a chopper thatll rock you out them motherfucking bands like a guitar;ay g_aa_t ah ch_aa_p_er dh_ae_t_l r_aa_k y_uw aw_t dh_eh_m m_ah_dh_er_ha_f_ah_k_ih_ng b_ae_n_d_z l_ay_k ah g_ah_t_aa_r
e;18;puerto Rican plug Rican white flow;p_w_eh_r_t_ow r_iy_k_ah_n p_l_ah_g r_iy_k_ah_n w_ay_t f_l_ow
f;19;trap house keep a juug at the door;t_r_ae_p hh_aw_s k_iy_p ah jh_uw_uw_g ae_t dh_ah d_ao_r
r;20;jack house got straight robbers in it;jh_ae_k hh_aw_s g_aa_t s_t_r_ey_t r_aa_b_er_z ih_n ih_t
b;21;bit a skittle with a monkey in the middle;b_ih_t ah s_k_ih_t_ah_l w_ih_dh ah m_ah_ng_k_iy ih_n dh_ah m_ih_d_ah_l
d;22;im geeked up what the fuck a nigga mean;ay_m g_iy_k_er_d ah_p w_ah_t dh_ah f_ah_k ah n_ih_g_ae m_iy_n
d;23;rock out broad day behind the team Billie Jean;r_aa_k aw_t b_r_ao_d d_ey b_ah_hh_ay_n_d dh_ah t_iy_m b_ih_l_iy jh_iy_n
d;24;crackers play it dirty but Im trying to keep it clean;k_r_ae_k_er_z p_l_ey ih_t d_er_t_iy b_ah_t ay_m t_r_ay_ih_ng t_uw k_iy_p ih_t k_l_iy_n
e;25;on the corner swangin dope;aa_n dh_ah k_ao_r_n_er s_w_aa_n_jh_ih_n d_ow_p
