Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;now I just finished fucking my man;n_aw ay jh_ah_s_t f_ih_n_ih_sh_t f_ah_k_ih_ng m_ay m_ae_n
a;1;and Im laying in the bed with my dick in his hand;ah_n_d ay_m l_ey_ih_ng ih_n_ch dh_iy b_eh_d w_ah_dh m_ay d_ih_k ih_n_ch hh_ah_z hh_ae_n_d
b;2;he gets up and he says hes thirsty;hh_iy g_ih_t_s ah_p ah_n_d hh_iy s_ih_z hh_iy_s th_er_s_t_iy
c;3;hes going to the store to get a 40 of Olde;hh_iy_s g_ow_ih_ng t_uw dh_ah s_t_ao_r t_uw g_eh_t ah  ah_v ow_l_d
a;4;he kissed me and told me Ill be back;hh_iy k_ih_s_t m_iy ah_n_d t_ow_l_d m_iy ay_l b_iy b_ae_k
a;5;i laid the fuck down and starting taking a nap;ay l_ey_d dh_ah f_ah_k d_aw_n ah_n_d s_t_aa_r_t_ih_ng t_ey_k_ih_ng ah n_ae_p
d;6;i passed the fuck out cause tired like a mother;ay p_ae_s_t dh_ah f_ah_k aw_t k_aa_z t_ay_r_d l_ay_k ah m_ah_dh_er
d;7;thats when I heard a scream and a car burning rubber;dh_ae_t_s w_eh_n ay hh_er_d ah s_k_r_iy_m ah_n_d ah k_aa_r b_er_n_ih_ng r_ah_b_er
e;8;i grabbed my gat and I ran outside;ay g_r_ae_b_d m_ay g_ae_t ah_n_d ay r_ae_n aw_t_s_ay_d
e;9;i saw my baby on the ground;ay s_ao m_ay b_ey_b_iy aa_n dh_ah g_r_aw_n_d
e;10;and theyre beating him down;ah_n_d dh_ey_r b_iy_t_ih_ng hh_ih_m d_aw_n
n;11;they got him outnumbered 1 to 8;dh_ey g_aa_t ih_m aw_t_n_ah_m_b_er_d ah_ae t_uw ah_ae
f;12;theyre callin him a fag and their kicking his face;dh_ey_r k_ao_l_iy_n hh_ih_m ah f_ae_g ah_n_d dh_eh_r k_ih_k_ih_ng hh_ih_z f_ey_s
g;13;i pulled my gat and Im letting it spit;ay p_uh_l_d m_ay g_ae_t ah_n_d ay_m l_eh_t_ih_ng ih_t s_p_ih_t
g;14;and I don-t really care or give a fuck who I hit;ah_n_d ay d_ow_n_t r_ih_l_iy k_eh_r ao_r g_ih_v ah f_ah_k hh_uw ay hh_ih_t
g;15;they jump in the car and they run like bitches;dh_ey jh_ah_m_p ih_n dh_ah k_aa_r ah_n_d dh_ey r_ah_n l_ay_k b_ih_ch_ah_z
g;16;the dead motherfuckers just dug their ditches;dh_ah d_eh_d m_ao_th_eh_r_f_uw_k_k_ax_r_s jh_ah_s_t d_ah_g dh_eh_r d_ih_ch_ah_z
a;18;run from the faggots run from the faggots;r_ah_n f_r_ah_m dh_ah f_ae_g_ah_t_s r_ah_n f_r_ah_m dh_ah f_ae_g_ah_t_s
d;19;you know Twisted G came to bring the ruckus;y_uw n_ow t_w_ih_s_t_ah_d jh_iy k_ey_m t_uw b_r_ih_ng dh_ah r_ah_k_ah_s
a;20;run from the faggots run from the faggots;r_ah_n f_r_ah_m dh_ah f_ae_g_ah_t_s r_ah_n f_r_ah_m dh_ah f_ae_g_ah_t_s
o;21;i guess you picked the wrong fucking fags to fuck with;ay g_eh_s y_uw p_ih_k_t dh_iy r_ao_ng f_ah_k_ih_ng f_ae_g_z t_uw f_ah_k w_ih_dh
h;23;now my boos in the hospital;n_aw m_ay b_uw_z ih_n dh_ah hh_aa_s_p_ih_t_ah_l
h;24;do you think theyll get away thats impossible;d_uw y_uw th_ih_ng_k dh_ey_l g_eh_t ah_w_ey dh_ae_t_s ih_m_p_aa_s_ah_b_ah_l
a;25;cause Im gonna terrorize them like a gang of (A-rabs);k_aa_z ay_m g_aa_n_ah t_eh_r_er_ay_z dh_eh_m l_ay_k ah g_ae_ng ah_v r_ae_b_z
a;26;cause they picked the wrong fucking fag to (gay-bash);k_aa_z dh_ey p_ih_k_t dh_ah r_ao_ng f_ah_k_ih_ng f_ae_g t_uw g_ey_b_ae_sh
i;27;i know who they are cause I seen them before;ay n_ow hh_uw dh_ey aa_r k_aa_z ay s_iy_n dh_eh_m b_ah_f_ao_r
i;28;now you know its time for me to settle the score;n_aw y_uw n_ow ih_t_s t_ay_m f_ao_r m_iy t_uw s_eh_t_ah_l dh_ah s_k_ao_r
l;29;thats when I called my dogs and we hit the street;dh_ae_t_s w_eh_n ay k_ao_l_d m_ay d_ah_g_z ah_n_d w_iy hh_ih_t dh_ah s_t_r_iy_t
l;30;the three craziest fags that youd hate to meet;dh_ah th_r_iy k_r_ey_z_iy_ah_s_t f_ae_g_z dh_ae_t y_uw_d hh_ey_t t_uw m_iy_t
h;31;so we headed out to this country bar;s_ow w_iy hh_eh_d_ah_d aw_t t_uw dh_ih_s k_ah_n_t_r_iy b_aa_r
h;32;we drove around the back and we spotted the car;w_iy d_r_ow_v er_aw_n_d dh_ah b_ae_k ah_n_d w_iy s_p_aa_t_ah_d dh_ah k_aa_r
e;33;so we laid low then four came out;s_ow w_iy l_ey_d l_ow dh_eh_n f_ao_r k_ey_m aw_t
e;34;and when they turned around we stuck the gats in their mouth;ah_n_d w_eh_n dh_ey t_er_n_d er_aw_n_d w_iy s_t_ah_k dh_ah g_ae_t_s ih_n dh_eh_r m_aw_th
g;35;we put them on their knees now their sucking our dicks;w_iy p_uh_t dh_eh_m aa_n dh_eh_r n_iy_z n_aw dh_eh_r s_ah_k_ih_ng aw_r d_ih_k_s
g;36;we nutted on their faces and were watching it drip;w_iy n_ah_t_er_d aa_n dh_eh_r f_ey_s_ah_z ah_n_d w_iy_r w_aa_ch_ih_ng ih_t d_r_ih_p
d;37;now get the fuck up we give you 3 to run;n_aw g_eh_t dh_ah f_ah_k ah_p w_iy g_ih_v y_uw ah_ae t_uw r_ah_n
d;38;1 2 now mutha fuckas are done;ah_ae ah_ae n_aw m_uw_th_ae f_ah_k_ae_s aa_r d_ah_n
b;40;now were hunting for the heteros;n_aw w_iy_r hh_ah_n_t_ih_ng f_ao_r dh_ah hh_eh_t_er_r_ax_s
c;41;four down and four motherfuckers to go;f_ao_r d_aw_n ah_n_d f_ao_r m_ao_th_eh_r_f_uw_k_k_ax_r_s t_uw g_ow
l;42;so we laid low and stayed blazed on weed;s_ow w_iy l_ey_d l_ow ah_n_d s_t_ey_d b_l_ey_z_d aa_n w_iy_d
l;43;thats when we get the call and thats all we need;dh_ae_t_s w_eh_n w_iy g_eh_t dh_ah k_ao_l ah_n_d dh_ae_t_s ao_l w_iy n_iy_d
m;44;we got the address of the place they rest;w_iy g_aa_t dh_ah ax_d_r_eh_s ah_v dh_ah p_l_ey_s dh_ey r_eh_s_t
p;45;grabbed the artillery and bags of cess;g_r_ae_b_d dh_ah aa_r_t_ih_l_er_iy ah_n_d b_ae_g_z ah_v s_iy_s_s
g;46;kicked in the door and we can see our victims;k_ih_k_t ih_n dh_iy d_ao_r ah_n_d w_iy k_ah_n s_iy aw_r v_ih_k_t_ah_m_z
m;47;four rednecks and their girls are with them;f_ao_r r_eh_d_n_eh_k_s ah_n_d dh_eh_r g_er_l_z aa_r w_ih_dh dh_eh_m
g;48;step into the room and you could smell the fear;s_t_eh_p ih_n_t_uw dh_ah r_uw_m ah_n_d y_uw k_uh_d s_m_eh_l dh_ah f_ih_r
g;49;don-t nobody move cause the fags are here;d_ow_n_t n_ow_b_aa_d_iy m_uw_v k_aa_z dh_ah f_ae_g_z aa_r hh_ih_r
q;50;but a parties only what you make it;b_ah_t ah p_aa_r_t_iy_z ow_n_l_iy w_ah_t y_uw m_ey_k ih_t
f;51;make all the guys strip and get butt naked;m_ey_k ao_l dh_ah g_ay_z s_t_r_ih_p ah_n_d g_eh_t b_ah_t n_ey_k_ah_d
i;52;put them on their knees now were fucking them all;p_uh_t dh_eh_m aa_n dh_eh_r n_iy_z n_aw w_iy_r f_ah_k_ih_ng dh_eh_m ao_l
i;53;lick the shit off my cock now youre rubbing my balls;l_ih_k dh_ah sh_iy_t ao_f m_ay k_aa_k n_aw y_uw_r r_ah_b_ih_ng m_ay b_ao_l_z
q;54;your girl-s in tears while she watch you suck it;y_ao_r g_er_l_z ih_n t_eh_r_z w_ay_l sh_iy w_aa_ch y_uw s_ah_k ih_t
n;55;i guess you picked the wrong fucking fag to fuck with;ay g_eh_s y_uw p_ih_k_t dh_ah r_ao_ng f_ah_k_ih_ng f_ae_g t_uw f_ah_k w_ih_dh
