Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i saw you rushing to the fire;ay s_ao y_uw r_ah_sh_ih_ng t_ah dh_iy f_ay_er
a;1;balanced on the bones with a darkness in your eyes;b_ae_l_ah_n_s_t aa_n dh_iy b_ow_n_z w_ah_dh ey d_aa_r_k_n_ah_s ih_n_ch y_uh_r ay_z
a;2;our thoughts were crippled by desire;aa_r th_ao_t_s w_er k_r_ih_p_ah_l_d b_ay d_ah_z_ay_r
a;3;suddenly gestalt just colliding in the light;s_ah_d_ah_n_l_iy jh_eh_s_t_ah_l_b jh_ah_s_t k_ah_l_ay_d_ih_ng ih_n_ch dh_iy l_ay_t
a;4;i know concentric rings in the bones aside;ay n_ow k_ah_n_s_eh_n_t_r_ih_k r_ih_ng_z ih_n_ch dh_iy b_ow_n_z ah_s_ay_d
b;5;weve surely grown up;w_iy_v sh_uh_r_l_iy g_r_ow_n ah_p
a;6;i know the lead to hands that wring and dry your eyes;ay n_ow dh_ah l_iy_d t_uw hh_ae_n_d_z dh_ae_t r_ih_ng ah_n_d d_r_ay y_ao_r ay_z
b;7;before its too much;b_ah_f_ao_r ih_t_s t_uw m_ah_ch
a;8;our thoughts were wicked by design;aw_r th_ao_t_s w_er w_ih_k_ah_d b_ay d_ah_z_ay_n
a;9;if we could get home then we could get us right;ih_f w_iy k_uh_d g_ih_t hh_ow_m dh_eh_n w_iy k_uh_d g_ih_t y_uw_eh_s r_ay_t
a;10;ill watch you wither up in time;ay_l w_aa_ch y_uw w_ih_dh_er ah_p ih_n t_ay_m
a;11;then let you grow alone just colliding in the light;dh_eh_n l_eh_t y_uw g_r_ow ah_l_ow_n jh_ah_s_t k_ah_l_ay_d_ih_ng ih_n dh_ah l_ay_t
a;12;though in time;dh_ow ih_n t_ay_m
a;13;we were hanging on the subtlest sign;w_iy w_er hh_ae_ng_ih_ng aa_n dh_ah s_ah_t_ah_l_st s_ay_n
a;14;waiting on the final cry;w_ey_t_ih_ng aa_n dh_ah f_ay_n_ah_l k_r_ay
a;15;just ringing out a sign;jh_ah_s_t r_ih_ng_ih_ng aw_t ah s_ay_n
a;16;but tonight were surprised if were runners in the night;b_ah_t t_ah_n_ay_t w_iy_r s_ax_p_r_ay_z_d ah_f w_iy_r r_ah_n_er_z ih_n dh_ah n_ay_t
a;17;i know concentric rings in the bones don-t lie;ay n_ow k_ah_n_s_eh_n_t_r_ih_k r_ih_ng_z ih_n dh_ah b_ow_n_z d_ow_n_t l_ay
b;18;weve surely grown up;w_iy_v sh_uh_r_l_iy g_r_ow_n ah_p
a;19;i know these hands that wring theyre gonna dry your eyes;ay n_ow dh_iy_z hh_ae_n_d_z dh_ae_t r_ih_ng dh_ey_r g_aa_n_ah d_r_ay y_ao_r ay_z
b;20;before we give enough;b_ah_f_ao_r w_iy g_ih_v ah_n_ah_f
a;21;though in time;dh_ow ih_n t_ay_m
a;22;we were hanging on the subtle sign;w_iy w_er hh_ae_ng_ih_ng aa_n dh_ah s_ah_t_ah_l s_ay_n
a;23;waiting on the final cry;w_ey_t_ih_ng aa_n dh_ah f_ay_n_ah_l k_r_ay
a;24;but when you gonna dry your eyes;b_ah_t w_eh_n y_uw g_aa_n_ah d_r_ay y_ao_r ay_z
c;25;we were holding up the keep and more;w_iy w_er hh_ow_l_d_ih_ng ah_p dh_ah k_iy_p ah_n_d m_ao_r
c;26;after hanging on the final chord;ae_f_t_er hh_ae_ng_ih_ng aa_n dh_ah f_ay_n_ah_l k_ao_r_d
c;27;itll be alright his voice informed;ih_t_l b_iy ao_l_r_ay_t hh_ih_z v_oy_s ih_n_f_ao_r_m_d
a;28;just ringing out a sign;jh_ah_s_t r_ih_ng_ih_ng aw_t ah s_ay_n
a;29;but tonight well youre mine;b_ah_t t_ah_n_ay_t w_eh_l y_uw_r m_ay_n
a;30;and were runners in the night;ah_n_d w_iy_r r_ah_n_er_z ih_n dh_ah n_ay_t
c;31;after the night and more;ae_f_t_er dh_ah n_ay_t ah_n_d m_ao_r
c;32;after hanging on the final chord;ae_f_t_er hh_ae_ng_ih_ng aa_n dh_iy f_ay_n_ah_l k_ao_r_d
c;33;itll be alright he screamed and more;ih_t_l b_iy ao_l_r_ay_t hh_iy s_k_r_iy_m_d ah_n_d m_ao_r
a;34;just ringing out a sign;jh_ah_s_t r_ih_ng_ih_ng aw_t ah s_ay_n
a;35;but tonight well youre mine;b_ah_t t_ah_n_ay_t w_eh_l y_uw_r m_ay_n
a;36;and were runners in the night;ah_n_d w_iy_r r_ah_n_er_z ih_n dh_ah n_ay_t
