Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;savor my flavor;s_ey_v_er m_ay f_l_ey_v_er
a;1;im stabbing demons with light sabers;ay_m s_t_ae_b_ih_ng d_iy_m_ah_n_z w_ih_dh l_ay_t s_ey_b_er_z
b;2;ive always been a Luke;ay_v ao_l_w_ey_z b_ih_n ah l_uw_k
a;3;though I never had my Darth Vader;dh_ow ay n_eh_v_er hh_ae_d m_ay d_aa_r_th v_ey_d_er
a;4;i brought the laser;ay b_r_ao_t dh_ah l_ey_z_er
h;5;like cyclops;l_ay_k s_ay_k_l_ao_p_s
c;6;everything I spit;eh_v_r_iy_th_ih_ng ay s_p_ih_t
i;7;off the wall;ao_f dh_ah w_ao_l
d;8;high tops;hh_ay t_aa_p_s
d;9;im lost at sea without God;ay_m l_ao_s_t ae_t s_iy w_ih_th_aw_t g_aa_d
e;10;i guess its cuz I sin bad;ay g_eh_s ih_t_s k_ah_z ay s_ih_n b_ae_d
d;11;on an Odyssey;aa_n ae_n aa_d_ah_s_iy
l;12;its odd to see where yo friends at;ih_t_s aa_d t_uw s_iy w_eh_r y_ow f_r_eh_n_d_z ae_t
f;13;when youre broke theyre ghost;w_eh_n y_uw_r b_r_ow_k dh_ey_r g_ow_s_t
e;14;vanished like Bin Lad;v_ae_n_ih_sh_t l_ay_k b_ih_n l_ae_d
d;15;im lost inside a box;ay_m l_ao_s_t ih_n_s_ay_d ah b_aa_k_s
f;16;devil-s toes on my soul;d_eh_v_ah_l_z t_ow_z aa_n m_ay s_ow_l
d;17;like he borrowed my crocs;l_ay_k hh_iy b_aa_r_ow_d m_ay k_r_aa_k_s
d;18;and didn-t wear socks;ah_n_d d_ih_d_n_t w_eh_r s_aa_k_s
d;19;thats Hot;dh_ae_t_s hh_aa_t
c;21;im Lost in the midst of a mystic mist;ay_m l_ao_s_t ih_n dh_ah m_ih_d_s_t ah_v ah m_ih_s_t_ih_k m_ih_s_t
c;22;im pissed;ay_m p_ih_s_t
c;23;can-t even get a kiss;k_ae_n_t iy_v_ah_n g_eh_t ah k_ih_s
c;24;she won-t even touch my dick;sh_iy w_ow_n_t iy_v_ah_n t_ah_ch m_ay d_ih_k
e;25;beat it like Im Mike Jack;b_iy_t ih_t l_ay_k ay_m m_ay_k jh_ae_k
m;26;forgot what lotion (is);f_er_g_aa_t w_ah_t l_ow_sh_ah_n ih_z
m;27;im an ugly ogre beast forgot where the potion (is);ay_m ae_n ah_g_l_iy ow_g_er b_iy_s_t f_er_g_aa_t w_eh_r dh_ah p_ow_sh_ah_n ih_z
c;28;i really see no point in further existence;ay r_ih_l_iy s_iy n_ow p_oy_n_t ih_n f_er_dh_er eh_g_z_ih_s_t_ah_n_s
c;29;when I drop the tape you probably won-t even listen;w_eh_n ay d_r_aa_p dh_ah t_ey_p y_uw p_r_aa_b_ah_b_l_iy w_ow_n_t iy_v_ah_n l_ih_s_ah_n
c;30;only reason you heard this (is) cuz I dropped it (as) a single;ow_n_l_iy r_iy_z_ah_n y_uw hh_er_d dh_ih_s ih_z k_ah_z ay d_r_aa_p_t ih_t ae_z ah s_ih_ng_g_ah_l
g;32;i have no friends;ay hh_ae_v n_ow f_r_eh_n_d_z
c;33;so I don-t mingle;s_ow ay d_ow_n_t m_ih_ng_g_ah_l
n;35;one of my closest friends turned into a douche;w_ah_n ah_v m_ay k_l_ow_s_ah_s_t f_r_eh_n_d_z t_er_n_d ih_n_t_uw ah d_aw_ch
e;36;so now Im a non factor;s_ow n_aw ay_m ah n_aa_n f_ae_k_t_er
b;37;hes at the gym feeling juiced;hh_iy_s ae_t dh_ah jh_ih_m f_iy_l_ih_ng jh_uw_s_ih_p
g;38;im just an emperor;ay_m jh_ah_s_t ae_n eh_m_p_er_er
o;39;who wants to impress;hh_uw w_aa_n_t_s t_uw ih_m_p_r_eh_s
g;40;his empress;hh_ih_z eh_m_p_r_eh_s
p;41;but every time we speak;b_ah_t eh_v_er_iy t_ay_m w_iy s_p_iy_k
h;42;it feels like you lost interest;ih_t f_iy_l_z l_ay_k y_uw l_ao_s_t ih_n_t_r_ax_s_t
e;44;im out of anger;ay_m aw_t ah_v ae_ng_g_er
e;45;this beats a banger;dh_ih_s b_iy_t_s ah b_ae_ng_er
a;46;i bring the danger;ay b_r_ih_ng dh_ah d_ey_n_jh_er
a;47;savor my flavor;s_ey_v_er m_ay f_l_ey_v_er
