Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ive been doing a lot of thinking;ay_v b_ih_n d_uw_ih_ng ah l_aa_t ah_v th_ih_ng_k_ah_ng
i;1;and I know I was wrong;ah_n_d ay n_ow ay w_ah_z r_ao_ng
b;2;i know we belong together;ay n_ow w_iy b_ah_l_ao_ng t_ah_g_eh_dh_er
l;4;look this (is) kind of hard;l_uh_k dh_ah_s ah_z k_ay_n_d ah_v hh_aa_r_d
m;5;for me to say to you;f_r_er m_iy t_ah s_ey t_ah y_uw
c;6;but I want you back please;b_ah_t ay w_aa_n_t y_uw b_ae_k p_l_iy_z
d;7;just give me a second chance;jh_ah_s_t g_ih_v m_iy ey s_eh_k_ah_n ch_ae_n_s
e;9;im tired of living alone;ay_m t_ay_r_d ah_v l_ih_v_ih_ng ah_l_ow_n
n;10;the single life (is) not for me;dh_ah s_ih_ng_g_ah_l l_ay_f ih_z n_ax_t f_ao_r m_iy
c;11;like a fool I asked you for my freedom;l_ay_k ah f_uw_l ay ae_s_k_t y_uw f_ao_r m_ay f_r_iy_d_ah_m
c;12;i didn-t think youd leave so easily;ay d_ih_d_n_t th_ih_ng_k y_uw_d l_iy_v s_ow iy_z_ah_l_iy
f;14;saw you just the other day;s_ao y_uw jh_ah_s_t dh_ah ah_dh_er d_ey
d;15;you were walking hand in hand;y_uw w_er w_ao_k_ih_ng hh_ae_n_d ih_n hh_ae_n_d
m;16;with someone new;w_ah_dh s_ah_m_w_ah_n n_y_uw
g;18;it took me by surprise;ah_t t_uh_k m_iy b_ay s_er_p_r_ay_z
c;19;and then I realized;ah_n_d dh_eh_n ay r_iy_ah_l_ay_z_d
m;20;how much I needed you;hh_aw m_ah_ch ay n_iy_d_ah_d y_uw
h;22;a second chance for us;ah s_eh_k_ah_n_d ch_ae_n_s f_ao_r ah_s
f;23;the second time could be better baby;dh_ah s_eh_k_ah_n_d t_ay_m k_uh_d b_iy b_eh_t_er b_ey_b_iy
h;24;a second chance for love;ah s_eh_k_ah_n_d ch_ae_n_s f_ao_r l_ah_v
o;25;this time around;dh_ih_s t_ay_m er_aw_n_d
f;26;we could make it baby;w_iy k_uh_d m_ey_k ih_t b_ey_b_iy
g;28;turn back the hands of time;t_er_n b_ae_k dh_ah hh_ae_n_d_z ah_v t_ay_m
g;29;to the days when you were mine;t_uw dh_ah d_ey_z w_eh_n y_uw w_er m_ay_n
b;30;ooh we were so happy together;uw w_iy w_er s_ow hh_ae_p_iy t_ah_g_eh_dh_er
p;31;i never thought that I would;ay n_eh_v_er th_ao_t dh_ae_t ay w_uh_d
g;32;swallow my pride;s_w_aa_l_ow m_ay p_r_ay_d
a;34;now youre here;n_aw y_uw_r hh_ih_r
g;35;so please stay the night;s_ow p_l_iy_z s_t_ey dh_ah n_ay_t
m;36;i promise I will make it up to you;ay p_r_aa_m_ah_s ay w_ah_l m_ey_k ih_t ah_p t_uw y_uw
f;38;don-t ever go away;d_ow_n_t eh_v_er g_ow ah_w_ey
f;39;this love weve got to save;dh_ih_s l_ah_v w_iy_v g_aa_t t_uw s_ey_v
q;40;cause no one else will do no one;k_aa_z n_ow w_ah_n eh_l_s w_ah_l d_uw n_ow w_ah_n
m;42;im trying to live my life without you;ay_m t_r_ay_ih_ng t_uw l_ay_v m_ay l_ay_f w_ih_th_aw_t y_uw
e;43;but I couldn-t make it on my own;b_ah_t ay k_uh_d_n_t m_ey_k ih_t aa_n m_ay ow_n
f;44;no I just can-t go on like this baby;n_ow ay jh_ah_s_t k_ae_n_t g_ow aa_n l_ay_k dh_ih_s b_ey_b_iy
e;45;and spend another night alone;ah_n_d s_p_eh_n_d ah_n_ah_dh_er n_ay_t ah_l_ow_n
d;47;oh oh yeah ah ah yeah;ow ow y_ae aa aa y_ae
e;49;im not meant to live alone;ay_m n_ax_t m_eh_n_t t_ah l_ay_v ah_l_ow_n
a;50;why you being so difficult;hh_w_ay y_uw b_iy_ih_ng s_ow d_ih_f_ah_k_ah_l_t
d;51;you know you want me back;y_uw n_ow y_uw w_aa_n_t m_iy b_ae_k
f;52;come on baby;k_ah_m aa_n b_ey_b_iy
r;53;why you wanna treat me like that;hh_w_ay y_uw w_aa_n_ah t_r_iy_t m_iy l_ay_k dh_ah_t
i;55;im trying to live my life without you;ay_m t_r_ay_ih_ng t_uw l_ay_v m_ay l_ay_f w_ih_th_aw_t y_uw
e;56;but I couldn-t make it on my own;b_ah_t ay k_uh_d_n_t m_ey_k ih_t aa_n m_ay ow_n
f;57;no I just can-t go on like this baby;n_ow ay jh_ah_s_t k_ae_n_t g_ow aa_n l_ay_k dh_ih_s b_ey_b_iy
e;58;and spend another night alone oh oh;ah_n_d s_p_eh_n_d ah_n_ah_dh_er n_ay_t ah_l_ow_n ow ow
f;60;oh yeah come on baby;ow y_ae k_ah_m aa_n b_ey_b_iy
a;61;love me like this;l_ah_v m_iy l_ay_k dh_ih_s
a;62;i just want to feel your kiss;ay jh_ah_s_t w_aa_n_t t_uw f_iy_l y_ao_r k_ih_s
a;63;love me like this;l_ah_v m_iy l_ay_k dh_ih_s
