Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;its been a long day without you my friend;ih_t_s b_ih_n ah l_ao_ng d_ey w_ih_th_aw_t y_uw m_ay f_r_eh_n_d
a;1;and Ill tell you all about it when I see you again;ah_n_d ay_l t_eh_l y_uw ao_l ah_b_aw_t ih_t w_eh_n ay s_iy y_uw ah_g_eh_n
i;2;weve come a long way from where we began;w_iy_v k_ah_m ah l_ao_ng w_ey f_r_ah_m w_eh_r w_iy b_ih_g_ae_n
a;3;and Ill tell you all about it when I see you again;ah_n_d ay_l t_eh_l y_uw ao_l ah_b_aw_t ih_t w_eh_n ay s_iy y_uw ah_g_eh_n
a;4;when I see you again;w_eh_n ay s_iy y_uw ah_g_eh_n
b;6;man who knew;m_ae_n hh_uw n_uw
b;7;all the planes we flew;ao_l dh_ah p_l_ey_n_z w_iy f_l_uw
b;8;good things weve been through;g_uh_d th_ih_ng_z w_iy_v b_ih_n th_r_uw
l;9;that Ill be standing here talking to you;dh_ae_t ay_l b_iy s_t_ae_n_d_ih_ng hh_ih_r t_ao_k_ih_ng t_uw y_uw
c;10;about another path;ah_b_aw_t ah_n_ah_dh_er p_ae_th
c;11;i know we loved to hit the road and laugh;ay n_ow w_iy l_ah_v_d t_uw hh_ih_t dh_ah r_ow_d ah_n_d l_ae_f
c;12;but something told me that it wouldn-t last;b_ah_t s_ah_m_th_ih_ng t_ow_l_d m_iy dh_ae_t ih_t w_uh_d_ah_n_t l_ae_s_t
m;13;had to switch up;hh_ae_d t_uw s_w_ih_ch ah_p
n;14;look at things different see the bigger picture;l_uh_k ae_t th_ih_ng_z d_ih_f_r_ax_n_t s_iy dh_ah b_ih_g_er p_ih_k_ch_er
d;15;those were the days;dh_ow_z w_er dh_ah d_ey_z
d;16;hard work forever pays;hh_aa_r_d w_er_k f_er_eh_v_er p_ey_z
d;17;and now I see you in a better place;ah_n_d n_aw ay s_iy y_uw ih_n ah b_eh_t_er p_l_ey_s
e;19;how could we not talk about family when family-s all that we got;hh_aw k_uh_d w_iy n_ax_t t_ao_k ah_b_aw_t f_ae_m_ax_l_ih w_eh_n f_ae_m_ax_l_ih_z ao_l dh_ae_t w_iy g_aa_t
f;20;everything I went through you were standing there by my side;eh_v_r_iy_th_ih_ng ay w_eh_n_t th_r_uw y_uw w_er s_t_ae_n_d_ih_ng dh_eh_r b_ay m_ay s_ay_d
f;21;and now you gonna be with me for the last ride;ah_n_d n_aw y_uw g_aa_n_ah b_iy w_ih_dh m_iy f_ao_r dh_ah l_ae_s_t r_ay_d
a;23;its been a long day without you my friend;ih_t_s b_ih_n ah l_ao_ng d_ey w_ih_th_aw_t y_uw m_ay f_r_eh_n_d
a;24;and Ill tell you all about it when I see you again;ah_n_d ay_l t_eh_l y_uw ao_l ah_b_aw_t ih_t w_eh_n ay s_iy y_uw ah_g_eh_n
i;25;weve come a long way from where we began;w_iy_v k_ah_m ah l_ao_ng w_ey f_r_ah_m w_eh_r w_iy b_ih_g_ae_n
a;26;and Ill tell you all about it when I see you again;ah_n_d ay_l t_eh_l y_uw ao_l ah_b_aw_t ih_t w_eh_n ay s_iy y_uw ah_g_eh_n
d;27;when I see you again;w_eh_n ay s_iy y_uw ah_g_eh_n
d;29;first you both go out your way;f_er_s_t y_uw b_ow_th g_ow aw_t y_ao_r w_ey
g;30;and the vibe (is) feeling strong;ah_n_d dh_ah v_ay_b ih_z f_iy_l_ih_ng s_t_r_ao_ng
o;31;and whats small turn to a friendship;ah_n_d w_ah_t_s s_m_ao_l t_er_n t_uw ah f_r_eh_n_d_sh_ih_p
e;32;a friendship turn into a bond;ah f_r_eh_n_d_sh_ih_p t_er_n ih_n_t_uw ah b_aa_n_d
h;33;and that bond will never be broken;ah_n_d dh_ae_t b_aa_n_d w_ah_l n_eh_v_er b_iy b_r_ow_k_ah_n
g;34;and the love will never get lost;ah_n_d dh_ah l_ah_v w_ih_l n_eh_v_er g_eh_t l_ao_s_t
p;35;and when brotherhood come first;ah_n_d w_eh_n b_r_ah_dh_er_hh_uh_d k_ah_m f_er_s_t
g;36;then the line will never be crossed;dh_eh_n dh_ah l_ay_n w_ah_l n_eh_v_er b_iy k_r_ao_s_t
h;37;established it on our own;ih_s_t_ae_b_l_ih_sh_t ih_t aa_n aw_r ow_n
g;38;when that line had to be drawn;w_eh_n dh_ae_t l_ay_n hh_ae_d t_uw b_iy d_r_ao_n
q;39;and that line (is) what we reach;ah_n_d dh_ah_t l_ay_n ih_z w_ah_t w_iy r_iy_ch
e;40;so remember me when Im gone;s_ow r_ih_m_eh_m_b_ax m_iy w_eh_n ay_m g_ao_n
e;42;how could we not talk about family when family-s all that we got;hh_aw k_uh_d w_iy n_ax_t t_ao_k ah_b_aw_t f_ae_m_ax_l_ih w_eh_n f_ae_m_ax_l_ih_z ao_l dh_ae_t w_iy g_aa_t
f;43;everything I went through you were standing there by my side;eh_v_r_iy_th_ih_ng ay w_eh_n_t th_r_uw y_uw w_er s_t_ae_n_d_ih_ng dh_eh_r b_ay m_ay s_ay_d
f;44;and now you gonna be with me for the last ride;ah_n_d n_aw y_uw g_aa_n_ah b_iy w_ih_dh m_iy f_ao_r dh_ah l_ae_s_t r_ay_d
a;46;its been a long day without you my friend;ih_t_s b_ih_n ah l_ao_ng d_ey w_ih_th_aw_t y_uw m_ay f_r_eh_n_d
a;47;and Ill tell you all about it when I see you again;ah_n_d ay_l t_eh_l y_uw ao_l ah_b_aw_t ih_t w_eh_n ay s_iy y_uw ah_g_eh_n
i;48;weve come a long way from where we began;w_iy_v k_ah_m ah l_ao_ng w_ey f_r_ah_m w_eh_r w_iy b_ih_g_ae_n
a;49;and Ill tell you all about it when I see you again;ah_n_d ay_l t_eh_l y_uw ao_l ah_b_aw_t ih_t w_eh_n ay s_iy y_uw ah_g_eh_n
a;50;when I see you again;w_eh_n ay s_iy y_uw ah_g_eh_n
