Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;please hang up and try again;p_l_iy_z hh_ae_ng ah_p ah_n_d t_r_ay ah_g_ey_n
f;2;all of my life I was lied to;ao_l ah_v m_ay l_ay_f ay w_ah_z l_ay_d t_ah
g;3;life (is) full of discoveries;l_ay_f ah_z f_uh_l ah_v d_ih_s_k_ah_v_er_iy_z
h;4;but some things I wish I never knew;b_ah_t s_ah_m th_ih_ng_z ay w_ih_sh ay n_eh_v_er n_y_uw
b;5;i wanna be a child;ay w_aa_n_ah b_iy ey ch_ay_l_d
c;6;and know nothing at all;ah_n_d n_ow n_ah_th_ih_ng ae_t ao_l
c;7;and not decide whats right or wrong;ah_n_d n_ax_t d_ah_s_ay_d w_ah_t_s r_ay_t er r_ao_ng
i;8;just roam the world until the lights come on;jh_ah_s_t r_ow_m dh_iy w_er_l_d ah_n_t_ih_l dh_iy l_ay_t_s k_ah_m aa_n
i;9;come on;k_ah_m aa_n
c;11;comptemplate my life (as) I drift along the shore;k_aa_m_p_ha_t_eh_m_p_l_ah_t m_ay l_ay_f eh_z ay d_r_ih_f_t ah_l_ao_ng dh_iy sh_ao_r
l;12;draw my friends erase the world;d_r_ao m_ay f_r_eh_n_d_z iy_r_ey_s dh_iy w_er_l_d
c;13;the life I live will be a storyboard;dh_iy l_ay_f ay l_ay_v w_ah_l b_iy ey s_t_ao_r_iy_b_ao_r_d
a;14;paper planes and plastic trains;p_ey_p_er p_l_ey_n_z ah_n_d p_l_ae_s_t_ih_k t_r_ey_n_z
a;15;balloons in the sky when did it all change;b_ah_l_uw_n_z ih_n dh_ah s_k_ay w_eh_n d_ih_d ih_t ao_l ch_ey_n_jh
a;16;when did it all change;w_eh_n d_ih_d ih_t ao_l ch_ey_n_jh
b;18;theres pain behind my eyes;dh_eh_r_s p_ey_n b_ah_hh_ay_n_d m_ay ay_z
b;19;my eyes are open wide;m_ay ay_z aa_r ow_p_ah_n w_ay_d
d;20;i know the truth I can-t pretend;ay n_ow dh_ah t_r_uw_th ay k_ae_n_t p_r_iy_t_eh_n_d
d;21;i can never be a kid again;ay k_ah_n n_eh_v_er b_iy ah k_ih_d ah_g_eh_n
b;22;theres pain behind my eyes;dh_eh_r_s p_ey_n b_ah_hh_ay_n_d m_ay ay_z
b;23;the lies are open wide;dh_ah l_ay_z aa_r ow_p_ah_n w_ay_d
d;24;i know the truth I can-t pretend;ay n_ow dh_ah t_r_uw_th ay k_ae_n_t p_r_iy_t_eh_n_d
d;25;i can never be a kid again;ay k_ah_n n_eh_v_er b_iy ah k_ih_d ah_g_eh_n
e;27;disappear into the past;d_ih_s_ax_p_ia ih_n_t_uw dh_ah p_ae_s_t
e;28;before it all collapsed;b_ah_f_ao_r ih_t ao_l k_ah_l_ae_p_s_t
