Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;slam dunk way to go;s_l_ae_m d_ah_ng_k w_ey t_uw g_ow
a;1;what do ya say Let-s rock n roll;hh_w_ah_t d_uw y_aa s_ey l_eh_t_s r_aa_k eh_n r_ow_l
b;3;well I come to play and I play to win;w_eh_l ay k_ah_m t_ah p_l_ey ah_n_d ay p_l_ey t_ah w_ih_n
b;4;just say the word and Ill stuff it in;jh_ah_s_t s_ey dh_iy w_er_d ah_n_d ay_l s_t_ah_f ih_t ih_n
c;5;im gonna slam it all the way;ay_m g_aa_n_ah s_l_ae_m ih_t ao_l dh_ah w_ey
c;6;dunk it what do you say;d_ah_ng_k ah_t hh_w_ah_t d_uw y_uw s_ey
d;8;when the whistle blows Im gonna fly the coup;hh_w_ih_n dh_iy w_ih_s_ah_l b_l_ow_z ay_m g_aa_n_ah f_l_ay dh_ah k_uw
d;9;just pump me up and watch me shoot;jh_ah_s_t p_ah_m_p m_iy ah_p ah_n_d w_aa_ch m_iy sh_uw_t
b;10;slam it Touch the rim;s_l_ae_m ih_t t_ah_ch dh_ah r_ih_m
b;11;dunk it Thrust it in;d_ah_ng_k ih_t th_r_ah_s_t ih_t ih_n
e;13;i won-t sing no sweet romantic song;ay w_ow_n_t s_ih_ng n_ow s_w_iy_t r_ow_m_ae_n_t_ih_k s_ao_ng
i;14;but I can do ya I can do ya;b_ah_t ay k_ah_n d_uw y_aa ay k_ah_n d_uw y_aa
e;15;youll never know right from wrong;y_uw_l n_eh_v_er n_ow r_ay_t f_r_ah_m r_ao_ng
a;16;here we go;hh_ih_r w_iy g_ow
a;18;slam dunk way to go;s_l_ae_m d_ah_ng_k w_ey t_uw g_ow
a;19;what do you say lets rock n roll;w_ah_t d_uw y_uw s_ey w_iy_s r_aa_k eh_n r_ow_l
a;20;slam dunk climb the pole;s_l_ae_m d_ah_ng_k k_l_ay_m dh_ah p_ow_l
a;21;drive through the middle and jam it home;d_r_ay_v th_r_uw dh_ah m_ih_d_ah_l ah_n_d jh_ae_m ih_t hh_ow_m
f;22;slam dunk;s_l_ae_m d_ah_ng_k
c;23;take control pick it up baby;t_ey_k k_ah_n_t_r_ow_l p_ih_k ih_t ah_p b_ey_b_iy
e;24;lets do it some more;w_iy_s d_uw ih_t s_ah_m m_ao_r
e;25;pick it baby Let-s do it some more;p_ih_k ah_t b_ey_b_iy l_eh_t_s d_uw ih_t s_ah_m m_ao_r
g;26;thats right;dh_ae_t_s r_ay_t
e;28;i want two four six eight ten and more;ay w_aa_n_t t_uw f_ao_r s_ih_k_s ey_t t_eh_n ah_n_d m_ao_r
e;29;a (wham-bam) shooter I love to score;ey w_ae_m_b_ae_m sh_uw_t_er ay l_ah_v t_ah s_k_ao_r
g;30;jam it Bump and grind;jh_ae_m ih_t b_ah_m_p ah_n_d g_r_ay_n_d
g;31;pump it Come on do it right;p_ah_m_p ih_t k_ah_m aa_n d_uw ih_t r_ay_t
g;33;shake it o the left fake it to the right;sh_ey_k ih_t ow dh_ah l_eh_f_t f_ey_k ih_t t_uw dh_ah r_ay_t
g;34;dunk it in the bucket it feels alright;d_ah_ng_k ih_t ih_n dh_ah b_ah_k_ah_t ih_t f_iy_l_z ao_l_r_ay_t
g;35;jam it bump and grind;jh_ae_m ih_t b_ah_m_p ah_n_d g_r_ay_n_d
l;36;pump it;p_ah_m_p ih_t
h;38;well Im built for comfort I ain-t built for speed;w_eh_l ay_m b_ih_l_t f_r_er k_ah_m_f_er_t ay ey_n_t b_ih_l_t f_ao_r s_p_iy_d
h;39;i can double your trouble and triple your body heat;ay k_ah_n d_ah_b_ah_l y_ao_r t_r_ah_b_ah_l ah_n_d t_r_ih_p_ah_l y_ao_r b_aa_d_iy hh_iy_t
b;40;just like this;jh_ah_s_t l_ay_k dh_ih_s
a;42;slam dunk way to go;s_l_ae_m d_ah_ng_k w_ey t_uw g_ow
a;43;what do you say lets rock n roll;w_ah_t d_uw y_uw s_ey w_iy_s r_aa_k eh_n r_ow_l
a;44;slam dunk climb the pole;s_l_ae_m d_ah_ng_k k_l_ay_m dh_ah p_ow_l
a;45;drive through the middle and jam it home;d_r_ay_v th_r_uw dh_ah m_ih_d_ah_l ah_n_d jh_ae_m ih_t hh_ow_m
f;46;slam dunk;s_l_ae_m d_ah_ng_k
c;47;take control pick it up baby;t_ey_k k_ah_n_t_r_ow_l p_ih_k ih_t ah_p b_ey_b_iy
e;48;lets do it some more;w_iy_s d_uw ih_t s_ah_m m_ao_r
e;49;pick it baby Let-s do it some more;p_ih_k ah_t b_ey_b_iy l_eh_t_s d_uw ih_t s_ah_m m_ao_r
h;51;well Im built for comfort I ain-t built for speed;w_eh_l ay_m b_ih_l_t f_r_er k_ah_m_f_er_t ay ey_n_t b_ih_l_t f_ao_r s_p_iy_d
h;52;i can double your trouble and triple your body heat;ay k_ah_n d_ah_b_ah_l y_ao_r t_r_ah_b_ah_l ah_n_d t_r_ih_p_ah_l y_ao_r b_aa_d_iy hh_iy_t
a;54;slam dunk way to go;s_l_ae_m d_ah_ng_k w_ey t_uw g_ow
a;55;what do you say lets rock n roll;w_ah_t d_uw y_uw s_ey w_iy_s r_aa_k eh_n r_ow_l
a;56;slam dunk climb the pole;s_l_ae_m d_ah_ng_k k_l_ay_m dh_ah p_ow_l
a;57;drive through the middle and jam it home;d_r_ay_v th_r_uw dh_ah m_ih_d_ah_l ah_n_d jh_ae_m ih_t hh_ow_m
f;58;slam dunk;s_l_ae_m d_ah_ng_k
c;59;take control pick it up baby;t_ey_k k_ah_n_t_r_ow_l p_ih_k ih_t ah_p b_ey_b_iy
e;60;lets do it some more;w_iy_s d_uw ih_t s_ah_m m_ao_r
a;61;slam dunk way to go;s_l_ae_m d_ah_ng_k w_ey t_ah g_ow
a;62;go go lets go;g_ow g_ow w_iy_s g_ow
f;63;slam dunk;s_l_ae_m d_ah_ng_k
c;64;take control pick it up baby;t_ey_k k_ah_n_t_r_ow_l p_ih_k ah_t ah_p b_ey_b_iy
e;65;lets do it some more;w_iy_s d_uw ih_t s_ah_m m_ao_r
c;66;pick it up baby;p_ih_k ih_t ah_p b_ey_b_iy
e;67;lets do it some more;w_iy_s d_uw ih_t s_ah_m m_ao_r
