Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ive been getting it Ive been getting it on my own;ay_v b_ih_n g_eh_t_ih_ng ih_t ay_v b_ih_n g_eh_t_ih_ng ih_t aa_n m_ay ow_n
a;1;when I do business I do business on my own;w_eh_n ay d_uw b_ih_z_n_ah_s ay d_uw b_ih_z_n_ah_s aa_n m_ay ow_n
a;2;ain-t no room for no fake friends Im on my own;ey_n_t n_ow r_uw_m f_ao_r n_ow f_ey_k f_r_eh_n_d_z ay_m aa_n m_ay ow_n
a;3;cause you got to watch your back when your alone;k_aa_z y_uw g_aa_t t_uw w_aa_ch y_ao_r b_ae_k w_eh_n y_ao_r ah_l_ow_n
a;4;its so lonely;ih_t_s s_ow l_ow_n_l_iy
b;6;lately Ive been (slidin-);l_ey_t_l_iy ay_v b_ih_n s_l_ih_d_iy_n_eh
h;8;i know they see they watching me they hiring me;ay n_ow dh_ey s_iy dh_ey w_aa_ch_ih_ng m_iy dh_ey hh_ay_r_ih_ng m_iy
i;9;i kill them fools without a word in silency;ay k_ih_l dh_eh_m f_uw_l_z w_ih_th_aw_t ah w_er_d ih_n s_ay_l_ah_n_s_ae
c;10;i know the real I peep the phony I smell the fake;ay n_ow dh_ah r_iy_l ay p_iy_p dh_ah f_ow_n_iy ay s_m_eh_l dh_ah f_ey_k
c;11;i recognize I know this dude no hater trace;ay r_eh_k_ah_g_n_ay_z ay n_ow dh_ih_s d_uw_d n_ow hh_ey_t_er t_r_ey_s
d;13;they say life-s a bitch bitches like to fuck;dh_ey s_ey l_ay_f_s ah b_ih_ch b_ih_ch_ah_z l_ay_k t_uw f_ah_k
e;15;middle man;m_ih_d_ah_l m_ae_n
f;16;running with the bands like a gingerbread;r_ah_n_ih_ng w_ih_dh dh_ah b_ae_n_d_z l_ay_k ah jh_ih_n_jh_er_b_r_eh_d
l;17;real dirty dirty how you got the;r_iy_l d_er_t_iy d_er_t_iy hh_aw y_uw g_aa_t dh_ah
e;18;so watch out for them fake bands;s_ow w_aa_ch aw_t f_ao_r dh_eh_m f_ey_k b_ae_n_d_z
m;19;and watch out for them low tops;ah_n_d w_aa_ch aw_t f_ao_r dh_eh_m l_ow t_aa_p_s
f;21;cause I will never cross eye like 20 20 vision;k_aa_z ay w_ah_l n_eh_v_er k_r_ao_s ay l_ay_k   v_ih_zh_ah_n
n;22;im gone;ay_m g_ao_n
f;24;me my swisher;m_iy m_ay s_w_ih_sh_er
a;25;im a motion picture Kodak;ay_m ah m_ow_sh_ah_n p_ih_k_ch_er k_ow_d_ae_k
o;26;me (is) who I ride for;m_iy ih_z hh_uw ay r_ay_d f_ao_r
a;27;and the main reason I smoke;ah_n_d dh_ah m_ey_n r_iy_z_ah_n ay s_m_ow_k
o;28;i confess me (is) who I lied for;ay k_ah_n_f_eh_s m_iy ih_z hh_uw ay l_ay_d f_ao_r
d;29;and Ill lie again if it come to me now company and good company;ah_n_d ay_l l_ay ah_g_eh_n ah_f ih_t k_ah_m t_uw m_iy n_aw k_ah_m_p_ah_n_iy ah_n_d g_uh_d k_ah_m_p_ah_n_iy
g;30;i tell my friends purp be better than weed;ay t_eh_l m_ay f_r_eh_n_d_z p_er_p b_iy b_eh_t_er dh_ae_n w_iy_d
b;31;fight until the end I ain-t scared of the feds;f_ay_t ah_n_t_ih_l dh_ah eh_n_d ay ey_n_t s_k_eh_r_d ah_v dh_ah f_eh_d_z
g;32;even watch you kin kill on your family tree;iy_v_ah_n w_aa_ch y_uw k_ih_n k_ih_l aa_n y_ao_r f_ae_m_ax_l_ih t_r_iy
b;33;and your whole family-ll kill you behind jealousy;ah_n_d y_ao_r hh_ow_l f_l_ah k_ih_l y_uw b_ah_hh_ay_n_d jh_eh_l_ah_s_iy
g;34;its real;ih_t_s r_iy_l
