Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;somebody stole my dog;s_ah_m_b_ah_d_iy s_t_ow_l m_ay d_ah_g
a;1;somebody stole my dog;s_ah_m_b_ah_d_iy s_t_ow_l m_ay d_ah_g
a;2;somebody stole my dog;s_ah_m_b_ah_d_iy s_t_ow_l m_ay d_ah_g
e;3;you know they did;y_uw n_ow dh_ey d_ah_d
b;5;last night while I lay sleeping;l_ae_s n_ay_t hh_w_ay_l ay l_ey s_l_iy_p_ih_ng
b;6;in my house they came (a-creeping);ih_n_ch m_ay hh_aw_s dh_ey k_ey_m ae_k_r_iy_p_ih_ng
a;7;somebody somebody stole my dog;s_ah_m_b_ah_d_iy s_ah_m_b_ah_d_iy s_t_ow_l m_ay d_ah_g
a;9;somebody stole my dog;s_ah_m_b_ah_d_iy s_t_ow_l m_ay d_ah_g
a;10;i wonder who could-ve stole my dog;ay w_ah_n_d_er hh_uw k_uh_d_ah_v s_t_ow_l m_ay d_ah_g
a;11;i wonder who could-ve stole my dog;ay w_ah_n_d_er hh_uw k_uh_d_ah_v s_t_ow_l m_ay d_ah_g
f;12;i wonder why;ay w_ah_n_d_er hh_w_ay
c;14;i told you over and over again;ay t_ow_l_d y_uw ow_v_er ah_n_d ow_v_er ah_g_eh_n
c;15;that that dog-s my best friend;dh_ae_t dh_ae_t d_ao_g_z m_ay b_eh_s_t f_r_eh_n_d
a;16;somebody somebody stole my dog;s_ah_m_b_aa_d_iy s_ah_m_b_aa_d_iy s_t_ow_l m_ay d_ah_g
d;17;yes they did;y_eh_s dh_ey d_ih_d
a;19;somebody stole my dog;s_ah_m_b_aa_d_iy s_t_ow_l m_ay d_ah_g
a;20;please you know who could-ve stole my dog;p_l_iy_z y_uw n_ow hh_uw k_uh_d_ah_v s_t_ow_l m_ay d_ah_g
e;21;somebody please bring my dog back to me;s_ah_m_b_aa_d_iy p_l_iy_z b_r_ih_ng m_ay d_ah_g b_ae_k t_uw m_iy
a;22;id give anything anything if you just if you just;ay_d g_ih_v eh_n_iy_th_ih_ng eh_n_iy_th_ih_ng ah_f y_uw jh_ah_s_t ah_f y_uw jh_ah_s_t
d;23;if you if you can if you just if you get get get get get get;ih_f y_uw ah_f y_uw k_ah_n ah_f y_uw jh_ah_s_t ah_f y_uw g_ih_t g_eh_t g_ih_t g_eh_t g_ih_t g_ih_t
c;24;get get get get get get get get bring my dog again;g_eh_t g_eh_t g_eh_t g_eh_t g_ih_t g_eh_t g_eh_t g_eh_t b_r_ih_ng m_ay d_ah_g ah_g_eh_n
a;26;please please please I love that dog so much;p_l_iy_z p_l_iy_z p_l_iy_z ay l_ah_v dh_ae_t d_ah_g s_ow m_ah_ch
a;27;so much so much so much;s_ow m_ah_ch s_ow m_ah_ch s_ow m_ah_ch
b;28;please please please please please please;p_l_iy_z p_l_iy_z p_l_iy_z p_l_iy_z p_l_iy_z p_l_iy_z
