Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;something Unusual;s_ah_m_th_ih_ng ah_n_y_uw_zh_ah_w_ah_l
a;2;when the time moves faster than a bullet from a gun;hh_w_ih_n dh_iy t_ay_m m_uw_v_z f_ae_s_t_er dh_ah_n ey b_uh_l_ah_t f_er_m ey g_ah_n
a;3;when were secretly unraveling coming undone;hh_w_ih_n w_iy_r s_iy_k_r_ah_t_l_iy ah_n_r_ae_v_ah_l_ih_ng k_ah_m_ih_ng ah_n_d_ah_n
f;4;when youre looking all around but you just don-t see;w_eh_n y_uw_r l_uh_k_ih_ng ao_l er_aw_n_d b_ah_t y_uw jh_ah_s_t d_ow_n_t s_iy
f;5;why won-t you lay down your little heart for me;w_ay w_ow_n_t y_uw l_ey d_aw_n y_ao_r l_ih_t_ah_l hh_aa_r_t f_ao_r m_iy
b;7;wed be something out of this world never seen before;w_iy_d b_iy s_ah_m_th_ih_ng aw_t ah_v dh_ih_s w_er_l_d n_eh_v_er s_iy_n b_ah_f_ao_r
c;8;i feel theres a look in your eye;ay f_iy_l dh_eh_r_s ah l_uh_k ih_n y_ao_r ay
g;9;a silent cry to be something unusual;ah s_ay_l_ah_n_t k_r_ay t_uw b_iy s_ah_m_th_ih_ng ah_n_y_uw_zh_ua_l
g;10;to be something unusual;t_uw b_iy s_ah_m_th_ih_ng ah_n_y_uw_zh_ua_l
h;12;like a sunset etched right across your face;l_ay_k ah s_ah_n_s_eh_t eh_ch_t r_ay_t ah_k_r_ao_s y_ao_r f_ey_s
h;13;won-t you paint me the colors of a warm embrace;w_ow_n_t y_uw p_ey_n_t m_iy dh_ah k_ah_l_er_z ah_v ah w_ao_r_m ih_m_b_r_ey_s
i;14;and I know that youre nervous Im feeling it too;ah_n_d ay n_ow dh_ae_t y_uw_r n_er_v_ah_s ay_m f_iy_l_ih_ng ih_t t_uw
i;15;but to give us a shot (is) the least you could do;b_ah_t t_uw g_ih_v ah_s ah sh_aa_t ih_z dh_ah l_iy_s_t y_uw k_uh_d d_uw
b;17;wed be something out of this world never seen before;w_iy_d b_iy s_ah_m_th_ih_ng aw_t ah_v dh_ih_s w_er_l_d n_eh_v_er s_iy_n b_ah_f_ao_r
c;18;i feel that theres a look in your eye;ay f_iy_l dh_ae_t dh_eh_r_s ah l_uh_k ih_n y_ao_r ay
g;19;a silent cry to be something unusual;ah s_ay_l_ah_n_t k_r_ay t_uw b_iy s_ah_m_th_ih_ng ah_n_y_uw_zh_ua_l
g;20;to be something unusual;t_uw b_iy s_ah_m_th_ih_ng ah_n_y_uw_zh_ua_l
f;22;why won-t you lay down your little heart for me;w_ay w_ow_n_t y_uw l_ey d_aw_n y_ao_r l_ih_t_ah_l hh_aa_r_t f_ao_r m_iy
f;23;come on and lay down your little heart for me;k_ah_m aa_n ah_n_d l_ey d_aw_n y_ao_r l_ih_t_ah_l hh_aa_r_t f_ao_r m_iy
f;24;heart heart heart for me;hh_aa_r_t hh_aa_r_t hh_aa_r_t f_ao_r m_iy
d;26;oh oh oh oh;ow ow ow ow
d;27;oh oh oh oh;ow ow ow ow
g;28;to be something unusual;t_uw b_iy s_ah_m_th_ih_ng ah_n_y_uw_zh_ua_l
d;30;oh oh oh oh;ow ow ow ow
d;31;oh oh oh oh;ow ow ow ow
e;32;to be something unusual;t_uw b_iy s_ah_m_th_ih_ng ah_n_y_uw_zh_ua_l
