Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;0;i called my;ay k_ao_l_d m_ay
d;1;father and;f_aa_dh_er ah_n_d
a;2;i drank some;ay d_r_ae_ng_k s_ah_m
d;3;budweiser and;b_ah_d_w_ay_z_er ah_n_d
e;4;i watched too;ay w_aa_ch_t t_uw
f;5;much SportsCenter;m_ah_ch 
g;6;while I waited for;hh_w_ay_l ay w_ey_t_ah_d f_r_er
g;7;that warmer weather;dh_ah_t w_ao_r_m_er w_eh_dh_er
b;9;and it came;ah_n_d ah_t k_ey_m
c;10;lke it always does;k_er ah_t ao_l_w_iy_z d_ah_z
a;11;it always comes;ah_t ao_l_w_iy_z k_ah_m_z
b;12;but you have to wait;b_ah_t y_uw hh_ae_v t_uw w_ey_t
