Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
m;0;every Sunday I get up to watch some cartoons X6;eh_v_r_iy s_ah_n_d_ey ay g_ih_t ah_p t_uw w_aa_ch s_ah_m k_aa_r_t_uw_n_z 
a;2;every Sunday I get up to watch some cartoons;eh_v_er_iy s_ah_n_d_ey ay g_eh_t ah_p t_uw w_aa_ch s_ah_m k_aa_r_t_uw_n_z
a;3;stay in my pajamas and eat breakfast at Noon;s_t_ey ih_n m_ay p_ah_jh_aa_m_ah_z ah_n_d iy_t b_r_eh_k_f_ah_s_t ae_t n_uw_n
n;4;take a Tylenol to relax this hangover;t_ey_k ah t_ay_l_ah_n_ao_l t_uw r_ah_l_ae_k_s dh_ih_s hh_ae_ng_ow_v_er
b;5;then pick up my phone to call one of my brothers;dh_eh_n p_ih_k ah_p m_ay f_ow_n t_uw k_ao_l w_ah_n ah_v m_ay b_r_ah_dh_er_z
o;6;roll up to their crib and get our high on;r_ow_l ah_p t_uw dh_eh_r k_r_ih_b ah_n_d g_eh_t aw_r hh_ay aa_n
c;7;smoke to the roach and then we gone;s_m_ow_k t_uw dh_ah r_ow_ch ah_n_d dh_eh_n w_iy g_ao_n
d;8;jam to Reggae music to get us ready for the day;jh_ae_m t_ah r_eh_g_ey m_y_uw_z_ih_k t_uw g_eh_t ah_s r_eh_d_iy f_ao_r dh_ah d_ey
e;9;our minds are free unlike our full ashtray;aw_r m_ay_n_d_z aa_r f_r_iy ah_n_l_ay_k aw_r f_uh_l ae_sh_t_r_ey
b;10;roll up in pickup trucks not giving a fuck;r_ow_l ah_p ih_n p_ih_k_ah_p t_r_ah_k_s n_ax_t g_ih_v_ih_ng ah f_ah_k
b;11;2pac got us screaming Westside like we thugs; g_aa_t ah_s s_k_r_iy_m_ih_ng w_eh_s_t_s_ay_d l_ay_k w_iy th_ah_g_z
f;12;everyone smoking in the car except the driver;eh_v_r_iy_w_ah_n s_m_ow_k_ih_ng ih_n dh_iy k_aa_r ih_k_s_eh_p_t dh_ah d_r_ay_v_er
n;13;if the police roll up on us when we with Mary Jane we hide her;ah_f dh_ah p_ah_l_iy_s r_ow_l ah_p aa_n ah_s w_eh_n w_iy w_ih_dh m_eh_r_iy jh_ey_n w_iy hh_ay_d hh_er
a;14;this the life we live July through June;dh_ih_s dh_ah l_ay_f w_iy l_ay_v jh_uw_l_ay th_r_uw jh_uw_n
a;15;from sun up to sun down until we see the moon;f_r_ah_m s_ah_n ah_p t_uw s_ah_n d_aw_n ah_n_t_ih_l w_iy s_iy dh_ah m_uw_n
a;16;we forget school and work are soon;w_iy f_ax_g_eh_t s_k_uw_l ah_n_d w_er_k aa_r s_uw_n
a;17;and it all started with some Sunday morning cartoons;ah_n_d ih_t ao_l s_t_aa_r_t_ah_d w_ih_dh s_ah_m s_ah_n_d_ey m_ao_r_n_ih_ng k_aa_r_t_uw_n_z
p;19;every Sunday I get up to watch some cartoons X3;eh_v_er_iy s_ah_n_d_ey ay g_eh_t ah_p t_uw w_aa_ch s_ah_m k_aa_r_t_uw_n_z 
q;20;we party all night but still get up in the AM;w_iy p_aa_r_t_iy ao_l n_ay_t b_ah_t s_t_ih_l g_eh_t ah_p ih_n dh_ah ae_m
r;21;bugs Bunny Tom amp Jerry yeah we watch all of them;b_ah_g_z b_ah_n_iy t_aa_m ae_m_p jh_eh_r_iy y_ae w_iy w_aa_ch ao_l ah_v dh_eh_m
s;22;we get excited whenever Sunday rolls around;w_iy g_eh_t ih_k_s_ay_t_ah_d w_eh_n_eh_v_er s_ah_n_d_ey r_ow_l_z er_aw_n_d
t;23;because we know its time to unwind without a care in the world;b_ih_k_ao_z w_iy n_ow ih_t_s t_ay_m t_uw ah_n_w_ay_n_d w_ih_th_aw_t ah k_eh_r ih_n dh_ah w_er_l_d
u;24;every Sunday I get up to watch some cartoons X3;eh_v_er_iy s_ah_n_d_ey ay g_eh_t ah_p t_uw w_aa_ch s_ah_m k_aa_r_t_uw_n_z 
g;26;munching on some munchies we just bought;m_ah_n_ch_ih_ng aa_n s_ah_m m_ah_n_ch_iy_z w_iy jh_ah_s_t b_aa_t
w;27;girls rolling up to us because we everything they boyfriends not;g_er_l_z r_ow_l_ih_ng ah_p t_uw ah_s b_ih_k_ao_z w_iy eh_v_r_iy_th_ih_ng dh_ey b_oy_f_r_eh_n_d_z n_ax_t
g;28;black clothes and Bob Marley attitude got us looking hot;b_l_ae_k k_l_ow_dh_z ah_n_d b_aa_b m_aa_r_l_iy ae_t_ah_t_uw_d g_aa_t ah_s l_uh_k_ih_ng hh_aa_t
g;29;its like a party in a parking lot;ih_t_s l_ay_k ah p_aa_r_t_iy ih_n ah p_aa_r_k_ih_ng l_aa_t
g;30;we talk dreams of having a Hollywood star;w_iy t_ao_k d_r_iy_m_z ah_v hh_ae_v_ih_ng ah hh_aa_l_iy_w_uh_d s_t_aa_r
g;31;flashy jewels and the most expensive cars;f_l_ae_sh_iy jh_uw_ah_l_z ah_n_d dh_ah m_ow_s_t ih_k_s_p_eh_n_s_ih_v k_aa_z
g;32;feature in every remix because of our incredible bars;f_iy_ch_er ih_n eh_v_er_iy r_eh_m_iy_ae b_ih_k_ao_z ah_v aw_r ih_n_k_r_eh_d_ah_b_ah_l b_aa_r_z
g;33;and to know we did it by working hard;ah_n_d t_uw n_ow w_iy d_ih_d ih_t b_ay w_er_k_ih_ng hh_aa_r_d
c;34;but today (is) a day off;b_ah_t t_ah_d_ey ih_z ah d_ey ao_f
g;35;we aren-t sick but everyone-s got a cough;w_iy aa_n_t s_ih_k b_ah_t eh_v_r_iy_w_ah_n_z g_aa_t ah k_aa_f
h;36;from that Marijuana smoke we all choke;f_r_ah_m dh_ae_t m_eh_r_ah_w_aa_n_ah s_m_ow_k w_iy ao_l ch_ow_k
h;37;this blunt makes me happy to be broke;dh_ih_s b_l_ah_n_t m_ey_k_s m_iy hh_ae_p_iy t_uw b_iy b_r_ow_k
f;38;we live this life every Sunday we live;w_iy l_ay_v dh_ih_s l_ay_f eh_v_er_iy s_ah_n_d_ey w_iy l_ay_v
i;39;all my old friends no new friends no Aunt Viv;ao_l m_ay ow_l_d f_r_eh_n_d_z n_ow n_y_uw f_r_eh_n_d_z n_ow ae_n_t v_ih_v
a;40;hanging with my family and the Tongue Twister Crew;hh_ae_ng_ih_ng w_ih_dh m_ay f_ae_m_ax_l_ih ah_n_d dh_ah t_ah_ng t_w_ih_s_t_er k_r_uw
a;41;and it all started with some Sunday morning cartoons;ah_n_d ih_t ao_l s_t_aa_r_t_ah_d w_ih_dh s_ah_m s_ah_n_d_ey m_ao_r_n_ih_ng k_aa_r_t_uw_n_z
f;43;even when its time to get back to the everyday grind;iy_v_ah_n w_eh_n ih_t_s t_ay_m t_uw g_eh_t b_ae_k t_uw dh_ah eh_v_r_iy_d_ey g_r_ay_n_d
f;44;drawings of talking animals always on our minds;d_r_ao_ih_ng_z ah_v t_ao_k_ih_ng ae_n_ah_m_ah_l_z ao_l_w_ey_z aa_n aw_r m_ay_n_d_z
l;45;sometimes normal weekday life can get so bleak;s_ah_m_t_ay_m_z n_ao_r_m_ah_l w_iy_k_d_ey l_ay_f k_ah_n g_eh_t s_ow b_l_iy_k
l;46;thats why we work for the end of the week;dh_ae_t_s w_ay w_iy w_er_k f_ao_r dh_ah eh_n_d ah_v dh_ah w_iy_k
f;47;life (is) full of stresses you just gotta handle them right;l_ay_f ih_z f_uh_l ah_v s_t_r_eh_s_ah_z y_uw jh_ah_s_t g_aa_t_ah hh_ae_n_d_ah_l dh_eh_m r_ay_t
f;48;work your nine to five and live it up Saturday night;w_er_k y_ao_r n_ay_n t_uw f_ay_v ah_n_d l_ay_v ih_t ah_p s_ae_t_er_d_iy n_ay_t
d;49;when Sunday rolls around make some toast and bacon;w_eh_n s_ah_n_d_ey r_ow_l_z er_aw_n_d m_ey_k s_ah_m t_ow_s_t ah_n_d b_ey_k_ah_n
m;50;kick back (as) your favourite cartoons come on;k_ih_k b_ae_k ae_z y_ao_r f_ey_v_ax_r_ih_t k_aa_r_t_uw_n_z k_ah_m aa_n
i;51;we just some kids trying to be kids;w_iy jh_ah_s_t s_ah_m k_ih_d_z t_r_ay_ih_ng t_uw b_iy k_ih_d_z
i;52;doing what feels right for this second of bliss;d_uw_ih_ng w_ah_t f_iy_l_z r_ay_t f_ao_r dh_ih_s s_eh_k_ah_n_d ah_v b_l_ih_s
e;53;living the moment and not by the past;l_ih_v_ih_ng dh_iy m_ow_m_ah_n_t ah_n_d n_ax_t b_ay dh_ah p_ae_s_t
e;54;living each moment like it was our last;l_ih_v_ih_ng iy_ch m_ow_m_ah_n_t l_ay_k ih_t w_ah_z aw_r l_ae_s_t
a;55;so put on your slippers and go to the living room;s_ow p_uh_t aa_n y_ao_r s_l_ih_p_er_z ah_n_d g_ow t_uw dh_ah l_ih_v_ih_ng r_uw_m
a;56;light one up and spray the perfume;l_ay_t w_ah_n ah_p ah_n_d s_p_r_ey dh_ah p_er_f_y_uw_m
d;57;so even if this (is) only for the day;s_ow iy_v_ah_n ah_f dh_ih_s ih_z ow_n_l_iy f_ao_r dh_ah d_ey
a;58;kick back and watch some Sunday morning cartoons;k_ih_k b_ae_k ah_n_d w_aa_ch s_ah_m s_ah_n_d_ey m_ao_r_n_ih_ng k_aa_r_t_uw_n_z
