Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;0;stop sweatin me;s_t_aa_p s_w_eh_t_iy_n m_iy
a;1;tic toc ya don-t stop;t_ih_k t_uw_k y_aa d_ow_n s_t_aa_p
g;3;sweating me;s_w_eh_t_ih_ng m_iy
g;4;leaving me;l_iy_v_ih_ng m_iy
b;5;drenched;d_r_eh_n_ch_t
c;6;caught up in the stench of the high;k_aa_t ah_p ih_n_ch dh_iy s_t_eh_n_ch ah_v dh_iy hh_ay
a;7;im not the type to front like Im the overnight fo sho shot;ay_m n_ax_t dh_ah t_ay_p t_uw f_r_ah_n_t l_ay_k ay_m dh_ah ow_v_er_n_ay_t eh_f_ae sh_aa sh_aa_t
h;8;ra got more knots many never know not;r_aa g_aa_t m_ao_r n_aa_t_s m_eh_n_iy n_eh_v_er n_ow n_ax_t
i;9;what;w_ah_t
i;10;lick the sweat off me butt;l_ih_k dh_ah s_w_eh_t ao_f m_iy b_ah_t
a;11;rastas in galoshes;r_ae_ae_s ih_n g_ah_l_aa_sh_ah_z
l;12;sprayin Dior antiperspirant;s_p_r_ey_iy_n d_iy_ao_r ah_n_t_ih_p_er_r_s_p_ax_r_ax_n_t
m;13;itll be no worse when;ih_t_l b_iy n_ow w_er_s w_eh_n
a;15;simply blinded by the glare of a star from afar;s_ih_m_p_l_iy b_l_ay_n_d_ah_d b_ay dh_ah g_l_eh_r ah_v ah s_t_aa_r f_r_ah_m ah_f_aa_r
n;16;a c-mon y-all;ah k_ah_m_aa_n y_ao_l
d;17;im cool (as) a fan;ay_m k_uw_l ae_z ah f_ae_n
d;18;sweat me like a gland;s_w_eh_t m_iy l_ay_k ah g_l_ae_n_d
d;19;i can tell youre workin but would you really understand;ay k_ah_n t_eh_l y_uw_r w_er_k_iy_n b_ah_t w_uh_d y_uw r_ih_l_iy ah_n_d_er_s_t_ae_n_d
g;21;stop sweatin me;s_t_aa_p s_w_eh_t_iy_n m_iy
a;22;tic toc ya don-t stop;t_ih_k t_uw_k y_aa d_ow_n_t s_t_aa_p
c;24;now undercover friends that seemed to sneak back into my life;n_aw ah_n_d_er_k_ah_v_er f_r_eh_n_d_z dh_ae_t s_iy_m_d t_uw s_n_iy_k b_ae_k ih_n_t_uw m_ay l_ay_f
o;25;yeah after my days of livin trife;y_ae ae_f_t_er m_ay d_ey_z ah_v l_ih_v_iy_n t_f_er
e;26;mistafiss ain-t the one though;m_ih_s_t_ae_f_ax_s ey_n_t dh_ah w_ah_n dh_ow
p;27;so I had to play em like a game of Nintendo;s_ow ay hh_ae_d t_uw p_l_ey eh_m l_ay_k ah g_ey_m ah_v n_ih_n_t_eh_n_d_ow
q;28;first they tried to diss the;f_er_s_t dh_ey t_r_ay_d t_uw d_ih_s dh_ah
q;29;now they pissed the;n_aw dh_ey p_ih_s_t dh_ah
r;30;mistafissta;m_ih_s_t_ah_f_iy_s_t_ax
o;31;they irritating like a blister;dh_ey ih_r_ah_t_ey_t_ih_ng l_ay_k ah b_l_ih_s_t_er
c;32;oh why;ow w_ay
e;33;i don-t know;ay d_ow_n_t n_ow
d;34;you gets none from this man;y_uw g_eh_t_s n_ah_n f_r_ah_m dh_ih_s m_ae_n
e;35;i thought Id let you know;ay th_ao_t ay_d l_eh_t y_uw n_ow
f;37;we gonna come into your town;w_iy g_aa_n_ah k_ah_m ih_n_t_uw y_ao_r t_aw_n
f;38;youre gonna look and stare us down;y_uw_r g_aa_n_ah l_uh_k ah_n_d s_t_eh_r ah_s d_aw_n
q;39;you wanna sweat the Q amp A;y_uw w_aa_n_ah s_w_eh_t dh_ah k_y_uw ae_m_p ah
e;40;hey hey its okay;hh_ey hh_ey ih_t_s ow_k_ey
g;42;stop sweatin me;s_t_aa_p s_w_eh_t_iy_n m_iy
a;43;tic toc ya don-t stop;t_ih_k t_uw_k y_aa d_ow_n_t s_t_aa_p
s;45;now me I see my friends that want to be my;n_aw m_iy ay s_iy m_ay f_r_eh_n_d_z dh_ae_t w_aa_n_t t_uw b_iy m_ay
b;46;friend;f_r_eh_n_d
d;47;now I don-t really wanna seem Im all that;n_aw ay d_ow_n_t r_ih_l_iy w_aa_n_ah s_iy_m ay_m ao_l dh_ae_t
q;49;now why would you sweat the Rasta like a sauna;n_aw w_ay w_uh_d y_uw s_w_eh_t dh_ah R_ae_s_t_ax l_ay_k ah s_ao_n_ah
g;51;stop sweatin me;s_t_aa_p s_w_eh_t_iy_n m_iy
a;52;tic toc ya don-t stop;t_ih_k t_uw_k y_aa d_ow_n_t s_t_aa_p
t;54;sometimes I wonder x12;s_ah_m_t_ay_m_z ay w_ah_n_d_er 
f;56;we gonna come into your town;w_iy g_aa_n_ah k_ah_m ih_n_t_uw y_ao_r t_aw_n
f;57;youre gonna look and stare us down;y_uw_r g_aa_n_ah l_uh_k ah_n_d s_t_eh_r ah_s d_aw_n
g;58;you wanna sweat the Q amp A;y_uw w_aa_n_ah s_w_eh_t dh_ah k_y_uw ae_m_p ah
e;59;hey hey its okay;hh_ey hh_ey ih_t_s ow_k_ey
a;61;tic toc ya don-t stop;t_ih_k t_uw_k y_aa d_ow_n_t s_t_aa_p
