Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;0;big wheels keep on turning;b_ih_g w_iy_l_z k_iy_p aa_n t_er_n_ih_ng
g;1;carry me home to see my kin;k_ae_r_iy m_iy hh_ow_m t_ah s_iy m_ay k_ih_n
a;2;singing songs about the Southland;s_ih_ng_ih_ng s_ao_ng_z ah_b_aw_t dh_iy s_aw_th_l_ae_n_d
b;3;i miss Alabamy once again;ay m_ih_s A_l_ah_b_ae_m_ax w_ah_n_s ah_g_eh_n
b;4;and I think its a sin yes;ah_n_d ay th_ih_ng_k ih_t_s ah s_ih_n y_eh_s
h;6;well I heard mister Young sing about her;w_eh_l ay hh_er_d m_ih_s_t_er y_ah_ng s_ih_ng ah_b_aw_t hh_er
a;7;well I heard ol Neil put her down;w_eh_l ay hh_er_d ow_l n_iy_l p_uh_t hh_er d_aw_n
i;8;well I hope Neil Young will remember;w_eh_l ay hh_ow_p n_iy_l y_ah_ng w_ah_l r_ih_m_eh_m_b_ax
l;9;a Southern man don-t need him around anyhow;ah s_ah_dh_er_n m_ae_n d_ow_n_t n_iy_d hh_ih_m er_aw_n_d eh_n_iy_hh_aw
c;11;sweet home Alabama;s_w_iy_t hh_ow_m ae_l_ah_b_ae_m_ah
d;12;where the skies are so blue;w_eh_r dh_ah s_k_ay_z aa_r s_ow b_l_uw
c;13;sweet Home Alabama;s_w_iy_t hh_ow_m ae_l_ah_b_ae_m_ah
m;14;lord Im coming home to you;l_ao_r_d ay_m k_ah_m_ih_ng hh_ow_m t_ah y_uw
e;16;in Birmingham they love the governor;ih_n_ch b_er_m_ih_ng_hh_ae_m dh_ey l_ah_v dh_iy g_ah_v_er_n_er
d;17;now we all did what we could do;n_aw w_iy ao_l d_ah_d hh_w_ah_t w_iy k_uh_d d_uw
n;18;now Watergate does not bother me;n_aw w_aa_t_er_g_ey_t d_ah_z n_ax_t b_aa_dh_er m_iy
m;19;does your conscience bother you;d_ah_z y_ao_r k_aa_n_sh_ah_n_s b_aa_dh_er y_uw
d;20;tell the truth;t_eh_l dh_iy t_r_uw_th
o;22;now Muscle Shoals has got the Swampers;n_aw m_ah_s_ah_l sh_ow_l_z hh_ah_z g_aa_t dh_iy s_w_aa_m_p_er_z
m;23;and theyve been known to pick a song or two;ah_n_d dh_ey_v b_ih_n n_ow_n t_uw p_ih_k ah s_ao_ng ao_r t_uw
e;24;lord they get me off so much;l_ao_r_d dh_ey g_eh_t m_iy ao_f s_ow m_ah_ch
d;25;they pick me up when Im feeling blue;dh_ey p_ih_k m_iy ah_p hh_w_ih_n ay_m f_iy_l_ih_ng b_l_uw
m;26;now how about you;n_aw hh_aw ah_b_aw_t y_uw
n;28;lordy;l_ao_r_d_iy
m;29;lord Im coming home to you;l_ao_r_d ay_m k_ah_m_ih_ng hh_ow_m t_uw y_uw
f;30;yea yea Montgomery-s got the answer;y_ey y_ey m_aa_n_t_g_ah_m_r_iy_z g_aa_t dh_ah ae_n_s_er
